run,id,implementation,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
run,1,openblas,1,ns,437ae0208b7fffe9b36ca8ece042cce97c078909,false,OpenBLAS 0.3.32 NO_LAPACKE DYNAMIC_ARCH NO_AFFINITY neoversev1 MAX_THREADS=128; compiler=15.2.0,1,5,200000000,vendor-calibrated,50000000,1
case,1,1,dot+4096+uniform,ok,direct,arithmetic,vendor-cblas,10,1,661.80947113037109,661.71715927124023,662.07733535766602
case,2,1,axpy+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,1686.0137557983398,1685.7583312988281,1687.1115570068359
case,3,1,axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,1687.3408126831055,1686.9793701171875,1689.1199798583984
case,4,1,scal+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,1042.7923049926758,1042.5857391357422,1043.3147277832031
case,5,1,nrm2+4096+uniform,ok,direct,arithmetic,vendor-cblas,10,1,4282.5213928222656,4281.7949829101562,4284.2304992675781
case,6,1,asum+4096+uniform,ok,direct,arithmetic,vendor-cblas,10,1,521.92646026611328,518.58600234985352,524.16901397705078
case,7,1,sum+4096+uniform,ok,direct,arithmetic,vendor-cblas,10,1,809.2346076965332,809.17425537109375,809.65796661376953
case,8,1,compensated-sum+4096+uniform,unsupported,unsupported,arithmetic,unavailable,0,0,,,
case,9,1,iamax+64+uniform,ok,direct,arithmetic,vendor-cblas,10,1,91.021735500000005,90.969172,91.064120000000003
case,10,1,iamax+128+uniform,ok,direct,arithmetic,vendor-cblas,10,1,97.032793999999996,96.900762999999998,97.135729999999995
case,11,1,iamax+256+uniform,ok,direct,arithmetic,vendor-cblas,10,1,130.1327435,130.04512500000001,130.20877100000001
case,12,1,iamax+512+uniform,ok,direct,arithmetic,vendor-cblas,10,1,159.52180349999998,159.45027400000001,159.596183
case,13,1,iamax+1024+uniform,ok,direct,arithmetic,vendor-cblas,10,1,242.04060363769531,241.84090423583984,242.36189079284668
case,14,1,iamax+4096+uniform,ok,direct,arithmetic,vendor-cblas,10,1,711.81757164001465,711.26091384887695,712.05844879150391
case,15,1,iamax+65536+uniform,ok,direct,arithmetic,vendor-cblas,10,1,11059.800170898438,11055.923400878906,11062.871948242188
case,16,1,swap+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,2554.0870590209961,2553.2595672607422,2555.6438446044922
case,17,1,rot+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,3472.4624938964844,3472.2664184570312,3474.082763671875
case,18,1,rotm+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,5105.5612335205078,5103.9384765625,5106.8515625
case,19,1,rotmg+1+uniform,ok,direct,arithmetic,vendor-cblas,10,1,45.691335500000001,45.654803999999999,45.725718999999998
case,20,1,ssqd+4096+uniform,unsupported,unsupported,arithmetic,unavailable,0,0,,,
case,21,1,dot4+4096+uniform,ok,composed,arithmetic,vendor-cblas,10,1,3784.4714965820312,3783.9757385253906,3786.646728515625
case,22,1,axpy4+4096+uniform,ok,composed,reset-and-arithmetic,vendor-cblas,10,1,4540.4090118408203,4531.3155822753906,4554.2344970703125
case,23,1,dot-axpy+4096+uniform,ok,composed,reset-and-arithmetic,vendor-cblas,10,1,2671.7000885009766,2670.5541229248047,2672.9615325927734
case,24,1,gemv+32x21+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,129.54789149999999,129.27847800000001,129.65999400000001
case,25,1,gemv+129x31+uniform+transA=T,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,645.30591583251953,645.17185211181641,645.56918716430664
case,26,1,symv+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,2442.7001419067383,2442.0944213867188,2444.0150604248047
case,27,1,ger+129x31+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,1396.132080078125,1395.7313766479492,1397.0432662963867
case,28,1,syr+129+uniform+uplo=L,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,4824.4364624023438,4823.3674926757812,4827.6524658203125
case,29,1,syr2+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,6421.1000366210938,6419.1941528320312,6424.6871948242188
case,30,1,trsv+129+triangular+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,2599.2140274047852,2594.7149810791016,2602.7405853271484
case,31,1,trmv+129+triangular+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,2630.9504318237305,2626.3019256591797,2632.1546325683594
case,32,1,gemm+32x21x48+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,2830.6502151489258,2829.7184600830078,2831.0993499755859
case,33,1,gemm+129x31x257+uniform+transA=T,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,88003.3310546875,87969.16650390625,88154.8779296875
case,34,1,gemm+65x127x33+uniform+transB=T,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,25407.772094726562,25403.6201171875,25419.920166015625
case,35,1,symm+129x31+uniform+side=L+uplo=L,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,50625.873046875,50603.86669921875,50653.689453125
case,36,1,symm+31x129+uniform+side=R+uplo=U,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,45127.892822265625,45110.537841796875,45232.72021484375
