run,id,implementation,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
run,1,jvm-c/c/c-sparse/packed-4x4,1,ns,437ae0208b7fffe9b36ca8ece042cce97c078909,false,kotlin-2.4.10/jvm/Ubuntu/25.0.4/JMH 1.37/forks=2,1,5,200000000,jmh-average-time,200000000,2
run,2,jvm-c/c/c-sparse/packed-4x4,1,ns,437ae0208b7fffe9b36ca8ece042cce97c078909,false,kotlin-2.4.10/jvm/Ubuntu/25.0.4,1,5,200000000,jmh-average-time,200000000,2
case,1,1,dot+4096+uniform,ok,direct,arithmetic,policy,20,2,2995.472816923775,2991.4123599026966,3001.2347137673555
case,2,1,axpy+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,3301.3420562394813,3294.557113543092,3305.0902336332865
case,3,1,axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,3292.9829277122312,3290.6046240113133,3309.1562613490046
case,4,1,scal+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1859.7006353030883,1845.292744776202,1866.0644186653735
case,5,1,nrm2+4096+uniform,ok,direct,arithmetic,policy,20,2,988.8865919468426,983.1666273608081,992.131357150648
case,6,1,asum+4096+uniform,ok,direct,arithmetic,policy,20,2,2634.0449715920204,2618.06883152565,2635.295947777792
case,7,1,sum+4096+uniform,ok,direct,arithmetic,policy,20,2,2626.5384198737775,2623.4930711242214,2635.8481407816225
case,8,1,compensated-sum+4096+uniform,ok,unsupported,arithmetic,policy,20,2,6333.341989331901,6331.455865603644,6336.665770580979
case,9,1,iamax+64+uniform,ok,direct,arithmetic,policy,20,2,47.02937068161921,46.96567355339217,47.24090105011373
case,10,1,iamax+128+uniform,ok,direct,arithmetic,policy,20,2,85.08677377452051,84.93682089583281,85.20168944837692
case,11,1,iamax+256+uniform,ok,direct,arithmetic,policy,20,2,162.32994572116505,162.29031700821068,162.39420011117738
case,12,1,iamax+512+uniform,ok,direct,arithmetic,policy,20,2,317.04585353541427,316.93494612500774,317.1773573554556
case,13,1,iamax+1024+uniform,ok,direct,arithmetic,policy,20,2,625.5932265408561,625.3958870501461,625.8552024594753
case,14,1,iamax+4096+uniform,ok,direct,arithmetic,policy,20,2,4267.930727334894,4260.022629149918,4271.593368162917
case,15,1,iamax+65536+uniform,ok,direct,arithmetic,policy,20,2,66315.3991868667,66166.29920739762,66527.95549651279
case,16,1,swap+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,4565.953292566057,4564.650068430657,4569.110588986724
case,17,1,rot+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,7807.2074907574,7804.667095667096,7815.119435015022
case,18,1,rotm+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,7533.774084252532,7529.768484027542,7549.156846473029
case,19,1,rotmg+1+uniform,ok,direct,arithmetic,policy,20,2,17.096796425645095,17.00629943171409,17.220819062814243
case,20,1,ssqd+4096+uniform,ok,unsupported,arithmetic,policy,20,2,2432.8627129907713,2429.3536696301867,2440.0151190011707
case,21,1,dot4+4096+uniform,ok,composed,arithmetic,policy,20,2,11731.712347800009,11709.249941534144,11805.38231477112
case,22,1,axpy4+4096+uniform,ok,composed,reset-and-arithmetic,policy,20,2,10295.41370011359,9937.217449597776,10630.232232019547
case,23,1,dot-axpy+4096+uniform,ok,composed,reset-and-arithmetic,policy,20,2,5929.482693112859,5718.641992577791,6357.514294790343
case,24,1,gemv+32x21+uniform,ok,direct,reset-and-arithmetic,policy,20,2,480.5233508422797,480.17305440374724,481.89934258055195
case,25,1,gemv+129x31+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,20,2,2520.045527628283,2381.5443563743693,2661.9084282217727
case,26,1,symv+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,20,2,11290.944543595058,11284.181674743604,11355.131971631206
case,27,1,ger+129x31+uniform,ok,direct,reset-and-arithmetic,policy,20,2,3906.1136792623533,3897.1086097100238,3915.0638768243534
case,28,1,syr+129+uniform+uplo=L,ok,direct,reset-and-arithmetic,policy,20,2,12048.998393356695,12035.325214985867,12106.774168179069
case,29,1,syr2+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,20,2,19109.827911838416,19051.07553991057,19138.942149550585
case,30,1,trsv+129+triangular+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,policy,20,2,8435.322402315502,8430.748609706774,8449.987458829492
