run,id,implementation,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
run,1,jvm-scalar/scalar/scalar/packed-4x4,1,ns,437ae0208b7fffe9b36ca8ece042cce97c078909,false,kotlin-2.4.10/jvm/Ubuntu/25.0.4/JMH 1.37/forks=2,1,5,200000000,jmh-average-time,200000000,2
run,2,jvm-scalar/scalar/scalar/packed-4x4,1,ns,437ae0208b7fffe9b36ca8ece042cce97c078909,false,kotlin-2.4.10/jvm/Ubuntu/25.0.4,1,5,200000000,jmh-average-time,200000000,2
case,1,1,dot+4096+uniform,ok,direct,arithmetic,policy,20,2,3587.678115949927,3583.4675966549075,3591.8528403482005
case,2,1,axpy+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,3052.690887047367,3050.631473224476,3056.746333190735
case,3,1,axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,3047.5888807663605,3045.6361505562913,3051.692650198231
case,4,1,scal+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1829.411214419597,1822.7026578980926,1842.63212368438
case,5,1,nrm2+4096+uniform,ok,direct,arithmetic,policy,20,2,3566.257822237012,3540.9062339638667,3631.479919423625
case,6,1,asum+4096+uniform,ok,direct,arithmetic,policy,20,2,3290.859054389313,3289.7765667126982,3292.5466250102772
case,7,1,sum+4096+uniform,ok,direct,arithmetic,policy,20,2,3286.858987575312,3285.88615950477,3289.882042514015
case,8,1,compensated-sum+4096+uniform,ok,unsupported,arithmetic,policy,20,2,6333.573329032377,6330.292537879986,6341.99429567422
case,9,1,iamax+64+uniform,ok,direct,arithmetic,policy,20,2,49.82399500737169,49.80939352973258,49.851183408809284
case,10,1,iamax+128+uniform,ok,direct,arithmetic,policy,20,2,94.42835659903716,94.40741041269601,94.46230992106538
case,11,1,iamax+256+uniform,ok,direct,arithmetic,policy,20,2,184.44018597390243,184.3838771981831,184.57078371721371
case,12,1,iamax+512+uniform,ok,direct,arithmetic,policy,20,2,365.2655627738467,365.1331124220622,365.4640221671818
case,13,1,iamax+1024+uniform,ok,direct,arithmetic,policy,20,2,725.2220722260124,725.133216406904,725.776972207211
case,14,1,iamax+4096+uniform,ok,direct,arithmetic,policy,20,2,2891.5821299930967,2890.843053408648,2893.0149040129527
case,15,1,iamax+65536+uniform,ok,direct,arithmetic,policy,20,2,46369.6581186831,46345.90296433534,46430.171421943865
case,16,1,swap+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,5014.814206089863,5008.734831798158,5023.122144685978
case,17,1,rot+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,7815.428043708467,7811.3195799828245,7821.168998671148
case,18,1,rotm+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,7532.72447636638,7529.038639527446,7537.459078754096
case,19,1,rotmg+1+uniform,ok,direct,arithmetic,policy,20,2,17.209688091664965,17.17208053223853,17.331651306032757
case,20,1,ssqd+4096+uniform,ok,unsupported,arithmetic,policy,20,2,3582.3118520395624,3580.5320188230244,3585.385387178844
case,21,1,dot4+4096+uniform,ok,composed,arithmetic,policy,20,2,8540.256334716905,8534.189944134077,8546.897027419493
case,22,1,axpy4+4096+uniform,ok,composed,reset-and-arithmetic,policy,20,2,10666.382756009094,10654.379192844213,10769.150766747376
case,23,1,dot-axpy+4096+uniform,ok,composed,reset-and-arithmetic,policy,20,2,6003.519930123161,6000.403688155922,6007.877540604642
case,24,1,gemv+32x21+uniform,ok,direct,reset-and-arithmetic,policy,20,2,479.7308240621571,477.9623113357394,481.1101763986027
case,25,1,gemv+129x31+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,20,2,2645.0427133003436,2642.321537506767,2649.3513345337074
case,26,1,symv+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,20,2,11268.289356497367,11258.410008434073,11347.46037414966
case,27,1,ger+129x31+uniform,ok,direct,reset-and-arithmetic,policy,20,2,3890.547705056041,3878.9182383841517,3897.7588624853915
case,28,1,syr+129+uniform+uplo=L,ok,direct,reset-and-arithmetic,policy,20,2,12012.140447752236,11997.21419579162,12056.384244760298
case,29,1,syr2+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,20,2,19043.894847330208,18987.47001897533,19086.897110708494
case,30,1,trsv+129+triangular+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,policy,20,2,8434.036141019706,8422.408333333333,8448.752322242864
case,31,1,trmv+129+triangular+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,policy,20,2,7864.648672445128,7861.5901001767825,7875.9507654767995
case,32,1,gemm+32x21x48+uniform,ok,direct,reset-and-arithmetic,policy,20,2,25428.97046275108,25368.265686398783,25533.72675086108
case,33,1,gemm+129x31x257+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,20,2,641587.449613951,637925.4585987261,646397.8
case,34,1,gemm+65x127x33+uniform+transB=T,ok,direct,reset-and-arithmetic,policy,20,2,169165.56394252187,169036.48185654008,171695.45111492282
case,35,1,symm+129x31+uniform+side=L+uplo=L,ok,direct,reset-and-arithmetic,policy,20,2,326306.967502431,325531.2520325203,340478.44727891154
case,36,1,symm+31x129+uniform+side=R+uplo=U,ok,direct,reset-and-arithmetic,policy,20,2,324705.61507293355,322728.3107890499,326080.2638436482
case,37,1,gemmt+129x31+uniform+uplo=L+transA=N+transB=N,ok,direct,reset-and-arithmetic,policy,20,2,242775.95454545453,242666.13696969696,243760.75912408758
case,38,1,syrk+129x31+uniform+uplo=L+transA=N,ok,direct,reset-and-arithmetic,policy,20,2,182222.9340309372,181629.51996370236,183783.32935779815
case,39,1,syr2k+129x31+uniform+uplo=U+transA=T,ok,direct,reset-and-arithmetic,policy,20,2,370305.31053604436,368783.6169429098,370734.8351851852
case,40,1,trsm+64x16+triangular+side=L+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,policy,20,2,36303.438508978776,36218.11364458921,36427.1734619585
case,41,1,trsm+17x64+triangular+side=R+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,policy,20,2,37223.67037558122,36909.60586499447,37551.87185741088
case,42,1,trmm+64x16+triangular+side=L+uplo=U+transA=T+diag=N,ok,direct,reset-and-arithmetic,policy,20,2,31700.698956600758,31663.36424050633,31745.31593973037
case,43,1,trmm+17x64+triangular+side=R+uplo=L+transA=N+diag=U,ok,direct,reset-and-arithmetic,policy,20,2,38177.7829072873,38154.25524208921,38242.74871010892
case,44,1,gemm-tile+4x4x32+uniform+packed=4x4,ok,partial,raw-tile,portable-tile,20,2,283.69587419563715,283.0836102517093,284.4270122065621
case,45,1,gemm-tile+3x2x31+uniform+packed=4x4,ok,partial,raw-tile,portable-tile,20,2,269.70726706752407,269.5387147742901,269.8333946834402
case,46,1,packed-trsm+4x4+triangular+packed=4x4+uplo=L+diag=N,ok,partial,raw-tile,portable-solve,20,2,98.77069659761112,98.68890931559892,98.87079046969652
case,47,1,packed-trsm+3x2+triangular+packed=4x4+uplo=U+diag=U,ok,partial,raw-tile,portable-solve,20,2,26.43640432638633,26.36043298001155,26.60678153417246
case,48,1,gemm-trsm+4x4x32+triangular+packed=4x4+uplo=L+diag=N,ok,composed,raw-tile,portable-tile,20,2,600.6734481456919,599.9478058301329,601.1981314026497
case,49,1,gemm-trsm+3x2x31+triangular+packed=4x4+uplo=U+diag=U,ok,composed,raw-tile,portable-tile,20,2,207.35138333168453,207.21530170985486,207.58298745932242
case,50,2,gemm-tile+8x4x32+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
