run,id,implementation,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
run,1,jvm-simd/simd(2 lanes)/simd-sparse/packed-4x4,1,ns,437ae0208b7fffe9b36ca8ece042cce97c078909,false,kotlin-2.4.10/jvm/Ubuntu/25.0.4/JMH 1.37/forks=2,1,5,200000000,jmh-average-time,200000000,2
run,2,jvm-simd/simd(2 lanes)/simd-sparse/packed-4x4,1,ns,437ae0208b7fffe9b36ca8ece042cce97c078909,false,kotlin-2.4.10/jvm/Ubuntu/25.0.4,1,5,200000000,jmh-average-time,200000000,2
case,1,1,dot+4096+uniform,ok,direct,arithmetic,policy,20,2,1439.2815199276138,1415.3696468607884,1460.2252829445204
case,2,1,axpy+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,3349.7590537485125,3344.8882908483074,3356.711524923737
case,3,1,axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,3174.0039117848264,2997.504463750749,3350.068536034151
case,4,1,scal+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,2056.1632763192965,2041.6946011281225,2071.8590878500804
case,5,1,nrm2+4096+uniform,ok,direct,arithmetic,policy,20,2,608.5601636926563,608.1127953443848,609.4517249990863
case,6,1,asum+4096+uniform,ok,direct,arithmetic,policy,20,2,1257.5879512000297,1257.18556377184,1259.1496117983113
case,7,1,sum+4096+uniform,ok,direct,arithmetic,policy,20,2,538.0219127098267,479.3017177999325,591.2384563796063
case,8,1,compensated-sum+4096+uniform,ok,unsupported,arithmetic,policy,20,2,6332.617449770589,6326.6795232525055,6338.5602188626735
case,9,1,iamax+64+uniform,ok,direct,arithmetic,policy,20,2,47.01097995388487,47.00035888713047,47.03752269802373
case,10,1,iamax+128+uniform,ok,direct,arithmetic,policy,20,2,84.94395800210052,84.84622181481612,85.08637021699062
case,11,1,iamax+256+uniform,ok,direct,arithmetic,policy,20,2,201.5986522161341,200.57758548105144,202.31241444432538
case,12,1,iamax+512+uniform,ok,direct,arithmetic,policy,20,2,556.9404636021824,539.8343373250208,574.0567756741251
case,13,1,iamax+1024+uniform,ok,direct,arithmetic,policy,20,2,731.8958124623201,707.2953915570133,756.1574100665055
case,14,1,iamax+4096+uniform,ok,direct,arithmetic,policy,20,2,1779.1789040785811,1707.7431601742674,1850.831383573932
case,15,1,iamax+65536+uniform,ok,direct,arithmetic,policy,20,2,22477.211238274656,22186.690798226165,22935.580630372493
case,16,1,swap+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,4799.377424973181,4785.846052663047,4811.022285796711
case,17,1,rot+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,7076.079994644255,7051.25665057609,7098.0563804528865
case,18,1,rotm+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,5441.052879920155,5350.343795952196,5455.112545271356
case,19,1,rotmg+1+uniform,ok,direct,arithmetic,policy,20,2,17.090934503423796,17.01518298311285,17.16079252810809
case,20,1,ssqd+4096+uniform,ok,unsupported,arithmetic,policy,20,2,1315.1960751585175,1241.3319574850484,1400.7554950439603
case,21,1,dot4+4096+uniform,ok,composed,arithmetic,policy,20,2,7254.440021740172,4077.8862941679913,10436.264195213515
case,22,1,axpy4+4096+uniform,ok,composed,reset-and-arithmetic,policy,20,2,5371.949243372004,5213.184473101472,5530.0183209903835
case,23,1,dot-axpy+4096+uniform,ok,composed,reset-and-arithmetic,policy,20,2,8220.147329195044,8195.408076340254,8262.250763768476
case,24,1,gemv+32x21+uniform,ok,direct,reset-and-arithmetic,policy,20,2,261.08556346646014,252.22798099223556,269.6160419075028
case,25,1,gemv+129x31+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,20,2,1679.6230267585315,1676.9446161319229,1693.5008928646992
case,26,1,symv+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,20,2,16356.430302622412,16178.109872354176,16521.249938134126
case,27,1,ger+129x31+uniform,ok,direct,reset-and-arithmetic,policy,20,2,2701.520182893985,2657.4955059014087,2745.6796833193835
case,28,1,syr+129+uniform+uplo=L,ok,direct,reset-and-arithmetic,policy,20,2,9624.65569096185,9618.111911969632,9664.388515960785
case,29,1,syr2+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,20,2,14955.427274495116,14933.359003059473,15016.637515937899
case,30,1,trsv+129+triangular+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,policy,20,2,5932.024156271178,5908.027811402085,5960.85759389986
case,31,1,trmv+129+triangular+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,policy,20,2,5491.741032558453,5302.339754630489,5683.4030673104235
case,32,1,gemm+32x21x48+uniform,ok,direct,reset-and-arithmetic,policy,20,2,15718.56098672138,15687.746393853873,15794.582859848484
case,33,1,gemm+129x31x257+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,20,2,347101.9029462738,345183.28103448276,349657.5706806283
case,34,1,gemm+65x127x33+uniform+transB=T,ok,direct,reset-and-arithmetic,policy,20,2,93892.58459328291,93745.45854800937,94059.66917293234
case,35,1,symm+129x31+uniform+side=L+uplo=L,ok,direct,reset-and-arithmetic,policy,20,2,181105.68718753324,179571.74887892377,182622.52828467154
case,36,1,symm+31x129+uniform+side=R+uplo=U,ok,direct,reset-and-arithmetic,policy,20,2,182840.05296803653,182652.45072992702,184487.59300184163
case,37,1,gemmt+129x31+uniform+uplo=L+transA=N+transB=N,ok,direct,reset-and-arithmetic,policy,20,2,242699.04969696968,242533.80992736077,244066.16829268294
case,38,1,syrk+129x31+uniform+uplo=L+transA=N,ok,direct,reset-and-arithmetic,policy,20,2,110323.70507166482,109964.7434065934,112068.69222160045
case,39,1,syr2k+129x31+uniform+uplo=U+transA=T,ok,direct,reset-and-arithmetic,policy,20,2,223921.30928411632,223015.9276169265,225395.82995495494
case,40,1,trsm+64x16+triangular+side=L+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,policy,20,2,27698.765969849363,27626.325372722255,27737.298919068737
