run,id,implementation,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
run,1,native/c/c-sparse/packed-4x4,1,ns,437ae0208b7fffe9b36ca8ece042cce97c078909,false,kotlin-native-2.4.10,1,5,200000000,native-calibrated,50000000,1
case,1,1,dot+4096+uniform,ok,direct,arithmetic,policy,10,1,1386.9618569791996,1386.1116340699232,1387.8670618763026
case,2,1,axpy+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,3074.5025109421795,3073.810350917607,3077.2156338785226
case,3,1,axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,3060.281638020674,3059.25342528595,3061.3161049605483
case,4,1,scal+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,1986.1001953725468,1983.6653179018774,1987.7544653040175
case,5,1,nrm2+4096+uniform,ok,direct,arithmetic,policy,10,1,1093.243225101637,1085.4489749331478,1102.7336728482292
case,6,1,asum+4096+uniform,ok,direct,arithmetic,policy,10,1,939.9406074744334,937.779428813799,946.1685187803383
case,7,1,sum+4096+uniform,ok,direct,arithmetic,policy,10,1,543.416785017346,541.4558163486557,545.0393077840416
case,8,1,compensated-sum+4096+uniform,ok,unsupported,arithmetic,policy,10,1,16557.288291270168,16554.431443938767,16573.278940835746
case,9,1,iamax+64+uniform,ok,direct,arithmetic,policy,10,1,176.509659,176.16363,177.038143
case,10,1,iamax+128+uniform,ok,direct,arithmetic,policy,10,1,248.79879084288746,247.08210600734665,249.0760731995511
case,11,1,iamax+256+uniform,ok,direct,arithmetic,policy,10,1,286.65673221722153,283.44845498154297,287.34355984675904
case,12,1,iamax+512+uniform,ok,direct,arithmetic,policy,10,1,561.6985233763841,556.1477293666348,563.5991144166932
case,13,1,iamax+1024+uniform,ok,direct,arithmetic,policy,10,1,712.4956379401561,708.9546892587161,714.7573153714231
case,14,1,iamax+4096+uniform,ok,direct,arithmetic,policy,10,1,1656.27419501321,1654.9219864597094,1658.0526254953766
case,15,1,iamax+65536+uniform,ok,direct,arithmetic,policy,10,1,20607.19956794568,20601.24390494805,20637.744264993315
case,16,1,swap+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,5255.888868445262,5254.560362728348,5259.268602970167
case,17,1,rot+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,5252.575913826131,5249.994830617439,5258.310792726128
case,18,1,rotm+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,5281.702667791427,5274.795935045078,5289.442795381452
case,19,1,rotmg+1+uniform,ok,direct,arithmetic,policy,10,1,90.1900445,89.092407,90.639513
case,20,1,ssqd+4096+uniform,ok,unsupported,arithmetic,policy,10,1,1423.9512767047638,1423.7500320243669,1425.472167266827
case,21,1,dot4+4096+uniform,ok,composed,arithmetic,policy,10,1,3874.8697317266588,3872.6552871317767,3878.6475696795032
case,22,1,axpy4+4096+uniform,ok,composed,reset-and-arithmetic,policy,10,1,7317.295689686689,7314.8725551127845,7326.359558366541
case,23,1,dot-axpy+4096+uniform,ok,composed,reset-and-arithmetic,policy,10,1,3787.7010268338345,3783.530927932528,3798.901930750175
case,24,1,gemv+32x21+uniform,ok,direct,reset-and-arithmetic,policy,10,1,1821.4523106284364,1818.8035079747353,1822.2574180942427
case,25,1,gemv+129x31+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,10,1,4739.451693582964,4723.459839931399,4747.857438902387
case,26,1,symv+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,10,1,21583.193869896044,21482.33511949416,21590.025399206945
case,27,1,ger+129x31+uniform,ok,direct,reset-and-arithmetic,policy,10,1,4724.360579196217,4720.9417021276595,4726.538226950354
case,28,1,syr+129+uniform+uplo=L,ok,direct,reset-and-arithmetic,policy,10,1,20630.02828832529,20612.737858096312,20645.820926173117
case,29,1,syr2+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,10,1,36327.82153231663,36296.0468409586,36427.99527959332
case,30,1,trsv+129+triangular+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,policy,10,1,17133.37759586385,17115.017837139163,17151.658250753986
case,31,1,trmv+129+triangular+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,policy,10,1,14632.180733068899,14624.391141472013,14649.140737476127
case,32,1,gemm+32x21x48+uniform,ok,direct,reset-and-arithmetic,policy,10,1,29315.6464453584,29292.734136310224,29337.610164512338
case,33,1,gemm+129x31x257+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,10,1,490353.09336609335,489555.3660933661,491362.29484029487
case,34,1,gemm+65x127x33+uniform+transB=T,ok,direct,reset-and-arithmetic,policy,10,1,152654.6564160972,152309.35155656797,152835.84054669703
case,35,1,symm+129x31+uniform+side=L+uplo=L,ok,direct,reset-and-arithmetic,policy,10,1,263599.90224570676,262789.1122853368,263823.30911492737
case,36,1,symm+31x129+uniform+side=R+uplo=U,ok,direct,reset-and-arithmetic,policy,10,1,258539.3009079118,258239.39559014267,258953.0972762646
