run,id,implementation,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
run,1,openblas,1,ns,437ae0208b7fffe9b36ca8ece042cce97c078909,false,OpenBLAS 0.3.32 NO_LAPACKE DYNAMIC_ARCH NO_AFFINITY neoversen1 MAX_THREADS=128; compiler=15.2.0,1,5,200000000,vendor-calibrated,50000000,1
case,1,1,dot+4096+uniform,ok,direct,arithmetic,vendor-cblas,10,1,1314.8491363525391,1314.4916610717773,1315.1631698608398
case,2,1,axpy+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,2877.0449600219727,2876.3032531738281,2878.2470855712891
case,3,1,axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,2883.3399429321289,2882.7528839111328,2884.7699737548828
case,4,1,scal+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,1982.7120666503906,1982.3242492675781,1983.8495635986328
case,5,1,nrm2+4096+uniform,ok,direct,arithmetic,vendor-cblas,10,1,8543.4326171875,8507.105224609375,8620.945556640625
case,6,1,asum+4096+uniform,ok,direct,arithmetic,vendor-cblas,10,1,872.04138946533203,871.89956665039062,872.69802856445312
case,7,1,sum+4096+uniform,ok,direct,arithmetic,vendor-cblas,10,1,602.35881996154785,601.65599822998047,603.50563049316406
case,8,1,compensated-sum+4096+uniform,unsupported,unsupported,arithmetic,unavailable,0,0,,,
case,9,1,iamax+64+uniform,ok,direct,arithmetic,vendor-cblas,10,1,121.515117,121.414081,122.017678
case,10,1,iamax+128+uniform,ok,direct,arithmetic,vendor-cblas,10,1,137.50384300000002,137.42843500000001,137.80423500000001
case,11,1,iamax+256+uniform,ok,direct,arithmetic,vendor-cblas,10,1,180.1242905,179.00526600000001,181.08042699999999
case,12,1,iamax+512+uniform,ok,direct,arithmetic,vendor-cblas,10,1,231.23525905609131,230.6925048828125,231.68834114074707
case,13,1,iamax+1024+uniform,ok,direct,arithmetic,vendor-cblas,10,1,355.47054481506348,353.40502738952637,355.8104362487793
case,14,1,iamax+4096+uniform,ok,direct,arithmetic,vendor-cblas,10,1,1085.3839302062988,1082.6197204589844,1089.8819732666016
case,15,1,iamax+65536+uniform,ok,direct,arithmetic,vendor-cblas,10,1,17406.290344238281,17390.250244140625,17418.071655273438
case,16,1,swap+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,4865.6886138916016,4863.8572998046875,4876.0399475097656
case,17,1,rot+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,5042.243408203125,5040.5574645996094,5046.5680541992188
case,18,1,rotm+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,7333.0616760253906,7328.2052001953125,7343.663330078125
case,19,1,rotmg+1+uniform,ok,direct,arithmetic,vendor-cblas,10,1,79.690308000000002,79.235176999999993,80.067318999999998
case,20,1,ssqd+4096+uniform,unsupported,unsupported,arithmetic,unavailable,0,0,,,
case,21,1,dot4+4096+uniform,ok,composed,arithmetic,vendor-cblas,10,1,5685.9386596679688,5683.8630065917969,5691.2525329589844
case,22,1,axpy4+4096+uniform,ok,composed,reset-and-arithmetic,vendor-cblas,10,1,7263.8114013671875,7262.9022216796875,7268.82470703125
case,23,1,dot-axpy+4096+uniform,ok,composed,reset-and-arithmetic,vendor-cblas,10,1,4405.8070831298828,4404.2205810546875,4408.7572631835938
case,24,1,gemv+32x21+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,475.13556480407715,474.87912368774414,475.38217544555664
case,25,1,gemv+129x31+uniform+transA=T,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,2528.1319274902344,2527.32958984375,2529.2286071777344
case,26,1,symv+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,3917.7933807373047,3916.633056640625,3920.1937255859375
case,27,1,ger+129x31+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,2430.4126129150391,2429.8033905029297,2431.9120178222656
case,28,1,syr+129+uniform+uplo=L,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,8669.6388244628906,8667.2382202148438,8676.1759643554688
case,29,1,syr2+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,12318.899291992188,12307.0419921875,12335.6455078125
case,30,1,trsv+129+triangular+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,5533.7037048339844,5531.2081298828125,5539.3981628417969
case,31,1,trmv+129+triangular+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,7910.6450500488281,7903.3151245117188,7918.4332275390625
case,32,1,gemm+32x21x48+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,9018.0035705566406,9004.50634765625,9034.6093139648438
case,33,1,gemm+129x31x257+uniform+transA=T,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,138317.87744140625,138237.5615234375,138422.0234375
case,34,1,gemm+65x127x33+uniform+transB=T,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,39300.737426757812,39289.4033203125,39338.056640625
case,35,1,symm+129x31+uniform+side=L+uplo=L,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,70278.357666015625,70240.0791015625,70345.318359375
case,36,1,symm+31x129+uniform+side=R+uplo=U,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,71959.781494140625,71948.10302734375,71992.14892578125
case,37,1,gemmt+129x31+uniform+uplo=L+transA=N+transB=N,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,132811.2919921875,132749.7978515625,132888.130859375
case,38,1,syrk+129x31+uniform+uplo=L+transA=N,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,43416.3427734375,43375.969482421875,43430.482421875
case,39,1,syr2k+129x31+uniform+uplo=U+transA=T,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,76333.30078125,76272.890625,76386.89208984375
case,40,1,trsm+64x16+triangular+side=L+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,9907.2059631347656,9898.3513793945312,9911.2819213867188
case,41,1,trsm+17x64+triangular+side=R+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,9978.5225830078125,9969.2943725585938,9981.4552001953125
case,42,1,trmm+64x16+triangular+side=L+uplo=U+transA=T+diag=N,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,6695.0195617675781,6693.5755004882812,6703.6715698242188
case,43,1,trmm+17x64+triangular+side=R+uplo=L+transA=N+diag=U,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,6609.7099609375,6608.2466430664062,6613.1659545898438
case,44,1,gemm-tile+4x4x32+uniform+packed=4x4,ok,partial,vendor-arithmetic,vendor-cblas,10,1,454.42636489868164,454.20379257202148,454.79801559448242
case,45,1,gemm-tile+3x2x31+uniform+packed=4x4,ok,partial,vendor-arithmetic,vendor-cblas,10,1,398.24853897094727,397.99812316894531,398.50142669677734
case,46,1,packed-trsm+4x4+triangular+packed=4x4+uplo=L+diag=N,ok,partial,vendor-arithmetic,vendor-cblas,10,1,430.74130249023438,430.37296676635742,431.58495712280273
case,47,1,packed-trsm+3x2+triangular+packed=4x4+uplo=U+diag=U,ok,partial,vendor-arithmetic,vendor-cblas,10,1,375.49066162109375,375.39567565917969,375.74177360534668
case,48,1,gemm-trsm+4x4x32+triangular+packed=4x4+uplo=L+diag=N,ok,composed,vendor-arithmetic,vendor-cblas,10,1,689.28970146179199,688.89146041870117,690.27018356323242
case,49,1,gemm-trsm+3x2x31+triangular+packed=4x4+uplo=U+diag=U,ok,composed,vendor-arithmetic,vendor-cblas,10,1,569.83473968505859,569.23088836669922,570.27298355102539
case,50,1,gemm-tile+8x4x32+uniform+packed=8x4,ok,partial,vendor-arithmetic,vendor-cblas,10,1,537.65838813781738,537.37743759155273,538.18982696533203
case,51,1,gemm-tile+7x2x31+uniform+packed=8x4,ok,partial,vendor-arithmetic,vendor-cblas,10,1,458.82954978942871,458.71141052246094,459.58786773681641
case,52,1,packed-trsm+8x4+triangular+packed=8x4+uplo=L+diag=N,ok,partial,vendor-arithmetic,vendor-cblas,10,1,477.4413948059082,476.76525497436523,477.61257553100586
case,53,1,packed-trsm+7x2+triangular+packed=8x4+uplo=U+diag=U,ok,partial,vendor-arithmetic,vendor-cblas,10,1,392.30463409423828,392.13413238525391,392.76438140869141
