case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
dot+4096+uniform,ok,direct,arithmetic,policy,10,2,567.3866024907537,553.1621096016044,580.7492340632942
axpy+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,2,1199.027506541945,1167.7466237304352,1334.4512490249806
axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,2,1284.1759669260307,1217.8573835197383,1300.7497482736444
scal+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,2,843.1278644091295,768.9647851073311,928.3336208655647
nrm2+4096+uniform,ok,direct,arithmetic,policy,10,2,268.06976134902914,261.1689375714278,269.95625750897034
asum+4096+uniform,ok,direct,arithmetic,policy,10,2,236.22662086848584,224.77118173874564,237.72568975141633
sum+4096+uniform,ok,direct,arithmetic,policy,10,2,167.77437333724163,154.05927643220718,184.50959210624535
compensated-sum+4096+uniform,ok,unsupported,arithmetic,policy,10,2,2664.6784016517086,2620.7073320849104,2842.5871722434376
iamax+64+uniform,ok,direct,arithmetic,policy,10,2,25.086401758086094,23.95631453591576,25.22953730576212
iamax+128+uniform,ok,direct,arithmetic,policy,10,2,40.726757630875916,39.47820180252808,42.333441616464114
iamax+256+uniform,ok,direct,arithmetic,policy,10,2,76.94141295158695,73.28327699006168,77.36587974912729
iamax+512+uniform,ok,direct,arithmetic,policy,10,2,147.02740221718662,141.53408403142694,150.04547529440512
iamax+1024+uniform,ok,direct,arithmetic,policy,10,2,313.5570812917525,307.78986196939246,322.68008065803025
iamax+4096+uniform,ok,direct,arithmetic,policy,10,2,702.982572817526,680.1699210720341,721.6654587804315
iamax+65536+uniform,ok,direct,arithmetic,policy,10,2,8882.905316813823,8663.986626850168,9413.508320797293
swap+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,2,2350.0101433662076,2303.106626783249,2505.109829193518
rot+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,2,2520.46054141505,2443.0831116209815,2539.6980363802422
rotm+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,2,2417.6480293501836,2368.6544269817055,2556.054870104989
rotmg+1+uniform,ok,direct,arithmetic,policy,10,2,7.31212138380988,7.175919133848223,8.899237823191948
ssqd+4096+uniform,ok,unsupported,arithmetic,policy,10,2,574.972060257222,562.1983843270181,590.8036331541551
dot4+4096+uniform,ok,composed,arithmetic,policy,10,2,1328.8905695346218,1018.4093591948467,1637.8670555223782
axpy4+4096+uniform,ok,composed,reset-and-arithmetic,policy,10,2,2200.8955692330724,1944.48734164918,2756.06552569257
dot-axpy+4096+uniform,ok,composed,reset-and-arithmetic,policy,10,2,2761.257345011749,1735.4029497450838,3447.155780625603
gemv+32x21+uniform,ok,direct,reset-and-arithmetic,policy,10,2,220.36140584623055,209.3029014538634,221.6336732852685
gemv+129x31+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,10,2,997.1220050993561,965.4423900669535,1019.4351956985524
symv+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,10,2,4052.54093472154,3931.462684808859,4170.226455577544
ger+129x31+uniform,ok,direct,reset-and-arithmetic,policy,10,2,1976.7723221924841,1931.1405464839268,2061.568673085835
syr+129+uniform+uplo=L,ok,direct,reset-and-arithmetic,policy,10,2,5584.60526288829,5388.566336420417,5864.25897931681
syr2+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,10,2,8056.60742678094,7861.536501079913,8117.468936170213
trsv+129+triangular+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,policy,10,2,3381.7095590381896,3261.690274135488,3538.856842291372
trmv+129+triangular+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,policy,10,2,3199.8675519273957,3084.6035665294926,3249.9396054874583
gemm+32x21x48+uniform,ok,direct,reset-and-arithmetic,policy,10,2,7011.996462958028,6701.385282109632,7100.041541026641
gemm+129x31x257+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,10,2,140721.59062050603,140384.64656381487,141165.25669957686
