case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
dot+4096+uniform,ok,direct,arithmetic,policy,10,2,1650.847678364655,1636.5214792647828,1682.7156369017093
axpy+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,2,1258.6068711167065,1231.443805984841,1287.5643334618846
axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,2,1135.6796413957218,1115.5738049212566,1157.202852798159
scal+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,2,960.4753144680913,924.5188701889789,988.2420862865187
nrm2+4096+uniform,ok,direct,arithmetic,policy,10,2,1622.3429360735101,1620.3997183258193,1640.847517497992
asum+4096+uniform,ok,direct,arithmetic,policy,10,2,1620.937542746291,1619.4085107415556,1676.5357968054113
sum+4096+uniform,ok,direct,arithmetic,policy,10,2,1620.8452131208996,1620.1809415952112,1630.5443241042344
compensated-sum+4096+uniform,ok,unsupported,arithmetic,policy,10,2,2739.8717619282975,2632.783578067281,2829.3703211391885
iamax+64+uniform,ok,direct,arithmetic,policy,10,2,19.921652419242356,19.36281848473304,20.468216727235397
iamax+128+uniform,ok,direct,arithmetic,policy,10,2,41.67264358472042,41.38169502544184,42.004534472951214
iamax+256+uniform,ok,direct,arithmetic,policy,10,2,72.41653070288376,71.1166767697513,72.94570631102546
iamax+512+uniform,ok,direct,arithmetic,policy,10,2,143.89143816792696,141.91214110507735,146.72744938926994
iamax+1024+uniform,ok,direct,arithmetic,policy,10,2,320.6264155236722,304.00837105447033,321.60295029708635
iamax+4096+uniform,ok,direct,arithmetic,policy,10,2,1129.5076924616183,1098.5041582723545,1167.0377653279543
iamax+65536+uniform,ok,direct,arithmetic,policy,10,2,17689.049907857196,17179.58899759698,18172.335965867827
swap+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,2,2361.8981363453913,2340.498596950706,2396.0032558863313
rot+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,2,2471.9322063268855,2380.8032490545393,2508.149787575351
rotm+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,2,3192.857380169634,3175.0287259691645,3201.863525874752
rotmg+1+uniform,ok,direct,arithmetic,policy,10,2,6.773910451103811,6.671103116091537,9.862976877090222
ssqd+4096+uniform,ok,unsupported,arithmetic,policy,10,2,1660.3114337823413,1648.6837411162078,1700.2277665927606
dot4+4096+uniform,ok,composed,arithmetic,policy,10,2,3214.5990367015715,3169.3797061524333,3317.970174479296
axpy4+4096+uniform,ok,composed,reset-and-arithmetic,policy,10,2,3870.5591255793365,3762.9617712288086,3945.860305132855
dot-axpy+4096+uniform,ok,composed,reset-and-arithmetic,policy,10,2,2342.6940608845584,2300.5766788023566,2444.1164531610634
gemv+32x21+uniform,ok,direct,reset-and-arithmetic,policy,10,2,205.7601810335226,204.39629134340547,206.20800751767365
gemv+129x31+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,10,2,977.8221036626649,944.4978645688317,999.9407464774657
symv+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,10,2,4101.0643909691535,3939.517379837027,4187.992632592406
ger+129x31+uniform,ok,direct,reset-and-arithmetic,policy,10,2,1692.746328207805,1634.9923859941507,1886.6191239114864
syr+129+uniform+uplo=L,ok,direct,reset-and-arithmetic,policy,10,2,5532.278810408661,5427.821577663323,5544.948982985091
syr2+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,10,2,7923.635607887929,7882.768961171931,8305.06158759124
trsv+129+triangular+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,policy,10,2,3375.459483945095,3292.980856207753,3454.5070852822896
trmv+129+triangular+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,policy,10,2,2702.1736247870467,2649.4575124457156,2802.404747583544
gemm+32x21x48+uniform,ok,direct,reset-and-arithmetic,policy,10,2,9725.402213321831,9509.835241035384,10412.621417797889
gemm+129x31x257+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,10,2,251606.24748743718,246196.68427518426,253986.989860583
gemm+65x127x33+uniform+transB=T,ok,direct,reset-and-arithmetic,policy,10,2,65095.4453339886,64783.278964401296,66799.97565855285
symm+129x31+uniform+side=L+uplo=L,ok,direct,reset-and-arithmetic,policy,10,2,127755.99072243368,119986.39604553625,128661.16634553629
symm+31x129+uniform+side=R+uplo=U,ok,direct,reset-and-arithmetic,policy,10,2,124834.12485289777,120104.49610077984,127487.05987261147
gemmt+129x31+uniform+uplo=L+transA=N+transB=N,ok,direct,reset-and-arithmetic,policy,10,2,140781.1383430541,137363.45298558683,145456.0755265069
syrk+129x31+uniform+uplo=L+transA=N,ok,direct,reset-and-arithmetic,policy,10,2,71070.68761956878,66979.23360107096,77863.87164527421
syr2k+129x31+uniform+uplo=U+transA=T,ok,direct,reset-and-arithmetic,policy,10,2,151217.4212737274,149253.40760059614,165126.44471947194
trsm+64x16+triangular+side=L+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,policy,10,2,14226.32348406203,13741.24668908255,14677.142396245783
trsm+17x64+triangular+side=R+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,policy,10,2,15918.500464952878,15557.14535290007,16532.670658188126
trmm+64x16+triangular+side=L+uplo=U+transA=T+diag=N,ok,direct,reset-and-arithmetic,policy,10,2,11547.540328407766,11347.394387755103,11829.255716395865
trmm+17x64+triangular+side=R+uplo=L+transA=N+diag=U,ok,direct,reset-and-arithmetic,policy,10,2,14545.900714231262,13800.580634045486,15387.116168217113
gemm-tile+4x4x32+uniform+packed=4x4,ok,partial,raw-tile,portable-tile,10,2,113.91474183749116,108.85141861690357,114.96172261718999
gemm-tile+3x2x31+uniform+packed=4x4,ok,partial,raw-tile,portable-tile,10,2,110.78834996801407,106.55940492066408,111.54405688088016
packed-trsm+4x4+triangular+packed=4x4+uplo=L+diag=N,ok,partial,raw-tile,portable-tile,10,2,40.2355895760036,39.09622933924626,41.74469484419783
packed-trsm+3x2+triangular+packed=4x4+uplo=U+diag=U,ok,partial,raw-tile,portable-tile,10,2,10.767910690195208,10.207792307734255,10.983607314719784
gemm-trsm+4x4x32+triangular+packed=4x4+uplo=L+diag=N,ok,composed,raw-tile,portable-tile,10,2,238.60583297672835,232.80842101101896,246.0437296080821
gemm-trsm+3x2x31+triangular+packed=4x4+uplo=U+diag=U,ok,composed,raw-tile,portable-tile,10,2,87.15204374302395,80.53788864012773,88.0471349218883
gemm-tile+8x4x32+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
gemm-tile+7x2x31+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
packed-trsm+8x4+triangular+packed=8x4+uplo=L+diag=N,unsupported,unsupported,arithmetic,unavailable,0,0,,,
packed-trsm+7x2+triangular+packed=8x4+uplo=U+diag=U,unsupported,unsupported,arithmetic,unavailable,0,0,,,
gemm-trsm+8x4x32+triangular+packed=8x4+uplo=L+diag=N,unsupported,unsupported,arithmetic,unavailable,0,0,,,
gemm-trsm+7x2x31+triangular+packed=8x4+uplo=U+diag=U,unsupported,unsupported,arithmetic,unavailable,0,0,,,
pack-left+4x32+uniform+packed=4x4,ok,unsupported,packing-only,portable-layout,10,2,129.75329497139035,127.42132391646261,134.38112181067476
pack-left+3x31+uniform+packed=4x4,ok,unsupported,packing-only,portable-layout,10,2,140.6647253638701,133.29976939944638,141.9024982198127
pack-right+32x4+uniform+packed=4x4,ok,unsupported,packing-only,portable-layout,10,2,132.8454801643843,121.66400917251696,137.25433829144598
pack-right+31x2+uniform+packed=4x4,ok,unsupported,packing-only,portable-layout,10,2,130.3764045492275,122.57182509170515,134.6270792123492
pack-symmetric-left+4x4+uniform+packed=4x4+uplo=L,ok,unsupported,packing-only,portable-layout,10,2,29.608182653836746,28.208899564075665,30.181151063341478
pack-symmetric-right+4x4+uniform+packed=4x4+uplo=U,ok,unsupported,packing-only,portable-layout,10,2,30.15701652330386,29.352762308915636,31.433165279470305
pack-triangular-left+4x4+triangular+packed=4x4+uplo=L+diag=N,ok,unsupported,packing-only,portable-layout,10,2,29.32554761379627,27.602254410806747,31.03292309472128
pack-triangular-right+4x4+triangular+packed=4x4+uplo=U+diag=U,ok,unsupported,packing-only,portable-layout,10,2,27.684086393507762,26.65738695112509,28.241640281756155
write-left+3x31+uniform+packed=4x4,ok,unsupported,layout-only,portable-layout,10,2,61.30358302494652,59.2205558852744,64.33213218424046
write-left+4x32+uniform+packed=4x4,ok,unsupported,layout-only,portable-layout,10,2,76.62803436335591,76.10094104674816,80.86059476101174
write-right+31x2+uniform+packed=4x4,ok,unsupported,layout-only,portable-layout,10,2,83.84300744783513,82.00302093029255,84.061632278363
write-right+32x4+uniform+packed=4x4,ok,unsupported,layout-only,portable-layout,10,2,109.62259701621511,105.19010932304212,111.97036411385166
clear-left-padding+3x31+uniform+packed=4x4,ok,unsupported,layout-only,portable-layout,10,2,67.94171915483753,66.25759659524776,68.51748428576805
clear-left-padding+4x32+uniform+packed=4x4,ok,unsupported,layout-only,portable-layout,10,2,6.729025518292946,6.354159353023272,6.786398101087638
clear-right-padding+31x2+uniform+packed=4x4,ok,unsupported,layout-only,portable-layout,10,2,72.1747724004066,69.0980535178177,73.19867721161798
clear-right-padding+32x4+uniform+packed=4x4,ok,unsupported,layout-only,portable-layout,10,2,6.988102613038374,6.71356757116336,7.117991159457775
pack-left+7x31+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
pack-left+8x32+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
pack-right+31x2+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
pack-right+32x4+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
pack-symmetric-left+8x8+uniform+packed=8x4+uplo=L,unsupported,unsupported,arithmetic,unavailable,0,0,,,
pack-symmetric-right+4x4+uniform+packed=8x4+uplo=U,unsupported,unsupported,arithmetic,unavailable,0,0,,,
pack-triangular-left+8x8+triangular+packed=8x4+uplo=L+diag=N,unsupported,unsupported,arithmetic,unavailable,0,0,,,
pack-triangular-right+4x4+triangular+packed=8x4+uplo=U+diag=U,unsupported,unsupported,arithmetic,unavailable,0,0,,,
write-left+7x31+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
write-left+8x32+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
write-right+31x2+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
write-right+32x4+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
clear-left-padding+7x31+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
clear-left-padding+8x32+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
clear-right-padding+31x2+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
clear-right-padding+32x4+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spdot+4096+sparse-uniform+density=0.01,ok,direct,arithmetic,policy,10,2,20.067629005468397,18.493059147909918,20.096155322802748
spdot-raw+64+sparse-uniform+density=0.125,ok,unsupported,arithmetic,policy,10,2,9.400271166666776,8.975735915095202,9.427300307127242
