case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
dot+4096+uniform,ok,direct,arithmetic,policy,10,2,536.2148779453212,523.627612086662,552.5459638225218
axpy+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,2,1247.5608248353515,1120.1832306650776,1311.3816625820741
axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,2,1147.367937691101,1143.3395842850616,1179.5405706537758
scal+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,2,1059.5784133037068,1045.7709462177936,1127.3004218126116
nrm2+4096+uniform,ok,direct,arithmetic,policy,10,2,334.4547111274911,316.90944944846683,336.9504533237288
asum+4096+uniform,ok,direct,arithmetic,policy,10,2,248.60497043675508,247.8657625615788,249.63876193837126
sum+4096+uniform,ok,direct,arithmetic,policy,10,2,153.531190292375,150.8396406377775,155.1190362495562
compensated-sum+4096+uniform,ok,unsupported,arithmetic,policy,10,2,2841.179513075386,2664.54177201714,2851.5924263794504
iamax+64+uniform,ok,direct,arithmetic,policy,10,2,20.621000784880508,20.060265189971883,20.74004655671651
iamax+128+uniform,ok,direct,arithmetic,policy,10,2,38.372747865709535,37.38229000468738,40.13938458170129
iamax+256+uniform,ok,direct,arithmetic,policy,10,2,63.02881639912034,61.284661312383136,66.22446798970608
iamax+512+uniform,ok,direct,arithmetic,policy,10,2,124.12450429491676,120.68960271854944,124.59801169699855
iamax+1024+uniform,ok,direct,arithmetic,policy,10,2,192.50334223069729,183.06928758475908,200.06408246985748
iamax+4096+uniform,ok,direct,arithmetic,policy,10,2,620.2815096516582,579.5468521102703,633.4327839592906
iamax+65536+uniform,ok,direct,arithmetic,policy,10,2,9223.571600575095,8748.478287461774,9259.337341596522
swap+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,2,3272.0087990919465,2850.800253330297,3703.5517279677174
rot+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,2,2399.783103580883,2334.686106966334,2493.357713146914
rotm+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,2,2417.3881987738223,2398.4006735217276,2437.0700626081025
rotmg+1+uniform,ok,direct,arithmetic,policy,10,2,6.783336711483397,6.690005701145847,9.590538949105467
ssqd+4096+uniform,ok,unsupported,arithmetic,policy,10,2,481.53948321613507,477.2601279266865,513.4832893940481
dot4+4096+uniform,ok,composed,arithmetic,policy,10,2,1402.8269534372666,1329.012410853022,1427.888857982426
axpy4+4096+uniform,ok,composed,reset-and-arithmetic,policy,10,2,2056.580474790201,1860.3121910884834,2162.415234927594
dot-axpy+4096+uniform,ok,composed,reset-and-arithmetic,policy,10,2,1540.9329250731791,1491.5305338959045,1606.1796112220911
gemv+32x21+uniform,ok,direct,reset-and-arithmetic,policy,10,2,68.94097482195272,68.6553823159824,73.90214027540028
gemv+129x31+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,10,2,621.733515006275,597.5752532021528,630.2555104764363
symv+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,10,2,2909.5648650914018,2851.2225450402334,3088.0659128771517
ger+129x31+uniform,ok,direct,reset-and-arithmetic,policy,10,2,1143.8747022668747,1092.3097098823375,1212.494311986625
syr+129+uniform+uplo=L,ok,direct,reset-and-arithmetic,policy,10,2,3695.2463658412726,3612.148256390828,3876.461304625632
syr2+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,10,2,5171.53993139193,5023.739439271103,5616.989084991162
trsv+129+triangular+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,policy,10,2,1568.3021353049612,1553.8798817440427,1906.863395996303
