case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
dot+4096+uniform,ok,direct,arithmetic,policy,5,1,670.0534037360304,669.3269026644401,670.4297584358161
axpy+4096+uniform,ok,direct,reset-and-arithmetic,policy,5,1,1246.493517772238,1239.0619169899971,1252.234703504464
axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,policy,5,1,1207.1258711644564,1201.609137547188,1208.0308658406736
scal+4096+uniform,ok,direct,reset-and-arithmetic,policy,5,1,794.3630089069712,793.7206556531323,795.9331175962511
nrm2+4096+uniform,ok,direct,arithmetic,policy,5,1,704.6223129405051,703.748347170024,709.4392248165773
asum+4096+uniform,ok,direct,arithmetic,policy,5,1,315.4597387980961,315.1886703087997,316.91109443754056
sum+4096+uniform,ok,direct,arithmetic,policy,5,1,249.63805977207468,247.88243194334277,251.88280017503615
compensated-sum+4096+uniform,ok,unsupported,arithmetic,policy,5,1,4849.107511188948,4847.361719206071,4852.175544853084
iamax+64+uniform,ok,direct,arithmetic,policy,5,1,70.737205,70.636878,71.303442
iamax+128+uniform,ok,direct,arithmetic,policy,5,1,112.960638,112.426172,113.192657
iamax+256+uniform,ok,direct,arithmetic,policy,5,1,135.158737,134.372317,135.400922
iamax+512+uniform,ok,direct,arithmetic,policy,5,1,271.9987464612369,270.93876714939023,272.98499972778745
iamax+1024+uniform,ok,direct,arithmetic,policy,5,1,340.81003061620896,339.44944047123977,341.84750595125024
iamax+4096+uniform,ok,direct,arithmetic,policy,5,1,741.002300719301,738.1252307244843,743.7563325713987
iamax+65536+uniform,ok,direct,arithmetic,policy,5,1,8774.311213315812,8757.388392466053,8785.898904949629
swap+4096+uniform,ok,direct,reset-and-arithmetic,policy,5,1,2241.7628103360917,2235.520531441761,2256.428610032089
rot+4096+uniform,ok,direct,reset-and-arithmetic,policy,5,1,2238.0989028230733,2231.3479698304363,2247.514473993881
rotm+4096+uniform,ok,direct,reset-and-arithmetic,policy,5,1,2433.57160661133,2425.7707451056312,2442.2319531495777
rotmg+1+uniform,ok,direct,arithmetic,policy,5,1,30.582259,30.344484,30.63083
ssqd+4096+uniform,ok,unsupported,arithmetic,policy,5,1,680.1861561771165,679.9418259818525,680.8645000936314
dot4+4096+uniform,ok,composed,arithmetic,policy,5,1,1064.240826455943,1063.7823751042902,1065.3293016681102
axpy4+4096+uniform,ok,composed,reset-and-arithmetic,policy,5,1,1961.118578763466,1956.451069173793,1963.2559097161115
dot-axpy+4096+uniform,ok,composed,reset-and-arithmetic,policy,5,1,1738.3899373262088,1735.9919805441027,1740.3006685785515
gemv+32x21+uniform,ok,direct,reset-and-arithmetic,policy,5,1,429.19696513556966,425.9031935041005,429.8823504292666
