case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
dot+4096+uniform,ok,direct,arithmetic,vendor-cblas,5,1,484.13236618041992,483.04397964477539,484.75968170166016
axpy+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,1144.7653045654297,1142.0023727416992,1145.6952514648438
axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,1145.0421447753906,1143.7658538818359,1146.9597930908203
scal+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,761.30408477783203,759.92925262451172,763.44512557983398
nrm2+4096+uniform,ok,direct,arithmetic,vendor-cblas,5,1,904.29524230957031,902.33074951171875,912.21320343017578
asum+4096+uniform,ok,direct,arithmetic,vendor-cblas,5,1,205.15619277954102,204.31236457824707,206.6556453704834
sum+4096+uniform,unsupported,unsupported,arithmetic,unavailable,0,0,,,
compensated-sum+4096+uniform,unsupported,unsupported,arithmetic,unavailable,0,0,,,
iamax+64+uniform,ok,direct,arithmetic,vendor-cblas,5,1,44.995918000000003,43.184041000000001,45.358915000000003
iamax+128+uniform,ok,direct,arithmetic,vendor-cblas,5,1,68.555509000000001,67.500884999999997,69.653605999999996
iamax+256+uniform,ok,direct,arithmetic,vendor-cblas,5,1,65.972431999999998,65.035523999999995,66.199966000000003
iamax+512+uniform,ok,direct,arithmetic,vendor-cblas,5,1,114.360328,111.99831399999999,115.718041
iamax+1024+uniform,ok,direct,arithmetic,vendor-cblas,5,1,137.13215299999999,135.78975399999999,137.51332400000001
iamax+4096+uniform,ok,direct,arithmetic,vendor-cblas,5,1,310.01116752624512,304.06723022460938,310.61995506286621
iamax+65536+uniform,ok,direct,arithmetic,vendor-cblas,5,1,4052.6703186035156,4049.6634826660156,4074.6284790039062
swap+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,2224.1890563964844,2206.0529174804688,2226.6568908691406
rot+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,2303.1008148193359,2301.7833099365234,2304.5052185058594
