case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
dot+4096+uniform,ok,direct,arithmetic,vendor-cblas,5,1,489.55911636352539,488.57740783691406,489.76979446411133
axpy+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,1182.9109725952148,1179.3183212280273,1185.6938247680664
axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,1186.8247528076172,1180.3632965087891,1188.0340118408203
scal+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,721.16433334350586,719.70363235473633,722.14125823974609
nrm2+4096+uniform,ok,direct,arithmetic,vendor-cblas,5,1,876.80862426757812,874.8785400390625,888.08844757080078
asum+4096+uniform,ok,direct,arithmetic,vendor-cblas,5,1,187.73356699999999,187.55862099999999,188.03895600000001
sum+4096+uniform,ok,direct,arithmetic,vendor-cblas,5,1,136.44923900000001,135.70692199999999,136.781747
compensated-sum+4096+uniform,unsupported,unsupported,arithmetic,unavailable,0,0,,,
iamax+64+uniform,ok,direct,arithmetic,vendor-cblas,5,1,30.614598999999998,30.461677999999999,31.155985999999999
iamax+128+uniform,ok,direct,arithmetic,vendor-cblas,5,1,45.063119,45.014488999999998,45.422632999999998
iamax+256+uniform,ok,direct,arithmetic,vendor-cblas,5,1,60.903503000000001,60.595123999999998,61.074410999999998
iamax+512+uniform,ok,direct,arithmetic,vendor-cblas,5,1,133.383827,132.71728300000001,134.76180299999999
iamax+1024+uniform,ok,direct,arithmetic,vendor-cblas,5,1,194.4694709777832,192.02388572692871,195.1689510345459
iamax+4096+uniform,ok,direct,arithmetic,vendor-cblas,5,1,531.43727111816406,528.75082397460938,533.63268661499023
iamax+65536+uniform,ok,direct,arithmetic,vendor-cblas,5,1,7193.312744140625,7136.3441162109375,7206.21728515625
swap+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,2550.2510681152344,2543.9920654296875,2553.8825073242188
rot+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,2153.9640197753906,2142.0048065185547,2156.710205078125
rotm+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,3499.9319763183594,3475.9488525390625,3511.4104919433594
rotmg+1+uniform,ok,direct,arithmetic,vendor-cblas,5,1,32.820385999999999,32.790967999999999,32.888126
ssqd+4096+uniform,unsupported,unsupported,arithmetic,unavailable,0,0,,,
dot4+4096+uniform,ok,composed,arithmetic,vendor-cblas,5,1,2004.0775146484375,2002.9742126464844,2008.7639465332031
axpy4+4096+uniform,ok,composed,reset-and-arithmetic,vendor-cblas,5,1,2258.1399230957031,2252.0496673583984,2259.5366821289062
dot-axpy+4096+uniform,ok,composed,reset-and-arithmetic,vendor-cblas,5,1,1612.8029632568359,1607.7915344238281,1615.8443908691406
gemv+32x21+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,107.604011,107.040183,108.431213
gemv+129x31+uniform+transA=T,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,380.29168319702148,379.64270401000977,380.95794105529785
symv+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,1240.7595443725586,1240.6187973022461,1243.1301879882812
ger+129x31+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,980.73200225830078,976.74156951904297,983.48777008056641
syr+129+uniform+uplo=L,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,3708.228271484375,3687.3184509277344,3715.8782043457031
syr2+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,4847.1509094238281,4834.6837768554688,4852.2200012207031
trsv+129+triangular+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,1623.5726928710938,1620.4706115722656,1624.9208526611328
trmv+129+triangular+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,1498.4224243164062,1496.4556503295898,1501.1983261108398
gemm+32x21x48+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,1617.7933349609375,1613.2710723876953,1626.9275512695312
gemm+129x31x257+uniform+transA=T,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,51002.74609375,50902.5712890625,51405.40380859375
gemm+65x127x33+uniform+transB=T,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,13090.652099609375,13083.7490234375,13156.30810546875
symm+129x31+uniform+side=L+uplo=L,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,26257.38134765625,26195.959716796875,26352.4697265625
symm+31x129+uniform+side=R+uplo=U,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,25196.308349609375,25118.77490234375,25287.591552734375
gemmt+129x31+uniform+uplo=L+transA=N+transB=N,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,23041.200805664062,22990.685302734375,23075.289184570312
syrk+129x31+uniform+uplo=L+transA=N,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,15162.322387695312,15138.3701171875,15198.728759765625
syr2k+129x31+uniform+uplo=U+transA=T,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,25749.424560546875,25697.55859375,25753.487060546875
trsm+64x16+triangular+side=L+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,3203.2626647949219,3197.1578063964844,3206.5712585449219
trsm+17x64+triangular+side=R+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,4297.14501953125,4284.8069152832031,4323.3256225585938
trmm+64x16+triangular+side=L+uplo=U+transA=T+diag=N,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,2168.2791900634766,2158.3387298583984,2173.3800964355469
trmm+17x64+triangular+side=R+uplo=L+transA=N+diag=U,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,2420.9954986572266,2411.4378967285156,2424.8992156982422
gemm-tile+4x4x32+uniform+packed=4x4,ok,partial,vendor-arithmetic,vendor-cblas,5,1,176.55985899999999,176.16975299999999,176.79809299999999
gemm-tile+3x2x31+uniform+packed=4x4,ok,partial,vendor-arithmetic,vendor-cblas,5,1,158.69340299999999,157.999663,159.46014299999999
packed-trsm+4x4+triangular+packed=4x4+uplo=L+diag=N,ok,partial,vendor-arithmetic,vendor-cblas,5,1,209.20908355712891,208.88621139526367,210.1064338684082
packed-trsm+3x2+triangular+packed=4x4+uplo=U+diag=U,ok,partial,vendor-arithmetic,vendor-cblas,5,1,155.250857,154.774406,155.57868300000001
gemm-trsm+4x4x32+triangular+packed=4x4+uplo=L+diag=N,ok,composed,vendor-arithmetic,vendor-cblas,5,1,284.13644981384277,283.3646068572998,284.43349838256836
gemm-trsm+3x2x31+triangular+packed=4x4+uplo=U+diag=U,ok,composed,vendor-arithmetic,vendor-cblas,5,1,248.60561561584473,248.06966972351074,249.22769546508789
gemm-tile+8x4x32+uniform+packed=8x4,ok,partial,vendor-arithmetic,vendor-cblas,5,1,199.82039260864258,199.09356117248535,200.38063621520996
gemm-tile+7x2x31+uniform+packed=8x4,ok,partial,vendor-arithmetic,vendor-cblas,5,1,187.60645400000001,187.27467100000001,187.90464499999999
packed-trsm+8x4+triangular+packed=8x4+uplo=L+diag=N,ok,partial,vendor-arithmetic,vendor-cblas,5,1,214.51226997375488,213.29583549499512,214.6090145111084
packed-trsm+7x2+triangular+packed=8x4+uplo=U+diag=U,ok,partial,vendor-arithmetic,vendor-cblas,5,1,164.06652600000001,163.724073,164.744193
gemm-trsm+8x4x32+triangular+packed=8x4+uplo=L+diag=N,ok,composed,vendor-arithmetic,vendor-cblas,5,1,327.13058853149414,326.49049758911133,327.83173179626465
gemm-trsm+7x2x31+triangular+packed=8x4+uplo=U+diag=U,ok,composed,vendor-arithmetic,vendor-cblas,5,1,281.18124961853027,280.43248748779297,281.5898609161377
pack-left+4x32+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
pack-left+3x31+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
pack-right+32x4+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
pack-right+31x2+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
pack-symmetric-left+4x4+uniform+packed=4x4+uplo=L,unsupported,unsupported,layout,unavailable,0,0,,,
pack-symmetric-right+4x4+uniform+packed=4x4+uplo=U,unsupported,unsupported,layout,unavailable,0,0,,,
pack-triangular-left+4x4+triangular+packed=4x4+uplo=L+diag=N,unsupported,unsupported,layout,unavailable,0,0,,,
pack-triangular-right+4x4+triangular+packed=4x4+uplo=U+diag=U,unsupported,unsupported,layout,unavailable,0,0,,,
write-left+3x31+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
write-left+4x32+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
write-right+31x2+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
write-right+32x4+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
clear-left-padding+3x31+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
clear-left-padding+4x32+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
clear-right-padding+31x2+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
clear-right-padding+32x4+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
pack-left+7x31+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
pack-left+8x32+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
pack-right+31x2+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
pack-right+32x4+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
pack-symmetric-left+8x8+uniform+packed=8x4+uplo=L,unsupported,unsupported,layout,unavailable,0,0,,,
pack-symmetric-right+4x4+uniform+packed=8x4+uplo=U,unsupported,unsupported,layout,unavailable,0,0,,,
pack-triangular-left+8x8+triangular+packed=8x4+uplo=L+diag=N,unsupported,unsupported,layout,unavailable,0,0,,,
pack-triangular-right+4x4+triangular+packed=8x4+uplo=U+diag=U,unsupported,unsupported,layout,unavailable,0,0,,,
write-left+7x31+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
write-left+8x32+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
write-right+31x2+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
write-right+32x4+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
clear-left-padding+7x31+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
clear-left-padding+8x32+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
clear-right-padding+31x2+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
clear-right-padding+32x4+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
spdot+4096+sparse-uniform+density=0.01,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spdot-raw+64+sparse-uniform+density=0.125,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spdot-raw+4096+sparse-uniform+density=0.0625,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spdot-raw+65536+sparse-uniform+density=0.015625,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spdot-raw+262144+sparse-uniform+density=0.03125,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spdot-sparse+4096+sparse-uniform+density=0.01,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spaxpy+4096+sparse-uniform+density=0.01,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spaxpy-raw+64+sparse-uniform+density=0.125,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spaxpy-raw+4096+sparse-uniform+density=0.0625,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spaxpy-raw+65536+sparse-uniform+density=0.015625,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spaxpy-raw+262144+sparse-uniform+density=0.03125,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spnrm2+4096+sparse-uniform+density=0.01,unsupported,unsupported,arithmetic,unavailable,0,0,,,
