case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
dot+4096+uniform,ok,direct,arithmetic,policy,20,2,709.0513135504013,696.8549426447806,722.6745296305659
axpy+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1711.4725363182329,1706.7354959716954,1717.8180959982149
axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1692.5121995128839,1689.021273543509,1701.3931713287604
scal+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1181.6322212591313,1179.3151369443267,1186.8983827828945
nrm2+4096+uniform,ok,direct,arithmetic,policy,20,2,506.90403960416245,505.5958204701971,508.2573050588516
asum+4096+uniform,ok,direct,arithmetic,policy,20,2,291.834179235177,290.75239362626417,294.59387331852594
sum+4096+uniform,ok,direct,arithmetic,policy,20,2,273.3925637206046,270.9993066624055,275.0790297952581
compensated-sum+4096+uniform,ok,unsupported,arithmetic,policy,20,2,4803.504584766882,4794.645737009798,4830.924357984167
iamax+64+uniform,ok,direct,arithmetic,policy,20,2,30.202453952355214,30.057502107708796,30.64460389174462
iamax+128+uniform,ok,direct,arithmetic,policy,20,2,55.206812638869316,54.93331197935978,56.92559252545735
iamax+256+uniform,ok,direct,arithmetic,policy,20,2,108.11649062114876,107.657596768294,115.16289654989863
iamax+512+uniform,ok,direct,arithmetic,policy,20,2,220.32068000045564,219.51909355513004,223.0104562271552
iamax+1024+uniform,ok,direct,arithmetic,policy,20,2,444.906432872094,437.8961909096479,446.49363508410346
iamax+4096+uniform,ok,direct,arithmetic,policy,20,2,600.6069462532541,599.4536484839045,602.5064630130223
iamax+65536+uniform,ok,direct,arithmetic,policy,20,2,7185.863601540553,6474.246839740066,7502.3643344070715
swap+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,2848.076993736123,2844.314729827652,2858.3819684297664
rot+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,3239.4932982106925,3225.3195010716645,3278.5993941874744
rotm+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,4082.6731736084203,4067.162605426278,4116.824602755313
rotmg+1+uniform,ok,direct,arithmetic,policy,20,2,11.063865205951476,10.808011319397725,11.295680736320229
ssqd+4096+uniform,ok,unsupported,arithmetic,policy,20,2,707.8538398522719,695.9356971216542,745.3740642527803
dot4+4096+uniform,ok,composed,arithmetic,policy,20,2,1671.1504193773853,1662.943821811626,1684.533271112905
axpy4+4096+uniform,ok,composed,reset-and-arithmetic,policy,20,2,4069.826739046581,2502.2515931525677,4175.353278654571
dot-axpy+4096+uniform,ok,composed,reset-and-arithmetic,policy,20,2,1866.7630102420655,1731.5772617194257,1973.031910488959
gemv+32x21+uniform,ok,direct,reset-and-arithmetic,policy,20,2,284.42197921623756,283.2587460865604,286.2345604681628
gemv+129x31+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,20,2,1700.6409408161333,1697.017806116825,1708.8322233037895
symv+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,20,2,6924.9015957866395,6909.118272517002,6982.569863587203
ger+129x31+uniform,ok,direct,reset-and-arithmetic,policy,20,2,2498.7139252372963,2486.1380077009067,2514.1511946335704
syr+129+uniform+uplo=L,ok,direct,reset-and-arithmetic,policy,20,2,8232.92909089294,8165.7150550795595,8485.637134378974
syr2+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,20,2,11864.351908720266,11820.651842664776,11978.145266431433
trsv+129+triangular+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,policy,20,2,4364.333474373932,4354.605495605257,4425.910944514474
trmv+129+triangular+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,policy,20,2,6064.1780119809355,5875.22592766557,6133.038856372384
gemm+32x21x48+uniform,ok,direct,reset-and-arithmetic,policy,20,2,12406.05124588819,12270.041561944461,12828.330321092099
gemm+129x31x257+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,20,2,252007.69371069182,250730.66332916144,257060.1463414634
gemm+65x127x33+uniform+transB=T,ok,direct,reset-and-arithmetic,policy,20,2,82188.20379049162,81687.4106122449,84234.60790912916
symm+129x31+uniform+side=L+uplo=L,ok,direct,reset-and-arithmetic,policy,20,2,135657.9319105691,134791.6282828283,136877.47368421053
symm+31x129+uniform+side=R+uplo=U,ok,direct,reset-and-arithmetic,policy,20,2,134545.32896505378,134147.8405894173,136316.81620149763
gemmt+129x31+uniform+uplo=L+transA=N+transB=N,ok,direct,reset-and-arithmetic,policy,20,2,281140.3061797753,280298.1734265734,282424.57263751765
syrk+129x31+uniform+uplo=L+transA=N,ok,direct,reset-and-arithmetic,policy,20,2,95341.83868281948,93902.83771106941,97327.38502673797
syr2k+129x31+uniform+uplo=U+transA=T,ok,direct,reset-and-arithmetic,policy,20,2,201685.05589123868,200057.5074925075,206875.2520661157
trsm+64x16+triangular+side=L+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,policy,20,2,21136.50007765835,21050.1353596971,21493.442392354773
trsm+17x64+triangular+side=R+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,policy,20,2,25199.434746191884,25140.18311981914,25713.594500835152
trmm+64x16+triangular+side=L+uplo=U+transA=T+diag=N,ok,direct,reset-and-arithmetic,policy,20,2,23337.642766057194,23150.737943795535,23726.14604077762
trmm+17x64+triangular+side=R+uplo=L+transA=N+diag=U,ok,direct,reset-and-arithmetic,policy,20,2,31081.15016380445,30770.199692544196,31497.427919420836
gemm-tile+4x4x32+uniform+packed=4x4,ok,partial,raw-tile,c-tile,20,2,195.32740725248496,176.5372872175251,224.0200563606004
gemm-tile+3x2x31+uniform+packed=4x4,ok,partial,raw-tile,c-tile,20,2,194.29596012669992,172.97353720129442,221.02599201265252
packed-trsm+4x4+triangular+packed=4x4+uplo=L+diag=N,ok,partial,raw-tile,portable-solve,20,2,63.978036426360546,63.444605330892145,65.48690027127031
packed-trsm+3x2+triangular+packed=4x4+uplo=U+diag=U,ok,partial,raw-tile,portable-solve,20,2,20.085610289949734,19.912849169125572,20.399809274547344
gemm-trsm+4x4x32+triangular+packed=4x4+uplo=L+diag=N,ok,composed,raw-tile,c-tile,20,2,256.64671073785007,220.0749295762259,293.09759464155286
