case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
dot+4096+uniform,ok,direct,arithmetic,policy,10,2,1254.9795813424146,1247.0075288003034,1281.8148218431156
axpy+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,2,2078.359920289162,2067.958284680961,2083.917985341884
axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,2,2074.6177470834605,2068.474171610476,2079.2120916220847
scal+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,2,1623.3798206179358,1620.0151203639248,1628.0031073836967
nrm2+4096+uniform,ok,direct,arithmetic,policy,10,2,783.1487356997566,776.3219404716187,813.6346518673727
asum+4096+uniform,ok,direct,arithmetic,policy,10,2,527.0246323669955,517.9840645904227,553.4049631112636
sum+4096+uniform,ok,direct,arithmetic,policy,10,2,448.11804355552965,439.96678355116353,458.9844863289357
compensated-sum+4096+uniform,ok,unsupported,arithmetic,policy,10,2,5673.233425116792,5642.580450534269,5725.504489865732
iamax+64+uniform,ok,direct,arithmetic,policy,10,2,30.622398227110295,30.361438346147988,30.80645312129639
iamax+128+uniform,ok,direct,arithmetic,policy,10,2,54.28292518301333,53.86761307833116,54.75805357576878
iamax+256+uniform,ok,direct,arithmetic,policy,10,2,109.08183990665421,100.18669192955758,119.68615011654789
iamax+512+uniform,ok,direct,arithmetic,policy,10,2,197.27354423816172,195.09197375437077,200.1674102390061
iamax+1024+uniform,ok,direct,arithmetic,policy,10,2,399.3144467430336,396.99030798412014,403.0515644540572
iamax+4096+uniform,ok,direct,arithmetic,policy,10,2,1074.139976394007,1054.8558540993713,1082.1360426512097
iamax+65536+uniform,ok,direct,arithmetic,policy,10,2,12665.145685781368,12446.502207574156,13459.658170813718
swap+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,2,2856.860369640298,2680.2422566519813,3022.4559534750574
rot+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,2,4434.093960684411,4385.166717791411,4455.834686478191
rotm+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,2,6164.415461030176,6136.268259029865,6192.585878570545
rotmg+1+uniform,ok,direct,arithmetic,policy,10,2,34.75173748719715,33.34767323636138,35.77221614992173
ssqd+4096+uniform,ok,unsupported,arithmetic,policy,10,2,1100.4306104658162,903.7630215029027,1318.1068973237805
dot4+4096+uniform,ok,composed,arithmetic,policy,10,2,3099.000843614074,3090.103464246017,3116.131795254997
axpy4+4096+uniform,ok,composed,reset-and-arithmetic,policy,10,2,4075.4735259571685,3903.9499961040983,4246.340497305554
dot-axpy+4096+uniform,ok,composed,reset-and-arithmetic,policy,10,2,2771.46237902552,2434.847561123951,3084.084911621026
gemv+32x21+uniform,ok,direct,reset-and-arithmetic,policy,10,2,398.1550850017359,395.74903312793464,401.2646699719923
gemv+129x31+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,10,2,2169.7242540193256,2151.207938777046,2186.818467892615
symv+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,10,2,11006.508043485554,10822.509296292294,11234.052983106023
ger+129x31+uniform,ok,direct,reset-and-arithmetic,policy,10,2,2951.453554234531,2946.895893758926,2969.134074151002
syr+129+uniform+uplo=L,ok,direct,reset-and-arithmetic,policy,10,2,10745.353034108888,10644.035102648655,12240.154791755856
syr2+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,10,2,17633.219415789903,14973.314604219662,17720.298919780413
trsv+129+triangular+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,policy,10,2,5829.303887800955,5797.773783314021,5886.666078725343
trmv+129+triangular+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,policy,10,2,9949.536748567672,9926.683578832515,10396.173748182007
gemm+32x21x48+uniform,ok,direct,reset-and-arithmetic,policy,10,2,15529.192418966257,14535.8546009151,21452.507285193915
gemm+129x31x257+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,10,2,287364.8783946234,283333.6647807638,294662.02352941176
gemm+65x127x33+uniform+transB=T,ok,direct,reset-and-arithmetic,policy,10,2,83736.62618796318,83488.06630525438,84592.44505494506
symm+129x31+uniform+side=L+uplo=L,ok,direct,reset-and-arithmetic,policy,10,2,149706.35709925508,149050.79002233804,152273.76349809885
symm+31x129+uniform+side=R+uplo=U,ok,direct,reset-and-arithmetic,policy,10,2,153640.99102666497,153231.73068094873,156543.83815480844
