case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
dot+4096+uniform,ok,direct,arithmetic,policy,10,2,4778.427071753922,4760.702207542238,4811.895602413983
axpy+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,2,2020.2486699092788,2014.5984779851422,2045.253773131827
axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,2,2017.3358240548914,2006.328681844155,2033.2046666598947
scal+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,2,1625.7806679687912,1617.987332357863,1640.0678259159408
nrm2+4096+uniform,ok,direct,arithmetic,policy,10,2,4755.5178637816025,4721.478441264528,4805.657542140902
asum+4096+uniform,ok,direct,arithmetic,policy,10,2,4740.775995684258,4719.529353562005,4779.214256832291
sum+4096+uniform,ok,direct,arithmetic,policy,10,2,4723.640565575131,4713.644435024257,4738.059772453107
compensated-sum+4096+uniform,ok,unsupported,arithmetic,policy,10,2,5683.284529531296,5621.295292399303,5721.188566528513
iamax+64+uniform,ok,direct,arithmetic,policy,10,2,30.857526615646638,30.693078994519013,31.0916523507846
iamax+128+uniform,ok,direct,arithmetic,policy,10,2,74.42302382161117,73.86067555962968,75.11593223315924
iamax+256+uniform,ok,direct,arithmetic,policy,10,2,136.6141303100536,134.77101743616404,137.2462727865588
iamax+512+uniform,ok,direct,arithmetic,policy,10,2,268.21094934106725,265.16245007187,270.64147100745674
iamax+1024+uniform,ok,direct,arithmetic,policy,10,2,539.68322487654,534.3473028790828,545.6897004929976
iamax+4096+uniform,ok,direct,arithmetic,policy,10,2,1596.9465869390247,1583.3253265441665,1604.344772302784
iamax+65536+uniform,ok,direct,arithmetic,policy,10,2,26253.298897772296,25998.01480904131,26588.820451527223
swap+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,2,3191.9667271340586,3179.7742478367863,3202.201529428704
rot+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,2,4332.770377354649,4286.075681691708,4357.293460057853
rotm+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,2,6119.48655086922,5943.657986935867,6259.538752540253
rotmg+1+uniform,ok,direct,arithmetic,policy,10,2,35.493216917490244,34.19426348425789,38.80799222407957
ssqd+4096+uniform,ok,unsupported,arithmetic,policy,10,2,5362.310622301939,5297.739710114317,5412.780981230054
dot4+4096+uniform,ok,composed,arithmetic,policy,10,2,6895.841802523925,6675.47073146326,7069.352889234247
axpy4+4096+uniform,ok,composed,reset-and-arithmetic,policy,10,2,8200.16364236561,8164.99347285114,8356.0416249165
dot-axpy+4096+uniform,ok,composed,reset-and-arithmetic,policy,10,2,6569.682040235658,6560.680706699882,6662.453147365268
gemv+32x21+uniform,ok,direct,reset-and-arithmetic,policy,10,2,397.9629293614083,395.1997405402844,400.2834954951351
gemv+129x31+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,10,2,2072.7627248215435,1965.9234205049672,2200.176283213058
symv+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,10,2,10901.047255026398,10678.111769099445,11005.37446387331
ger+129x31+uniform,ok,direct,reset-and-arithmetic,policy,10,2,2959.1658838962444,2947.55931679305,3376.8181281917314
