case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
dot+4096+uniform,ok,direct,arithmetic,policy,5,1,890.9010618168867,887.6598668833337,918.5004207198984
axpy+4096+uniform,ok,direct,reset-and-arithmetic,policy,5,1,1708.1298860603129,1684.5776025154842,1744.5202266700069
axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,policy,5,1,1929.4352360616845,1912.5234733096086,1962.833537366548
scal+4096+uniform,ok,direct,reset-and-arithmetic,policy,5,1,1541.1113561103602,1538.600493159779,1577.474286933637
nrm2+4096+uniform,ok,direct,arithmetic,policy,5,1,1148.6979177991268,1139.9301641614263,1170.1875926233213
asum+4096+uniform,ok,direct,arithmetic,policy,5,1,494.6264316699047,493.6050429563083,501.033450765462
sum+4096+uniform,ok,direct,arithmetic,policy,5,1,442.8564252916627,436.9407852892231,446.8690502121579
compensated-sum+4096+uniform,ok,unsupported,arithmetic,policy,5,1,7040.021702367531,7035.9065670800455,7060.400577790305
iamax+64+uniform,ok,direct,arithmetic,policy,5,1,113.466743,113.111928,113.847003
iamax+128+uniform,ok,direct,arithmetic,policy,5,1,187.148113,186.968129,189.276456
iamax+256+uniform,ok,direct,arithmetic,policy,5,1,209.44221825682195,207.11284975139552,213.24611227073885
iamax+512+uniform,ok,direct,arithmetic,policy,5,1,450.8180857662865,449.49012617500904,453.01621665837314
iamax+1024+uniform,ok,direct,arithmetic,policy,5,1,535.5876063713724,534.0347588915557,536.3930204014838
iamax+4096+uniform,ok,direct,arithmetic,policy,5,1,1049.9415706455447,1048.2916023181183,1050.3863425768386
iamax+65536+uniform,ok,direct,arithmetic,policy,5,1,10808.705955738771,10762.540898242569,10849.721034931656
swap+4096+uniform,ok,direct,reset-and-arithmetic,policy,5,1,2627.696415450824,2625.1866143591897,2634.3965309121445
rot+4096+uniform,ok,direct,reset-and-arithmetic,policy,5,1,3229.322458713215,3217.8620745595535,3244.743713701697
rotm+4096+uniform,ok,direct,reset-and-arithmetic,policy,5,1,3024.7239720975967,3020.412820355233,3076.723296048184
rotmg+1+uniform,ok,direct,arithmetic,policy,5,1,44.059283,42.81068,48.121572
ssqd+4096+uniform,ok,unsupported,arithmetic,policy,5,1,918.5057810773868,903.9086823824592,930.0090671634805
dot4+4096+uniform,ok,composed,arithmetic,policy,5,1,2047.9417920677627,2038.7090626374638,2114.2612400642433
axpy4+4096+uniform,ok,composed,reset-and-arithmetic,policy,5,1,3076.551337694144,3048.6847815977926,3139.897557119385
dot-axpy+4096+uniform,ok,composed,reset-and-arithmetic,policy,5,1,2223.6518759212836,2147.2073250771996,2303.5818422440043
gemv+32x21+uniform,ok,direct,reset-and-arithmetic,policy,5,1,906.1233151900968,905.2444495722087,907.753392242296
gemv+129x31+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,5,1,2805.127149017192,2785.2263398107184,2867.482877863023
