case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
dot+4096+uniform,ok,direct,arithmetic,vendor-cblas,5,1,921.31495666503906,921.23304748535156,923.08083343505859
axpy+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,1783.1673736572266,1774.5684967041016,1784.0188751220703
axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,1791.6050109863281,1779.8345489501953,1795.173828125
scal+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,1610.3988037109375,1610.0194396972656,1612.6395568847656
nrm2+4096+uniform,ok,direct,arithmetic,vendor-cblas,5,1,1244.9808120727539,1241.3837432861328,1245.5883941650391
asum+4096+uniform,ok,direct,arithmetic,vendor-cblas,5,1,458.02838516235352,457.75559997558594,458.62482833862305
sum+4096+uniform,unsupported,unsupported,arithmetic,unavailable,0,0,,,
compensated-sum+4096+uniform,unsupported,unsupported,arithmetic,unavailable,0,0,,,
iamax+64+uniform,ok,direct,arithmetic,vendor-cblas,5,1,60.957797999999997,60.672038999999998,61.359710999999997
iamax+128+uniform,ok,direct,arithmetic,vendor-cblas,5,1,80.667595000000006,80.621617999999998,81.072192999999999
iamax+256+uniform,ok,direct,arithmetic,vendor-cblas,5,1,98.778851000000003,98.214400999999995,98.813315000000003
iamax+512+uniform,ok,direct,arithmetic,vendor-cblas,5,1,169.039593,168.958843,169.62287599999999
iamax+1024+uniform,ok,direct,arithmetic,vendor-cblas,5,1,203.30047225952148,203.25510787963867,204.26843070983887
iamax+4096+uniform,ok,direct,arithmetic,vendor-cblas,5,1,524.25222778320312,523.94704437255859,524.54670715332031
iamax+65536+uniform,ok,direct,arithmetic,vendor-cblas,5,1,7314.2352905273438,7309.5145874023438,7323.4210205078125
swap+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,3015.1471862792969,3014.0286254882812,3017.1441650390625
rot+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,3516.4393615722656,3507.5680541992188,3527.1968383789062
rotm+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,3538.3740234375,3520.2991027832031,3539.3103332519531
rotmg+1+uniform,ok,direct,arithmetic,vendor-cblas,5,1,50.330173000000002,50.020809999999997,50.736693000000002
ssqd+4096+uniform,unsupported,unsupported,arithmetic,unavailable,0,0,,,
dot4+4096+uniform,ok,composed,arithmetic,vendor-cblas,5,1,3657.7264099121094,3657.3894958496094,3658.5186462402344
axpy4+4096+uniform,ok,composed,reset-and-arithmetic,vendor-cblas,5,1,5114.1590881347656,5095.2705688476562,5130.9306030273438
dot-axpy+4096+uniform,ok,composed,reset-and-arithmetic,vendor-cblas,5,1,2734.8916625976562,2733.5295562744141,2735.8038482666016
gemv+32x21+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,202.95413398742676,201.85544013977051,203.76836395263672
gemv+129x31+uniform+transA=T,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,686.12762451171875,685.81493759155273,686.37237167358398
symv+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,1740.4668579101562,1729.7446746826172,1747.4704132080078
ger+129x31+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,1964.3280792236328,1956.1978302001953,1964.8526916503906
syr+129+uniform+uplo=L,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,5905.8077087402344,5878.4321899414062,5942.3276062011719
syr2+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,6193.6165771484375,6135.087890625,6399.4008178710938
trsv+129+triangular+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,1738.405029296875,1737.5186767578125,1749.9664306640625
trmv+129+triangular+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,1498.1960296630859,1493.1590805053711,1512.3640365600586
gemm+32x21x48+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,2185.8267669677734,2178.8185729980469,2189.5332336425781
gemm+129x31x257+uniform+transA=T,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,59985.05029296875,59807.1103515625,60164.97314453125
gemm+65x127x33+uniform+transB=T,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,18439.682006835938,18390.074829101562,18453.514892578125
symm+129x31+uniform+side=L+uplo=L,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,34255.93212890625,34065.958984375,34371.094482421875
symm+31x129+uniform+side=R+uplo=U,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,40863.68896484375,40760.18701171875,40897.922607421875
gemmt+129x31+uniform+uplo=L+transA=N+transB=N,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,23790.478515625,23746.373413085938,23867.374267578125
syrk+129x31+uniform+uplo=L+transA=N,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,23623.7119140625,23613.52294921875,23712.128051757812
syr2k+129x31+uniform+uplo=U+transA=T,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,41636.793701171875,41595.787841796875,41762.26171875
trsm+64x16+triangular+side=L+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,3282.9547729492188,3280.4259033203125,3292.0257263183594
trsm+17x64+triangular+side=R+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,7994.2965698242188,7959.4840087890625,8023.5322875976562
trmm+64x16+triangular+side=L+uplo=U+transA=T+diag=N,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,4346.2391357421875,4332.6534423828125,4364.6540832519531
trmm+17x64+triangular+side=R+uplo=L+transA=N+diag=U,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,4132.9189758300781,4123.972412109375,4153.1970520019531
gemm-tile+4x4x32+uniform+packed=4x4,ok,partial,vendor-arithmetic,vendor-cblas,5,1,380.98006439208984,379.62328338623047,383.76554870605469
gemm-tile+3x2x31+uniform+packed=4x4,ok,partial,vendor-arithmetic,vendor-cblas,5,1,371.58218193054199,371.27812957763672,372.11444473266602
packed-trsm+4x4+triangular+packed=4x4+uplo=L+diag=N,ok,partial,vendor-arithmetic,vendor-cblas,5,1,448.35139083862305,446.43733978271484,448.62338638305664
packed-trsm+3x2+triangular+packed=4x4+uplo=U+diag=U,ok,partial,vendor-arithmetic,vendor-cblas,5,1,392.1065788269043,390.31320953369141,392.34435653686523
gemm-trsm+4x4x32+triangular+packed=4x4+uplo=L+diag=N,ok,composed,vendor-arithmetic,vendor-cblas,5,1,836.57121276855469,833.90509033203125,838.45223999023438
gemm-trsm+3x2x31+triangular+packed=4x4+uplo=U+diag=U,ok,composed,vendor-arithmetic,vendor-cblas,5,1,753.88079071044922,752.30551910400391,755.86766815185547
gemm-tile+8x4x32+uniform+packed=8x4,ok,partial,vendor-arithmetic,vendor-cblas,5,1,399.26747894287109,396.74749374389648,399.43510818481445
gemm-tile+7x2x31+uniform+packed=8x4,ok,partial,vendor-arithmetic,vendor-cblas,5,1,426.03467559814453,425.97165679931641,428.12688827514648
packed-trsm+8x4+triangular+packed=8x4+uplo=L+diag=N,ok,partial,vendor-arithmetic,vendor-cblas,5,1,421.2562141418457,420.77340698242188,423.01027679443359
packed-trsm+7x2+triangular+packed=8x4+uplo=U+diag=U,ok,partial,vendor-arithmetic,vendor-cblas,5,1,427.56486892700195,426.63550567626953,429.60970687866211
gemm-trsm+8x4x32+triangular+packed=8x4+uplo=L+diag=N,ok,composed,vendor-arithmetic,vendor-cblas,5,1,823.45066833496094,822.17459106445312,826.642578125
gemm-trsm+7x2x31+triangular+packed=8x4+uplo=U+diag=U,ok,composed,vendor-arithmetic,vendor-cblas,5,1,804.22346496582031,803.29506683349609,804.86896514892578
pack-left+4x32+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
pack-left+3x31+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
pack-right+32x4+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
pack-right+31x2+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
pack-symmetric-left+4x4+uniform+packed=4x4+uplo=L,unsupported,unsupported,layout,unavailable,0,0,,,
pack-symmetric-right+4x4+uniform+packed=4x4+uplo=U,unsupported,unsupported,layout,unavailable,0,0,,,
pack-triangular-left+4x4+triangular+packed=4x4+uplo=L+diag=N,unsupported,unsupported,layout,unavailable,0,0,,,
pack-triangular-right+4x4+triangular+packed=4x4+uplo=U+diag=U,unsupported,unsupported,layout,unavailable,0,0,,,
write-left+3x31+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
write-left+4x32+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
write-right+31x2+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
write-right+32x4+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
clear-left-padding+3x31+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
clear-left-padding+4x32+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
clear-right-padding+31x2+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
clear-right-padding+32x4+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
pack-left+7x31+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
pack-left+8x32+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
pack-right+31x2+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
pack-right+32x4+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
pack-symmetric-left+8x8+uniform+packed=8x4+uplo=L,unsupported,unsupported,layout,unavailable,0,0,,,
pack-symmetric-right+4x4+uniform+packed=8x4+uplo=U,unsupported,unsupported,layout,unavailable,0,0,,,
pack-triangular-left+8x8+triangular+packed=8x4+uplo=L+diag=N,unsupported,unsupported,layout,unavailable,0,0,,,
pack-triangular-right+4x4+triangular+packed=8x4+uplo=U+diag=U,unsupported,unsupported,layout,unavailable,0,0,,,
write-left+7x31+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
write-left+8x32+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
write-right+31x2+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
write-right+32x4+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
clear-left-padding+7x31+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
clear-left-padding+8x32+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
clear-right-padding+31x2+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
clear-right-padding+32x4+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
spdot+4096+sparse-uniform+density=0.01,ok,direct,arithmetic,vendor-cblas,5,1,46.408501000000001,46.256189999999997,46.444192000000001
spdot-raw+64+sparse-uniform+density=0.125,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spdot-raw+4096+sparse-uniform+density=0.0625,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spdot-raw+65536+sparse-uniform+density=0.015625,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spdot-raw+262144+sparse-uniform+density=0.03125,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spdot-sparse+4096+sparse-uniform+density=0.01,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spaxpy+4096+sparse-uniform+density=0.01,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,986.71997833251953,981.35974884033203,988.12139892578125
spaxpy-raw+64+sparse-uniform+density=0.125,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spaxpy-raw+4096+sparse-uniform+density=0.0625,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spaxpy-raw+65536+sparse-uniform+density=0.015625,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spaxpy-raw+262144+sparse-uniform+density=0.03125,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spnrm2+4096+sparse-uniform+density=0.01,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spnrm2-indexed+4096+sparse-uniform+density=0.01,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spnrm2-indexed+4096+sparse-uniform+density=0.5,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spnrm2-indexed+262144+sparse-uniform+density=0.03125,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spasum+4096+sparse-uniform+density=0.01,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spscatter+4096+sparse-uniform+density=0.01,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,838.21269989013672,830.31507110595703,843.19116973876953
spscatter-raw+64+sparse-uniform+density=0.125,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spscatter-raw+4096+sparse-uniform+density=0.0625,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spscatter-raw+65536+sparse-uniform+density=0.015625,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spscatter-raw+262144+sparse-uniform+density=0.03125,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spgather+4096+sparse-uniform+density=0.01,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,847.38568878173828,846.26526641845703,848.03750610351562
spgather-zero+4096+sparse-uniform+density=0.01,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,883.46913909912109,880.13712310791016,890.98067474365234
spgemv+257x129+sparse-uniform+density=0.01+mode=prepared,ok,direct,prepared,vendor-cblas,5,1,884.34535980224609,881.07808685302734,885.14566802978516
spgemv+257x129+sparse-uniform+density=0.01+mode=oneshot,ok,direct,oneshot,vendor-cblas,5,1,2878.0545043945312,2863.8191375732422,2884.7925720214844
spmm+257x8x129+sparse-uniform+density=0.01+mode=prepared,ok,direct,prepared,vendor-cblas,5,1,3508.5720520019531,3493.2572021484375,3511.9233093261719
spmm+257x8x129+sparse-uniform+density=0.01+mode=oneshot,ok,direct,oneshot,vendor-cblas,5,1,5601.3956604003906,5584.981201171875,5612.5812072753906
spgemm+129x97x65+sparse-uniform+density=0.01+mode=prepared,ok,partial,prepared,vendor-cblas,5,1,4209.8088989257812,4205.1807861328125,4225.3221740722656
spgemm+129x97x65+sparse-uniform+density=0.01+mode=oneshot,ok,partial,oneshot,vendor-cblas,5,1,5393.8426208496094,5379.0519714355469,5396.2182006835938
spsymv+129+sparse-triangular+density=0.02+mode=oneshot+uplo=L,ok,direct,oneshot,vendor-cblas,5,1,3466.4164123535156,3451.5386047363281,3468.594970703125
