run,id,implementation,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
run,1,jvm-scalar/scalar/scalar/packed-4x4,1,ns,b94e4414b480f01ec8efa500408af0c8ca8d832f,false,kotlin-2.4.10/jvm/Ubuntu/25.0.4/JMH 1.37/forks=2,1,5,200000000,jmh-average-time,200000000,2
run,2,jvm-scalar/scalar/scalar/packed-4x4,1,ns,b94e4414b480f01ec8efa500408af0c8ca8d832f,false,kotlin-2.4.10/jvm/Ubuntu/25.0.4,1,5,200000000,jmh-average-time,200000000,2
case,1,1,dot+4096+uniform,ok,direct,arithmetic,policy,20,2,3764.02636492396,3754.299282516251,3767.6256282826002
case,2,1,axpy+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1822.3781401117365,1816.6382582806104,1828.4124713383942
case,3,1,axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1807.452259794926,1798.8730429780885,1821.875067966796
case,4,1,scal+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1236.9162274012574,1234.3912938898106,1242.2807728593064
case,5,1,nrm2+4096+uniform,ok,direct,arithmetic,policy,20,2,3751.5389474283656,3743.671205206853,3753.5576058448855
case,6,1,asum+4096+uniform,ok,direct,arithmetic,policy,20,2,3740.30461542551,3736.6066690302478,3744.962670508766
case,7,1,sum+4096+uniform,ok,direct,arithmetic,policy,20,2,3742.208483489895,3736.042040023895,3752.0539178020576
case,8,1,compensated-sum+4096+uniform,ok,unsupported,arithmetic,policy,20,2,4808.130432959138,4788.879976076555,4816.3787328247945
case,9,1,iamax+64+uniform,ok,direct,arithmetic,policy,20,2,29.609348639809944,29.426273589640083,30.526887600130685
case,10,1,iamax+128+uniform,ok,direct,arithmetic,policy,20,2,56.852096854818285,56.63384183485044,57.232351049874396
case,11,1,iamax+256+uniform,ok,direct,arithmetic,policy,20,2,111.20424588631676,110.58625490842849,124.70631366008621
case,12,1,iamax+512+uniform,ok,direct,arithmetic,policy,20,2,247.0025057506528,244.76123035772355,251.24860633585266
case,13,1,iamax+1024+uniform,ok,direct,arithmetic,policy,20,2,492.08136182072997,490.16300641747904,508.3151226995423
case,14,1,iamax+4096+uniform,ok,direct,arithmetic,policy,20,2,1924.7268698435523,1914.5058532106582,1969.9701536613936
case,15,1,iamax+65536+uniform,ok,direct,arithmetic,policy,20,2,29283.94724611423,28296.223526085112,31748.39752734189
case,16,1,swap+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,2964.161596070588,2958.5686288999573,2968.517895017873
case,17,1,rot+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,3372.477466431359,3360.6978302488833,3452.090261487512
case,18,1,rotm+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,4246.018378009277,4240.1299464569565,4281.237062697802
case,19,1,rotmg+1+uniform,ok,direct,arithmetic,policy,20,2,10.862744811777493,10.75757930958833,11.350842422676147
case,20,1,ssqd+4096+uniform,ok,unsupported,arithmetic,policy,20,2,3780.1962558777223,3777.8226123065306,3783.8215609165845
case,21,1,dot4+4096+uniform,ok,composed,arithmetic,policy,20,2,5069.751566738093,5062.31439413104,5108.136035323243
case,22,1,axpy4+4096+uniform,ok,composed,reset-and-arithmetic,policy,20,2,5750.433345088564,5736.41152864964,5802.038384599774
case,23,1,dot-axpy+4096+uniform,ok,composed,reset-and-arithmetic,policy,20,2,4578.089146743836,4572.793031756911,4587.2610628595
case,24,1,gemv+32x21+uniform,ok,direct,reset-and-arithmetic,policy,20,2,282.54841730421174,281.8770172298305,289.6930129550554
case,25,1,gemv+129x31+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,20,2,1665.4166852774908,1662.4654898866138,1694.9871431112315
case,26,1,symv+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,20,2,7155.208027178125,7138.380019972894,7243.529292563778
case,27,1,ger+129x31+uniform,ok,direct,reset-and-arithmetic,policy,20,2,2373.724303323674,2370.132265858165,2410.3386609175327
