run,id,implementation,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
run,1,jvm-simd/simd(4 lanes)/simd-sparse/packed-8x4,1,ns,b94e4414b480f01ec8efa500408af0c8ca8d832f,false,kotlin-2.4.10/jvm/Ubuntu/25.0.4/JMH 1.37/forks=2,1,5,200000000,jmh-average-time,200000000,2
run,2,jvm-simd/simd(4 lanes)/simd-sparse/packed-8x4,1,ns,b94e4414b480f01ec8efa500408af0c8ca8d832f,false,kotlin-2.4.10/jvm/Ubuntu/25.0.4,1,5,200000000,jmh-average-time,200000000,2
case,1,1,dot+4096+uniform,ok,direct,arithmetic,policy,20,2,661.9338479226237,658.8050964890049,666.4053116321815
case,2,1,axpy+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1565.7181972198998,1556.99351255484,1576.5169985506334
case,3,1,axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1565.5362456186415,1545.625332015566,1585.0722827636455
case,4,1,scal+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1542.0944603744601,1534.0604962022212,1550.308208937881
case,5,1,nrm2+4096+uniform,ok,direct,arithmetic,policy,20,2,647.3865339522747,633.5507609714098,677.1451606355049
case,6,1,asum+4096+uniform,ok,direct,arithmetic,policy,20,2,412.51830209810305,358.89422189072747,458.2289759964463
case,7,1,sum+4096+uniform,ok,direct,arithmetic,policy,20,2,291.3265616512965,285.3483183872485,293.51572904841595
case,8,1,compensated-sum+4096+uniform,ok,unsupported,arithmetic,policy,20,2,4812.345985101532,4802.445576600336,4878.529826186587
case,9,1,iamax+64+uniform,ok,direct,arithmetic,policy,20,2,30.097470065137657,29.797612301120637,30.638587433679557
case,10,1,iamax+128+uniform,ok,direct,arithmetic,policy,20,2,57.644580076169966,56.99256374532565,65.05374634769609
