run,id,implementation,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
run,1,openblas,1,ns,b94e4414b480f01ec8efa500408af0c8ca8d832f,false,OpenBLAS 0.3.32 NO_LAPACKE DYNAMIC_ARCH NO_AFFINITY Zen MAX_THREADS=128; compiler=15.2.0,1,5,200000000,vendor-calibrated,50000000,1
case,1,1,dot+4096+uniform,ok,direct,arithmetic,vendor-cblas,10,1,649.30508232116699,648.21644592285156,650.56310272216797
case,2,1,axpy+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,1508.7637710571289,1507.2250061035156,1509.7781295776367
case,3,1,axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,1513.3038024902344,1511.9314498901367,1514.4629745483398
case,4,1,scal+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,1362.0380744934082,1360.356819152832,1364.2419815063477
case,5,1,nrm2+4096+uniform,ok,direct,arithmetic,vendor-cblas,10,1,2539.9382476806641,2537.5856323242188,2543.4229736328125
case,6,1,asum+4096+uniform,ok,direct,arithmetic,vendor-cblas,10,1,534.22610282897949,533.50864028930664,534.87359619140625
case,7,1,sum+4096+uniform,ok,direct,arithmetic,vendor-cblas,10,1,321.06159496307373,320.84135627746582,321.50897598266602
case,8,1,compensated-sum+4096+uniform,unsupported,unsupported,arithmetic,unavailable,0,0,,,
case,9,1,iamax+64+uniform,ok,direct,arithmetic,vendor-cblas,10,1,49.206656500000001,46.985218000000003,50.33943
case,10,1,iamax+128+uniform,ok,direct,arithmetic,vendor-cblas,10,1,71.809769000000003,71.671769999999995,71.855303000000006
case,11,1,iamax+256+uniform,ok,direct,arithmetic,vendor-cblas,10,1,87.344400000000007,87.189329999999998,87.404313999999999
case,12,1,iamax+512+uniform,ok,direct,arithmetic,vendor-cblas,10,1,182.76726650000001,182.694152,183.08259899999999
case,13,1,iamax+1024+uniform,ok,direct,arithmetic,vendor-cblas,10,1,242.7025899887085,242.56627082824707,242.89069557189941
case,14,1,iamax+4096+uniform,ok,direct,arithmetic,vendor-cblas,10,1,636.59807968139648,636.02818298339844,637.14028167724609
case,15,1,iamax+65536+uniform,ok,direct,arithmetic,vendor-cblas,10,1,8881.8276672363281,8862.0097045898438,9518.488037109375
case,16,1,swap+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,2877.4332733154297,2875.3574676513672,2880.0642242431641
case,17,1,rot+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,2483.2960815429688,2481.7091369628906,2490.6565856933594
case,18,1,rotm+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,4705.6932983398438,4702.1194152832031,4711.1456298828125
case,19,1,rotmg+1+uniform,ok,direct,arithmetic,vendor-cblas,10,1,49.5847525,49.483260999999999,49.675463999999998
case,20,1,ssqd+4096+uniform,unsupported,unsupported,arithmetic,unavailable,0,0,,,
case,21,1,dot4+4096+uniform,ok,composed,arithmetic,vendor-cblas,10,1,2618.5789947509766,2615.9708709716797,2622.5687561035156
case,22,1,axpy4+4096+uniform,ok,composed,reset-and-arithmetic,vendor-cblas,10,1,4763.8958435058594,4756.2894287109375,4769.7104797363281
case,23,1,dot-axpy+4096+uniform,ok,composed,reset-and-arithmetic,vendor-cblas,10,1,2535.8239669799805,2533.1930999755859,2537.9953765869141
case,24,1,gemv+32x21+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,211.63831329345703,210.31076431274414,215.00047492980957
case,25,1,gemv+129x31+uniform+transA=T,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,778.0918083190918,777.42274475097656,779.95320129394531
case,26,1,symv+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,1963.1951522827148,1960.1691284179688,1964.8468933105469
case,27,1,ger+129x31+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,1591.7397994995117,1590.2034454345703,1593.0257568359375
case,28,1,syr+129+uniform+uplo=L,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,5506.0823211669922,5489.4051513671875,5512.2647094726562
case,29,1,syr2+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,7566.9427490234375,7553.5106811523438,7575.8639526367188
case,30,1,trsv+129+triangular+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,2674.8781204223633,2673.86669921875,2678.7265014648438
case,31,1,trmv+129+triangular+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,3006.8917465209961,3003.5848541259766,3011.4880828857422
case,32,1,gemm+32x21x48+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,2967.5698013305664,2965.7784576416016,2971.4692993164062
case,33,1,gemm+129x31x257+uniform+transA=T,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,75090.77880859375,75049.7724609375,75268.7421875
case,34,1,gemm+65x127x33+uniform+transB=T,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,19851.089477539062,19838.650268554688,19857.28076171875
