case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
dot+4096+uniform,ok,direct,arithmetic,policy,20,2,2556.9180325100297,2347.8820747538834,2669.947678840688
axpy+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,3143.1179001577093,3115.1716725604956,3232.6891236913534
axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,3110.9456712397873,3083.2353575666057,3230.0777569549905
scal+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,2513.4898825065284,2496.551854485572,2557.447038818319
nrm2+4096+uniform,ok,direct,arithmetic,policy,20,2,779.8440561915929,756.8366332701712,819.3262587306656
asum+4096+uniform,ok,direct,arithmetic,policy,20,2,1774.7037142237455,1750.3644585675875,1789.4172390416213
sum+4096+uniform,ok,direct,arithmetic,policy,20,2,1749.7509447783132,1728.7949517037139,1828.562146585472
compensated-sum+4096+uniform,ok,unsupported,arithmetic,policy,20,2,6794.366305579555,6766.726807076664,7116.1999366063255
iamax+64+uniform,ok,direct,arithmetic,policy,20,2,36.37675620339883,35.96891047267019,39.15178820834106
iamax+128+uniform,ok,direct,arithmetic,policy,20,2,63.7575017137546,62.893750402670115,73.8948038432164
iamax+256+uniform,ok,direct,arithmetic,policy,20,2,117.37793220420977,116.11467559939108,119.55090571861315
iamax+512+uniform,ok,direct,arithmetic,policy,20,2,226.36797622682036,224.00098888396425,311.7327101730069
iamax+1024+uniform,ok,direct,arithmetic,policy,20,2,463.0094749952972,459.54154671447225,475.6376237905723
iamax+4096+uniform,ok,direct,arithmetic,policy,20,2,11271.384656389333,11227.086185613287,11527.220831419385
iamax+65536+uniform,ok,direct,arithmetic,policy,20,2,174258.712782259,172555.53103448276,178080.97419928826
swap+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,5545.594449387478,5048.845832809554,6078.573531185909
rot+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,6365.618662424886,6197.23935973353,7544.539517486441
rotm+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,6925.507065674528,6493.23920168749,7211.972360638108
rotmg+1+uniform,ok,direct,arithmetic,policy,20,2,37.522057198402294,35.22858694561465,47.408460446772196
ssqd+4096+uniform,ok,unsupported,arithmetic,policy,20,2,2192.4469975952943,2166.242877246157,2250.8874410219887
dot4+4096+uniform,ok,composed,arithmetic,policy,20,2,8158.566466608504,8058.24151399235,8226.076480736056
axpy4+4096+uniform,ok,composed,reset-and-arithmetic,policy,20,2,6263.471683995933,6177.271587786731,6345.2760158102765
dot-axpy+4096+uniform,ok,composed,reset-and-arithmetic,policy,20,2,5899.706187433501,5496.170730372438,6120.081849880712
gemv+32x21+uniform,ok,direct,reset-and-arithmetic,policy,20,2,358.58502906847536,354.54443032748395,361.7092413458983
gemv+129x31+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,20,2,1872.5274442269526,1863.5190246889526,3033.034514105633
symv+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,20,2,9982.701559243826,9872.128946329913,10262.160852415347
ger+129x31+uniform,ok,direct,reset-and-arithmetic,policy,20,2,3445.276429283402,3410.052760715434,3483.848863577351
syr+129+uniform+uplo=L,ok,direct,reset-and-arithmetic,policy,20,2,10463.39303256079,10385.230097639096,11161.988271261813
syr2+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,20,2,16064.909651962334,15940.842361000477,16340.013065490772
trsv+129+triangular+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,policy,20,2,6917.333675856691,6855.853623436697,8211.193737053734
trmv+129+triangular+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,policy,20,2,9654.323128679242,9525.56229469174,10054.999501321498
gemm+32x21x48+uniform,ok,direct,reset-and-arithmetic,policy,20,2,17878.25425038588,16973.62012215813,20256.09381641534
gemm+129x31x257+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,20,2,339572.63152513694,333336.3084577114,518784.822622108
gemm+65x127x33+uniform+transB=T,ok,direct,reset-and-arithmetic,policy,20,2,111055.49985651215,108847.47743338771,144103.85971223022
symm+129x31+uniform+side=L+uplo=L,ok,direct,reset-and-arithmetic,policy,20,2,189939.248818739,186345.8930232558,306831.9589041096
symm+31x129+uniform+side=R+uplo=U,ok,direct,reset-and-arithmetic,policy,20,2,199650.4329025845,195380.99610894942,506655.66582914576
gemmt+129x31+uniform+uplo=L+transA=N+transB=N,ok,direct,reset-and-arithmetic,policy,20,2,243544.95255474452,240502.05889423078,252944.60075566752
syrk+129x31+uniform+uplo=L+transA=N,ok,direct,reset-and-arithmetic,policy,20,2,127780.43415751339,125907.59122257054,153398.76091954022
syr2k+129x31+uniform+uplo=U+transA=T,ok,direct,reset-and-arithmetic,policy,20,2,281332.4164513504,271500.5525606469,394675.9140625
