case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
dot+4096+uniform,ok,direct,arithmetic,policy,20,2,5424.838776088602,5369.380567779328,5557.694350313872
axpy+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,3825.7055900879313,3797.8278002801226,3911.83586786552
axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,3693.51724352786,3490.565215879858,3860.6345411746547
scal+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,2111.3418944041123,2092.407026348808,2149.487731570616
nrm2+4096+uniform,ok,direct,arithmetic,policy,20,2,5400.229126452475,5345.167712812842,5463.777554457059
asum+4096+uniform,ok,direct,arithmetic,policy,20,2,5411.1984752746175,5334.366437720438,5541.4627284739045
sum+4096+uniform,ok,direct,arithmetic,policy,20,2,5388.1491123754695,5313.526725259552,5437.828459721431
compensated-sum+4096+uniform,ok,unsupported,arithmetic,policy,20,2,6803.91143086993,6750.114897202561,6870.638886037839
iamax+64+uniform,ok,direct,arithmetic,policy,20,2,36.58599711478501,36.48607010065978,38.704220956270525
iamax+128+uniform,ok,direct,arithmetic,policy,20,2,63.09467315125171,62.336966123634475,64.26723921236015
iamax+256+uniform,ok,direct,arithmetic,policy,20,2,117.6968180495072,117.17917743043496,148.95847169031856
iamax+512+uniform,ok,direct,arithmetic,policy,20,2,226.32878462159482,223.19060689064457,286.0082660336615
iamax+1024+uniform,ok,direct,arithmetic,policy,20,2,458.1575156872564,455.385299548812,481.77562509631684
iamax+4096+uniform,ok,direct,arithmetic,policy,20,2,1807.7295400517078,1793.5195720928566,1828.298341734239
iamax+65536+uniform,ok,direct,arithmetic,policy,20,2,32809.51656839581,29412.79090242113,34069.48383253914
swap+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,5396.247217702843,5346.110196885102,5466.357065158272
rot+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,6623.0467909143335,6446.623932725457,6745.63686924866
rotm+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,6667.890145473327,6618.318820921692,7132.299342923105
rotmg+1+uniform,ok,direct,arithmetic,policy,20,2,36.99165944745414,35.98653709392765,49.838282432863174
ssqd+4096+uniform,ok,unsupported,arithmetic,policy,20,2,5400.260327144224,5344.041829053441,5452.453767588418
dot4+4096+uniform,ok,composed,arithmetic,policy,20,2,5685.710181873877,5586.66887213847,5826.392540222862
axpy4+4096+uniform,ok,composed,reset-and-arithmetic,policy,20,2,8824.885244034876,7920.658914728682,10664.323279072241
dot-axpy+4096+uniform,ok,composed,reset-and-arithmetic,policy,20,2,6998.716543269382,6956.5379274431525,7051.257726152763
gemv+32x21+uniform,ok,direct,reset-and-arithmetic,policy,20,2,359.5053909973399,353.089385041082,617.125294079558
gemv+129x31+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,20,2,1882.5617749275566,1869.9227857683572,1901.9738707736283
symv+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,20,2,9984.850506759114,9779.710564894449,11225.827277349708
ger+129x31+uniform,ok,direct,reset-and-arithmetic,policy,20,2,3333.8803969299634,3115.838361404158,3471.1583079162624
syr+129+uniform+uplo=L,ok,direct,reset-and-arithmetic,policy,20,2,11514.487956887246,10197.425805136567,12602.389906236234
syr2+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,20,2,15912.71150433822,15322.7956808087,16440.21626935365
trsv+129+triangular+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,policy,20,2,6956.319551839588,6867.774737348074,7105.273640850822
trmv+129+triangular+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,policy,20,2,9115.265772522831,8984.910470545978,9550.135838977392
gemm+32x21x48+uniform,ok,direct,reset-and-arithmetic,policy,20,2,24164.514020792678,23813.296705910336,26643.804527296936
