case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
dot+4096+uniform,ok,direct,arithmetic,policy,20,2,8968211.152173914,7596787.296296297,1.2375467235294119E7
axpy+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,3293.7907095878254,3248.103607172307,3374.237776729454
axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,3302.566294384452,3288.9480015777017,3361.47419701653
scal+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,2339.517123899117,2329.8241551066008,2449.0676850562922
nrm2+4096+uniform,ok,direct,arithmetic,policy,20,2,8322075.195512821,7054234.586206896,1.42548634E7
asum+4096+uniform,ok,direct,arithmetic,policy,20,2,916.2239109165666,904.7335919380433,953.8749285196905
sum+4096+uniform,ok,direct,arithmetic,policy,20,2,700.7988668983021,693.6777097262805,736.1131994261119
compensated-sum+4096+uniform,ok,unsupported,arithmetic,policy,20,2,6776.808453559484,6662.628633261195,7053.951244447578
iamax+64+uniform,ok,direct,arithmetic,policy,20,2,37.01559594378804,36.801745156664296,37.80691827854523
iamax+128+uniform,ok,direct,arithmetic,policy,20,2,63.50730170993817,62.73263658749632,64.33521798890989
iamax+256+uniform,ok,direct,arithmetic,policy,20,2,8986.47378500551,8617.26852767861,27916.84331797235
iamax+512+uniform,ok,direct,arithmetic,policy,20,2,24336.065991469084,22619.24773960217,62341.14045468701
iamax+1024+uniform,ok,direct,arithmetic,policy,20,2,34980.66901840491,33733.382204246715,81999.26001635323
iamax+4096+uniform,ok,direct,arithmetic,policy,20,2,102852.43633954567,98320.43401759531,274951.5412087912
iamax+65536+uniform,ok,direct,arithmetic,policy,20,2,1524117.5416666665,1454071.4130434783,4504378.177777777
swap+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,5600.303326080066,5574.181499122587,5639.25590961598
rot+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1.6640451176282052E7,1.5041989214285715E7,2.7058284125E7
rotm+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1.2078843176470589E7,1.1052978421052631E7,1.7126900769230768E7
rotmg+1+uniform,ok,direct,arithmetic,policy,20,2,37.15152260814186,35.57716328428355,47.61741545513871
ssqd+4096+uniform,ok,unsupported,arithmetic,policy,20,2,8728459.109166667,7591870.62962963,1.1188621611111112E7
dot4+4096+uniform,ok,composed,arithmetic,policy,20,2,3.278716492857143E7,2.9271296714285713E7,5.387154675E7
axpy4+4096+uniform,ok,composed,reset-and-arithmetic,policy,20,2,2.3770314611111112E7,2.2781175777777776E7,4.16552964E7
dot-axpy+4096+uniform,ok,composed,reset-and-arithmetic,policy,20,2,109101.13324250681,103226.95152140278,293431.2942898975
gemv+32x21+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1338598.2766760266,1185327.4023668638,2711350.2972972975
