case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
dot+4096+uniform,ok,direct,arithmetic,policy,10,1,1370.1936220412513,1365.9003106642958,1444.7192258993005
axpy+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,2706.978495569235,2701.0495028072787,2725.213028478658
axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,2996.1955020417968,2988.7636770357917,3007.691238289695
scal+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,2160.633762564169,2152.6858957767136,2694.603932099564
nrm2+4096+uniform,ok,direct,arithmetic,policy,10,1,1101.8675040518638,1096.7087320441376,1106.4706267622832
asum+4096+uniform,ok,direct,arithmetic,policy,10,1,732.6557113664633,728.4431824912634,733.4753450216194
sum+4096+uniform,ok,direct,arithmetic,policy,10,1,611.6321090065833,609.15456398923,613.973398907444
compensated-sum+4096+uniform,ok,unsupported,arithmetic,policy,10,1,8130.0174734452285,8082.206965053109,8188.359847563448
iamax+64+uniform,ok,direct,arithmetic,policy,10,1,106.035336,105.133256,106.651643
iamax+128+uniform,ok,direct,arithmetic,policy,10,1,175.3736445,174.699034,180.609867
iamax+256+uniform,ok,direct,arithmetic,policy,10,1,214.78158273119413,213.74528040289883,216.01098999926126
iamax+512+uniform,ok,direct,arithmetic,policy,10,1,480.45991200885305,478.15239202926824,611.2704905764083
iamax+1024+uniform,ok,direct,arithmetic,policy,10,1,647.2579459728861,641.9553970478296,658.1414206794328
iamax+4096+uniform,ok,direct,arithmetic,policy,10,1,1738.5492692802281,1731.5970527925485,1743.7986306606888
iamax+65536+uniform,ok,direct,arithmetic,policy,10,1,22125.547157264766,22061.545827330156,22238.563781447414
swap+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,4906.202438308592,4891.928636063489,4956.365208246717
rot+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,5057.065076869322,5039.788259958072,5245.465982829191
rotm+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,4969.63514692321,4956.090297335692,4998.924532063904
rotmg+1+uniform,ok,direct,arithmetic,policy,10,1,59.2397325,58.161139,60.267362
ssqd+4096+uniform,ok,unsupported,arithmetic,policy,10,1,1427.865974713152,1422.946231575044,1434.9356276429605
dot4+4096+uniform,ok,composed,arithmetic,policy,10,1,3285.2630577427817,3273.9237368766403,3307.8872375328083
axpy4+4096+uniform,ok,composed,reset-and-arithmetic,policy,10,1,4582.182776355543,4571.488526026892,4678.488295394266
dot-axpy+4096+uniform,ok,composed,reset-and-arithmetic,policy,10,1,3171.5789115107345,3161.219900182207,3190.4441574902953
gemv+32x21+uniform,ok,direct,reset-and-arithmetic,policy,10,1,1043.314493433396,1040.7213049822806,1049.0551646862623
gemv+129x31+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,10,1,2991.588687769223,2983.9871523556517,3006.6510423702102
symv+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,10,1,12860.16762186876,12830.90623993818,12904.919505441432
ger+129x31+uniform,ok,direct,reset-and-arithmetic,policy,10,1,3759.920933551137,3745.802606132297,3780.3278319157325
syr+129+uniform+uplo=L,ok,direct,reset-and-arithmetic,policy,10,1,12800.756542477762,12775.033969318036,12885.578960938506
syr2+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,10,1,21079.478368944365,21049.72762851703,21362.248572033
trsv+129+triangular+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,policy,10,1,9032.002675239422,8999.985657119734,9067.358302234612
trmv+129+triangular+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,policy,10,1,8630.113968996277,8614.026586992293,8709.762362518402
gemm+32x21x48+uniform,ok,direct,reset-and-arithmetic,policy,10,1,24569.442499078512,24438.04337142155,24758.05516648237
gemm+129x31x257+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,10,1,451179.99097065465,450403.68848758464,460976.43115124153
gemm+65x127x33+uniform+transB=T,ok,direct,reset-and-arithmetic,policy,10,1,123509.28884093711,122944.28051787916,123864.25339087546
symm+129x31+uniform+side=L+uplo=L,ok,direct,reset-and-arithmetic,policy,10,1,264791.55312084995,263960.2948207171,265632.89110225765
symm+31x129+uniform+side=R+uplo=U,ok,direct,reset-and-arithmetic,policy,10,1,238636.03814064362,237739.1716328963,302929.2324195471
gemmt+129x31+uniform+uplo=L+transA=N+transB=N,ok,direct,reset-and-arithmetic,policy,10,1,473890.20921985817,471644.28841607564,474546.1229314421
syrk+129x31+uniform+uplo=L+transA=N,ok,direct,reset-and-arithmetic,policy,10,1,144564.3637362637,144275.9575091575,144773.19706959708
syr2k+129x31+uniform+uplo=U+transA=T,ok,direct,reset-and-arithmetic,policy,10,1,315077.01023622043,314374.3842519685,317064.6346456693
trsm+64x16+triangular+side=L+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,policy,10,1,60301.86753168377,60080.92516596258,61190.08388654194
trsm+17x64+triangular+side=R+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,policy,10,1,70730.34446022726,70485.86860795454,71009.47123579546
trmm+64x16+triangular+side=L+uplo=U+transA=T+diag=N,ok,direct,reset-and-arithmetic,policy,10,1,55480.885195530725,55259.40474860335,56166.38184357542
