run,id,implementation,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
run,1,jvm-c/c/c-sparse/packed-4x4,1,ns,437ae0208b7fffe9b36ca8ece042cce97c078909,false,kotlin-2.4.10/jvm/Ubuntu/25.0.4/JMH 1.37/forks=2,1,5,200000000,jmh-average-time,200000000,2
run,2,jvm-c/c/c-sparse/packed-4x4,1,ns,437ae0208b7fffe9b36ca8ece042cce97c078909,false,kotlin-2.4.10/jvm/Ubuntu/25.0.4,1,5,200000000,jmh-average-time,200000000,2
case,1,1,dot+4096+uniform,ok,direct,arithmetic,policy,20,2,1781.9769911795715,1448.2763741631989,2123.1610127227004
case,2,1,axpy+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1423.379467541366,1415.6445617336794,1430.8770282543246
case,3,1,axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1421.9304301342572,1408.235901442054,1429.0661424970185
case,4,1,scal+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1011.5497082723632,1008.6373008151393,1013.8256104419909
case,5,1,nrm2+4096+uniform,ok,direct,arithmetic,policy,20,2,503.33323701804454,500.77359756128084,503.6293317828521
case,6,1,asum+4096+uniform,ok,direct,arithmetic,policy,20,2,2259.4515984672207,2252.289552776433,2269.6309939663383
case,7,1,sum+4096+uniform,ok,direct,arithmetic,policy,20,2,1692.0556478584197,1148.6391765002984,2234.919490295057
case,8,1,compensated-sum+4096+uniform,ok,unsupported,arithmetic,policy,20,2,4596.428128040092,4594.861712632328,4659.830204937121
case,9,1,iamax+64+uniform,ok,direct,arithmetic,policy,20,2,24.37173345912384,24.361978635866077,25.110425615170556
case,10,1,iamax+128+uniform,ok,direct,arithmetic,policy,20,2,47.296999454648954,47.29042743054546,47.3215611936592
case,11,1,iamax+256+uniform,ok,direct,arithmetic,policy,20,2,92.80063916492435,92.78830559903851,92.86145632414248
case,12,1,iamax+512+uniform,ok,direct,arithmetic,policy,20,2,184.6623649476432,184.55511590919156,186.56908003009906
case,13,1,iamax+1024+uniform,ok,direct,arithmetic,policy,20,2,368.016028408974,367.93441353767844,368.18473694573305
case,14,1,iamax+4096+uniform,ok,direct,arithmetic,policy,20,2,2537.7908504692577,2535.5158703006805,2539.114795497519
case,15,1,iamax+65536+uniform,ok,direct,arithmetic,policy,20,2,38402.4675677317,37698.20082893745,39233.01508325172
case,16,1,swap+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,2656.814472535252,2654.521685484192,2659.0869646058836
case,17,1,rot+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,3716.2750390282963,3712.5854871328647,3737.287024412111
case,18,1,rotm+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,3688.81773079664,3677.333278200463,3702.365382480293
case,19,1,rotmg+1+uniform,ok,direct,arithmetic,policy,20,2,8.763901629293898,8.725077673643602,8.820216334030837
case,20,1,ssqd+4096+uniform,ok,unsupported,arithmetic,policy,20,2,1326.6673172808555,1318.474568789448,1330.5164284906803
case,21,1,dot4+4096+uniform,ok,composed,arithmetic,policy,20,2,6741.07732608241,5302.011927745894,8090.607952479088
case,22,1,axpy4+4096+uniform,ok,composed,reset-and-arithmetic,policy,20,2,4517.3685264496835,4263.714407393211,4640.781246376139
case,23,1,dot-axpy+4096+uniform,ok,composed,reset-and-arithmetic,policy,20,2,4300.748359042058,4272.697814394262,4402.114728852712
case,24,1,gemv+32x21+uniform,ok,direct,reset-and-arithmetic,policy,20,2,210.42252040157263,210.1842365545786,210.58375433633088
case,25,1,gemv+129x31+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,20,2,1038.7316031819241,1032.218838621856,1039.5835190813914
case,26,1,symv+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,20,2,5399.550579174233,5392.674320827943,5407.242061454476
case,27,1,ger+129x31+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1919.6873901703782,1917.1142172830043,1920.7431961524062
case,28,1,syr+129+uniform+uplo=L,ok,direct,reset-and-arithmetic,policy,20,2,6113.420828791901,6107.948867452225,6122.622203861807
case,29,1,syr2+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,20,2,9444.051059768952,9440.173767397971,9454.400132212673
case,30,1,trsv+129+triangular+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,policy,20,2,3741.3163519827654,3736.13715384759,3752.3510305121617
