run,id,implementation,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
run,1,jvm-scalar/scalar/scalar/packed-4x4,1,ns,437ae0208b7fffe9b36ca8ece042cce97c078909,false,kotlin-2.4.10/jvm/Ubuntu/25.0.4/JMH 1.37/forks=2,1,5,200000000,jmh-average-time,200000000,2
run,2,jvm-scalar/scalar/scalar/packed-4x4,1,ns,437ae0208b7fffe9b36ca8ece042cce97c078909,false,kotlin-2.4.10/jvm/Ubuntu/25.0.4,1,5,200000000,jmh-average-time,200000000,2
case,1,1,dot+4096+uniform,ok,direct,arithmetic,policy,20,2,2911.9608394664383,2909.5214628471717,2914.1858690587137
case,2,1,axpy+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1614.6404956922888,1612.3761493025618,1633.0437891265844
case,3,1,axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1613.8558660455292,1609.8899473794313,1631.6814808774361
case,4,1,scal+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1005.6302717559174,1003.0984249205442,1010.2574310916775
case,5,1,nrm2+4096+uniform,ok,direct,arithmetic,policy,20,2,2909.144492361746,2908.740183464899,2910.905158263244
case,6,1,asum+4096+uniform,ok,direct,arithmetic,policy,20,2,2905.203529386389,2904.5864556870147,2917.3512705748567
case,7,1,sum+4096+uniform,ok,direct,arithmetic,policy,20,2,2900.057219741744,2899.4312688383957,2911.2274063081936
case,8,1,compensated-sum+4096+uniform,ok,unsupported,arithmetic,policy,20,2,4596.109223643161,4594.846731418337,4599.0018616410025
case,9,1,iamax+64+uniform,ok,direct,arithmetic,policy,20,2,24.015018850381885,24.002444674528636,26.151710386953027
case,10,1,iamax+128+uniform,ok,direct,arithmetic,policy,20,2,46.941697909389475,46.93333287982987,46.96315087026688
case,11,1,iamax+256+uniform,ok,direct,arithmetic,policy,20,2,93.00242148636433,92.8052542424768,93.2355423440969
case,12,1,iamax+512+uniform,ok,direct,arithmetic,policy,20,2,185.23838371564085,184.5886977211481,186.1682285599443
case,13,1,iamax+1024+uniform,ok,direct,arithmetic,policy,20,2,367.98896869839564,367.94350923521665,368.27201005543003
case,14,1,iamax+4096+uniform,ok,direct,arithmetic,policy,20,2,1470.0374771623262,1469.819656719816,1470.7439540730068
case,15,1,iamax+65536+uniform,ok,direct,arithmetic,policy,20,2,23587.758958458355,23533.536281312478,23719.03461356093
case,16,1,swap+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,3917.688798646304,3903.0075101435705,3933.860810757677
case,17,1,rot+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,3785.233473977357,3779.2143396511365,3801.9282497577287
case,18,1,rotm+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,3658.172452787837,3645.456362145915,3667.7165603928465
case,19,1,rotmg+1+uniform,ok,direct,arithmetic,policy,20,2,8.825979590907961,8.76869615181053,8.861123948093208
case,20,1,ssqd+4096+uniform,ok,unsupported,arithmetic,policy,20,2,2917.898444809486,2915.899484160522,2922.5226884374406
case,21,1,dot4+4096+uniform,ok,composed,arithmetic,policy,20,2,3271.8453706831233,3261.0893474150857,3278.386803427766
case,22,1,axpy4+4096+uniform,ok,composed,reset-and-arithmetic,policy,20,2,5348.060645747581,5341.748097717261,5353.267437193997
case,23,1,dot-axpy+4096+uniform,ok,composed,reset-and-arithmetic,policy,20,2,3501.6400905775135,3499.582152726764,3556.945079156376
case,24,1,gemv+32x21+uniform,ok,direct,reset-and-arithmetic,policy,20,2,211.67844646538748,211.43035351603365,211.85952165147563
case,25,1,gemv+129x31+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,20,2,1041.2393796560168,1037.9085566074439,1043.0145599941613
case,26,1,symv+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,20,2,5410.412056438716,5405.429362506753,5416.391559742298
case,27,1,ger+129x31+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1918.5368953111274,1914.4218518270454,1921.527295940407
case,28,1,syr+129+uniform+uplo=L,ok,direct,reset-and-arithmetic,policy,20,2,6332.600544964034,6089.222847752655,6557.685435238594
case,29,1,syr2+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,20,2,9450.535551249828,9429.669243095484,9472.092682003218
case,30,1,trsv+129+triangular+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,policy,20,2,3742.664829500151,3732.6418737407657,3748.9225782274684
case,31,1,trmv+129+triangular+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,policy,20,2,4030.209919042498,4009.729639278557,4049.4976321541326
case,32,1,gemm+32x21x48+uniform,ok,direct,reset-and-arithmetic,policy,20,2,11354.002567071035,11346.245919292678,11394.951591776296
case,33,1,gemm+129x31x257+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,20,2,281060.2324438202,280433.281512605,281581.90154711675
case,34,1,gemm+65x127x33+uniform+transB=T,ok,direct,reset-and-arithmetic,policy,20,2,75255.34735329324,75150.54675178371,75381.9879472693
case,35,1,symm+129x31+uniform+side=L+uplo=L,ok,direct,reset-and-arithmetic,policy,20,2,147829.74673064915,147618.1349557522,148033.45931952662
case,36,1,symm+31x129+uniform+side=R+uplo=U,ok,direct,reset-and-arithmetic,policy,20,2,146167.15549977875,146030.11451495258,146264.28728070174
case,37,1,gemmt+129x31+uniform+uplo=L+transA=N+transB=N,ok,direct,reset-and-arithmetic,policy,20,2,109907.47694840835,109856.01481888036,110028.0775151182
case,38,1,syrk+129x31+uniform+uplo=L+transA=N,ok,direct,reset-and-arithmetic,policy,20,2,82507.98743211041,82424.2355848435,82583.22616591003
case,39,1,syr2k+129x31+uniform+uplo=U+transA=T,ok,direct,reset-and-arithmetic,policy,20,2,175939.47671353252,175855.4569420035,176060.42304309586
case,40,1,trsm+64x16+triangular+side=L+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,policy,20,2,17144.10603401341,17113.806945513643,17209.66004642765
case,41,1,trsm+17x64+triangular+side=R+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,policy,20,2,17045.862925776448,17022.270863462356,17073.836191451242
case,42,1,trmm+64x16+triangular+side=L+uplo=U+transA=T+diag=N,ok,direct,reset-and-arithmetic,policy,20,2,16297.592896664008,16236.122525154171,16318.43247431088
case,43,1,trmm+17x64+triangular+side=R+uplo=L+transA=N+diag=U,ok,direct,reset-and-arithmetic,policy,20,2,18905.994034080028,18873.334559517072,18949.08949711147
case,44,1,gemm-tile+4x4x32+uniform+packed=4x4,ok,partial,raw-tile,portable-tile,20,2,122.81146270845917,122.4383621916182,123.0444081202928
case,45,1,gemm-tile+3x2x31+uniform+packed=4x4,ok,partial,raw-tile,portable-tile,20,2,119.28071847340786,118.88056807394038,119.58915868969454
case,46,1,packed-trsm+4x4+triangular+packed=4x4+uplo=L+diag=N,ok,partial,raw-tile,portable-solve,20,2,42.21176716914921,42.045337030559885,43.36386424438715
case,47,1,packed-trsm+3x2+triangular+packed=4x4+uplo=U+diag=U,ok,partial,raw-tile,portable-solve,20,2,12.877750887122687,12.686347839595216,13.779422905370163
case,48,1,gemm-trsm+4x4x32+triangular+packed=4x4+uplo=L+diag=N,ok,composed,raw-tile,portable-tile,20,2,293.2125313820364,292.9904117290512,293.9360623466674
case,49,1,gemm-trsm+3x2x31+triangular+packed=4x4+uplo=U+diag=U,ok,composed,raw-tile,portable-tile,20,2,103.02520561569752,102.99178494986755,103.22222399919933
