run,id,implementation,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
run,1,jvm-simd/simd(2 lanes)/simd-sparse/packed-4x4,1,ns,437ae0208b7fffe9b36ca8ece042cce97c078909,false,kotlin-2.4.10/jvm/Ubuntu/25.0.4/JMH 1.37/forks=2,1,5,200000000,jmh-average-time,200000000,2
run,2,jvm-simd/simd(2 lanes)/simd-sparse/packed-4x4,1,ns,437ae0208b7fffe9b36ca8ece042cce97c078909,false,kotlin-2.4.10/jvm/Ubuntu/25.0.4,1,5,200000000,jmh-average-time,200000000,2
case,1,1,dot+4096+uniform,ok,direct,arithmetic,policy,20,2,873.451543293555,835.494809760823,884.7765362387411
case,2,1,axpy+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1565.3177895207455,1529.9115778367343,1585.634320670692
case,3,1,axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1513.9377413759266,1496.7513988211006,1527.2947018098268
case,4,1,scal+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1004.7787489665045,978.9958019581077,1026.3589968504098
case,5,1,nrm2+4096+uniform,ok,direct,arithmetic,policy,20,2,410.1819651299152,388.7113930591819,410.7301804012064
case,6,1,asum+4096+uniform,ok,direct,arithmetic,policy,20,2,454.07066107955404,453.17333629274634,455.37082977779295
case,7,1,sum+4096+uniform,ok,direct,arithmetic,policy,20,2,388.9487321244379,384.72002807179456,394.97003069573714
case,8,1,compensated-sum+4096+uniform,ok,unsupported,arithmetic,policy,20,2,4596.705959380883,4595.393872582794,4663.976873222362
case,9,1,iamax+64+uniform,ok,direct,arithmetic,policy,20,2,24.365819667666255,24.339218008556223,25.806104821158318
case,10,1,iamax+128+uniform,ok,direct,arithmetic,policy,20,2,47.296000952314984,47.284829879401904,47.320125645753144
case,11,1,iamax+256+uniform,ok,direct,arithmetic,policy,20,2,87.02762037950299,86.93726395828807,87.09882347410115
case,12,1,iamax+512+uniform,ok,direct,arithmetic,policy,20,2,220.84667464592133,219.0476794310722,221.56916318487404
case,13,1,iamax+1024+uniform,ok,direct,arithmetic,policy,20,2,331.28355414696705,328.6654998349133,333.6899325904159
case,14,1,iamax+4096+uniform,ok,direct,arithmetic,policy,20,2,1007.148923382207,1004.9231750560015,1010.4942982677643
case,15,1,iamax+65536+uniform,ok,direct,arithmetic,policy,20,2,14705.749797898141,14656.795399604425,14772.789605787686
case,16,1,swap+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,2622.3106686226643,2523.422028298318,2722.42789691395
case,17,1,rot+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,3264.12720343577,3252.112089840893,3315.499660567928
case,18,1,rotm+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,3064.815902577903,3057.7523546804036,3071.497075664308
case,19,1,rotmg+1+uniform,ok,direct,arithmetic,policy,20,2,8.770097903286917,8.72443392723157,8.815604013606375
case,20,1,ssqd+4096+uniform,ok,unsupported,arithmetic,policy,20,2,773.7167619023407,699.6933547759169,827.7030753574265
case,21,1,dot4+4096+uniform,ok,composed,arithmetic,policy,20,2,3003.8615868445813,2385.4922145122446,3624.008471661568
case,22,1,axpy4+4096+uniform,ok,composed,reset-and-arithmetic,policy,20,2,3500.781476839712,3499.6815629755306,3501.9889221399694
case,23,1,dot-axpy+4096+uniform,ok,composed,reset-and-arithmetic,policy,20,2,2846.255279816507,2807.742146394848,2896.180699697483
case,24,1,gemv+32x21+uniform,ok,direct,reset-and-arithmetic,policy,20,2,125.92141472193072,120.36395831779254,131.2561569536085
case,25,1,gemv+129x31+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,20,2,791.3592741425136,781.4662091472651,793.9875790693429
case,26,1,symv+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,20,2,4788.3515783972425,4747.673947586861,4797.523917995444
case,27,1,ger+129x31+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1524.3724629354133,1520.3188529136874,1533.7438533853308
case,28,1,syr+129+uniform+uplo=L,ok,direct,reset-and-arithmetic,policy,20,2,5323.732577320213,5303.2233030295,5344.598723222394
case,29,1,syr2+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,20,2,7367.062612946256,7363.43640512292,7370.62087507366
case,30,1,trsv+129+triangular+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,policy,20,2,2581.0501102580374,2571.9263953518266,2585.3227869360758
case,31,1,trmv+129+triangular+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,policy,20,2,2395.5565969278014,2389.4899021867645,2401.3144749948992
case,32,1,gemm+32x21x48+uniform,ok,direct,reset-and-arithmetic,policy,20,2,7242.531354954206,7212.693826093221,7262.320121951219
case,33,1,gemm+129x31x257+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,20,2,166108.12679542488,165237.77869529315,166968.55796497082
case,34,1,gemm+65x127x33+uniform+transB=T,ok,direct,reset-and-arithmetic,policy,20,2,42500.23951373325,42308.43086680761,42925.58215358215
case,35,1,symm+129x31+uniform+side=L+uplo=L,ok,direct,reset-and-arithmetic,policy,20,2,91229.73852142456,90846.20018157059,91502.81755829904
case,36,1,symm+31x129+uniform+side=R+uplo=U,ok,direct,reset-and-arithmetic,policy,20,2,87270.95670465438,87099.76631853786,87581.47177242888
case,37,1,gemmt+129x31+uniform+uplo=L+transA=N+transB=N,ok,direct,reset-and-arithmetic,policy,20,2,109736.68064692983,109558.04652435688,110057.08085808581
case,38,1,syrk+129x31+uniform+uplo=L+transA=N,ok,direct,reset-and-arithmetic,policy,20,2,51064.020158203624,50933.500508647,51118.81711366539
case,39,1,syr2k+129x31+uniform+uplo=U+transA=T,ok,direct,reset-and-arithmetic,policy,20,2,112290.48857963958,111781.90558659218,112854.1166854566
case,40,1,trsm+64x16+triangular+side=L+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,policy,20,2,13270.537837544778,13221.252296306086,13316.268076897491
