run,id,implementation,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
run,1,native/c/c-sparse/packed-4x4,1,ns,437ae0208b7fffe9b36ca8ece042cce97c078909,false,kotlin-native-2.4.10,1,5,200000000,native-calibrated,50000000,1
case,1,1,dot+4096+uniform,ok,direct,arithmetic,policy,10,1,740.5013124658594,739.5484237578318,740.9655569364554
case,2,1,axpy+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,1637.7304983329122,1634.5912822310445,1644.9471830698872
case,3,1,axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,1634.4414409282872,1630.5119575565736,1637.766260079907
case,4,1,scal+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,1112.9131571087216,1111.5205927253419,1113.8861122173548
case,5,1,nrm2+4096+uniform,ok,direct,arithmetic,policy,10,1,609.7331050634323,608.0659581458295,610.3299233507449
case,6,1,asum+4096+uniform,ok,direct,arithmetic,policy,10,1,521.5876559002238,521.1033373840742,522.1235535657179
case,7,1,sum+4096+uniform,ok,direct,arithmetic,policy,10,1,389.8766846618459,389.18530898511773,391.51832988446944
case,8,1,compensated-sum+4096+uniform,ok,unsupported,arithmetic,policy,10,1,9175.217421377847,9108.428663653971,9204.21557686987
case,9,1,iamax+64+uniform,ok,direct,arithmetic,policy,10,1,109.0280425,108.899277,109.191368
case,10,1,iamax+128+uniform,ok,direct,arithmetic,policy,10,1,169.313728,168.965347,169.626008
case,11,1,iamax+256+uniform,ok,direct,arithmetic,policy,10,1,187.864873,187.504397,188.115548
case,12,1,iamax+512+uniform,ok,direct,arithmetic,policy,10,1,374.7476202760461,373.4920855271583,374.90142217388643
case,13,1,iamax+1024+uniform,ok,direct,arithmetic,policy,10,1,420.97309393109254,420.0731935483196,421.33197859485296
case,14,1,iamax+4096+uniform,ok,direct,arithmetic,policy,10,1,862.3665673963678,861.5455354150014,864.8705532492759
case,15,1,iamax+65536+uniform,ok,direct,arithmetic,policy,10,1,11612.817126943606,11609.21443490369,11624.608319795776
case,16,1,swap+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,2838.6862518007965,2837.326389085054,2840.7832688342137
case,17,1,rot+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,3137.3303240921514,3131.2881999219053,3149.105833658727
case,18,1,rotm+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,3459.179706139824,3439.1152611613657,3478.9865256870185
case,19,1,rotmg+1+uniform,ok,direct,arithmetic,policy,10,1,62.2039215,62.119793,62.395745
case,20,1,ssqd+4096+uniform,ok,unsupported,arithmetic,policy,10,1,910.5674461771919,909.979116705281,911.2999128357292
case,21,1,dot4+4096+uniform,ok,composed,arithmetic,policy,10,1,2891.2426032944704,2889.7631180734697,2892.3364798455086
case,22,1,axpy4+4096+uniform,ok,composed,reset-and-arithmetic,policy,10,1,3674.856087378463,3674.3659202021495,3676.062549209895
case,23,1,dot-axpy+4096+uniform,ok,composed,reset-and-arithmetic,policy,10,1,2499.529362822407,2498.046096340358,2500.2854322152816
case,24,1,gemv+32x21+uniform,ok,direct,reset-and-arithmetic,policy,10,1,1086.357517369002,1086.0434225050321,1086.6510724411835
case,25,1,gemv+129x31+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,10,1,2888.3412855136353,2885.908106078516,2889.5308653993243
case,26,1,symv+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,10,1,12681.937735072872,12670.755818053596,12692.722907851434
case,27,1,ger+129x31+uniform,ok,direct,reset-and-arithmetic,policy,10,1,2727.025671919712,2721.650861891918,2736.973561345619
case,28,1,syr+129+uniform+uplo=L,ok,direct,reset-and-arithmetic,policy,10,1,11631.568535735038,11629.631667635096,11639.477687391052
case,29,1,syr2+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,10,1,20870.50140992167,20851.81451697128,20915.289712793732
case,30,1,trsv+129+triangular+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,policy,10,1,9267.784496734448,9265.680300152855,9277.60146370837
case,31,1,trmv+129+triangular+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,policy,10,1,7736.5895180395355,7733.560565458853,7747.8928113713155
case,32,1,gemm+32x21x48+uniform,ok,direct,reset-and-arithmetic,policy,10,1,15479.34083004869,15469.830203261457,15498.96591699513
case,33,1,gemm+129x31x257+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,10,1,250715.65923566878,250516.6458598726,251280.97197452228
case,34,1,gemm+65x127x33+uniform+transB=T,ok,direct,reset-and-arithmetic,policy,10,1,85919.51584582441,85860.5391862955,86012.18629550321
case,35,1,symm+129x31+uniform+side=L+uplo=L,ok,direct,reset-and-arithmetic,policy,10,1,133106.51329787233,132928.39162234042,133351.5039893617
case,36,1,symm+31x129+uniform+side=R+uplo=U,ok,direct,reset-and-arithmetic,policy,10,1,128562.95734445157,128510.23540731239,128659.55099422707
case,37,1,gemmt+129x31+uniform+uplo=L+transA=N+transB=N,ok,direct,reset-and-arithmetic,policy,10,1,684331.5549828178,684240.6838487972,684998.2130584193
case,38,1,syrk+129x31+uniform+uplo=L+transA=N,ok,direct,reset-and-arithmetic,policy,10,1,105414.45574288725,105335.89093782929,105499.1354056902
case,39,1,syr2k+129x31+uniform+uplo=U+transA=T,ok,direct,reset-and-arithmetic,policy,10,1,219474.73908296943,219367.33624454148,219802.72270742359
case,40,1,trsm+64x16+triangular+side=L+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,policy,10,1,72082.29055515502,72071.98774333093,72112.07894736843
case,41,1,trsm+17x64+triangular+side=R+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,policy,10,1,81369.35115900773,81352.4265961773,81385.75233834892
case,42,1,trmm+64x16+triangular+side=L+uplo=U+transA=T+diag=N,ok,direct,reset-and-arithmetic,policy,10,1,56131.04663140312,56120.88669265033,56156.37722717149
case,43,1,trmm+17x64+triangular+side=R+uplo=L+transA=N+diag=U,ok,direct,reset-and-arithmetic,policy,10,1,65378.67121507472,65371.220922677065,65396.09064327485
case,44,1,gemm-tile+4x4x32+uniform+packed=4x4,ok,partial,raw-tile,c-tile,10,1,135.489937,135.373837,135.712298
case,45,1,gemm-tile+3x2x31+uniform+packed=4x4,ok,partial,raw-tile,c-tile,10,1,133.33658450000001,133.263822,133.432086
