run,id,implementation,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
run,1,openblas,1,ns,437ae0208b7fffe9b36ca8ece042cce97c078909,false,OpenBLAS 0.3.32 NO_LAPACKE DYNAMIC_ARCH NO_AFFINITY neoversev2 MAX_THREADS=128; compiler=15.2.0,1,5,200000000,vendor-calibrated,50000000,1
case,1,1,dot+4096+uniform,ok,direct,arithmetic,vendor-cblas,10,1,753.93208312988281,752.88818359375,755.33211517333984
case,2,1,axpy+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,1419.2531204223633,1413.9483947753906,1423.8725280761719
case,3,1,axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,1419.4972190856934,1414.2980880737305,1423.9819183349609
case,4,1,scal+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,1033.6977996826172,1004.4693298339844,1052.3394012451172
case,5,1,nrm2+4096+uniform,ok,direct,arithmetic,vendor-cblas,10,1,3915.2087249755859,3914.6232604980469,3916.6526184082031
case,6,1,asum+4096+uniform,ok,direct,arithmetic,vendor-cblas,10,1,459.47724533081055,459.4158821105957,459.63695907592773
case,7,1,sum+4096+uniform,ok,direct,arithmetic,vendor-cblas,10,1,747.89609527587891,747.82744979858398,748.06405639648438
case,8,1,compensated-sum+4096+uniform,unsupported,unsupported,arithmetic,unavailable,0,0,,,
case,9,1,iamax+64+uniform,ok,direct,arithmetic,vendor-cblas,10,1,85.956883500000004,85.897514999999999,86.076136000000005
case,10,1,iamax+128+uniform,ok,direct,arithmetic,vendor-cblas,10,1,90.359567499999997,90.082598000000004,90.502409999999998
case,11,1,iamax+256+uniform,ok,direct,arithmetic,vendor-cblas,10,1,119.3599255,119.311063,119.42563699999999
case,12,1,iamax+512+uniform,ok,direct,arithmetic,vendor-cblas,10,1,141.07417900000002,140.593479,142.62626599999999
case,13,1,iamax+1024+uniform,ok,direct,arithmetic,vendor-cblas,10,1,206.51819038391113,206.39559555053711,206.94535446166992
case,14,1,iamax+4096+uniform,ok,direct,arithmetic,vendor-cblas,10,1,590.12713241577148,589.42433547973633,590.46355819702148
case,15,1,iamax+65536+uniform,ok,direct,arithmetic,vendor-cblas,10,1,9453.3312377929688,9429.9952392578125,9483.0651245117188
case,16,1,swap+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,2583.3658294677734,2579.6548461914062,2587.2129058837891
case,17,1,rot+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,2751.5456314086914,2741.6809539794922,2754.4274139404297
case,18,1,rotm+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,4061.5979614257812,4056.3419799804688,4077.8293762207031
case,19,1,rotmg+1+uniform,ok,direct,arithmetic,vendor-cblas,10,1,36.782202499999997,36.757621999999998,36.799892
case,20,1,ssqd+4096+uniform,unsupported,unsupported,arithmetic,unavailable,0,0,,,
case,21,1,dot4+4096+uniform,ok,composed,arithmetic,vendor-cblas,10,1,3059.5903015136719,3048.3004760742188,3062.3948059082031
case,22,1,axpy4+4096+uniform,ok,composed,reset-and-arithmetic,vendor-cblas,10,1,3615.1240081787109,3613.4938659667969,3617.4531860351562
case,23,1,dot-axpy+4096+uniform,ok,composed,reset-and-arithmetic,vendor-cblas,10,1,2256.7653198242188,2245.3394165039062,2263.8154296875
case,24,1,gemv+32x21+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,149.57198449999999,149.492155,149.74206799999999
case,25,1,gemv+129x31+uniform+transA=T,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,608.32460594177246,608.04013824462891,608.75929260253906
case,26,1,symv+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,3045.1974105834961,3028.3285980224609,3049.5220031738281
case,27,1,ger+129x31+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,1113.5325622558594,1112.3880081176758,1115.3122100830078
case,28,1,syr+129+uniform+uplo=L,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,5008.9923248291016,4997.129150390625,5022.022216796875
case,29,1,syr2+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,7188.1379699707031,7155.8741455078125,7192.9093017578125
case,30,1,trsv+129+triangular+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,2241.8156127929688,2218.7858581542969,2249.2733459472656
case,31,1,trmv+129+triangular+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,2914.3200454711914,2905.7239379882812,2921.1280670166016
