run,id,implementation,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
run,1,jvm-c/c/c-sparse/packed-4x4,1,ns,b94e4414b480f01ec8efa500408af0c8ca8d832f,false,kotlin-2.4.10/jvm/Ubuntu/25.0.4/JMH 1.37/forks=2,1,5,200000000,jmh-average-time,200000000,2
run,2,jvm-c/c/c-sparse/packed-4x4,1,ns,b94e4414b480f01ec8efa500408af0c8ca8d832f,false,kotlin-2.4.10/jvm/Ubuntu/25.0.4,1,5,200000000,jmh-average-time,200000000,2
case,1,1,dot+4096+uniform,ok,direct,arithmetic,policy,20,2,2483.6357291587788,2463.589364844904,2502.4807112756193
case,2,1,axpy+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,2429.132353825533,2425.489807543145,2499.273171158121
case,3,1,axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,2443.2374706460214,2433.9313712374583,2464.867711899894
case,4,1,scal+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1853.6071436011055,1827.961473822659,1867.0962508978628
case,5,1,nrm2+4096+uniform,ok,direct,arithmetic,policy,20,2,749.4402641635587,746.775670492366,752.1196312678269
case,6,1,asum+4096+uniform,ok,direct,arithmetic,policy,20,2,1695.14302505167,1678.1657107399208,1713.4995121283189
case,7,1,sum+4096+uniform,ok,direct,arithmetic,policy,20,2,1647.2816889979492,1639.8297745075547,1666.4330658186118
case,8,1,compensated-sum+4096+uniform,ok,unsupported,arithmetic,policy,20,2,6316.101906083144,6306.417144477348,6325.19993046996
case,9,1,iamax+64+uniform,ok,direct,arithmetic,policy,20,2,35.42683076976498,35.173372345636395,35.8464958890168
case,10,1,iamax+128+uniform,ok,direct,arithmetic,policy,20,2,61.86509166096365,61.826213822286306,64.5265694735437
case,11,1,iamax+256+uniform,ok,direct,arithmetic,policy,20,2,114.5588118494149,113.56882155290909,114.75639120069566
case,12,1,iamax+512+uniform,ok,direct,arithmetic,policy,20,2,221.14306350305048,221.01858891247352,231.84032589624363
case,13,1,iamax+1024+uniform,ok,direct,arithmetic,policy,20,2,451.2772062754334,447.3780962961804,451.9941555596707
case,14,1,iamax+4096+uniform,ok,direct,arithmetic,policy,20,2,11019.062471487048,11008.490621046261,11084.64065355857
case,15,1,iamax+65536+uniform,ok,direct,arithmetic,policy,20,2,170586.77334286057,170323.99659863947,170864.60409556315
case,16,1,swap+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,3849.5802182343114,3815.7648797041215,3874.888499515973
case,17,1,rot+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,5097.382996639556,5078.990026899457,5124.590613478083
case,18,1,rotm+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,6399.871726499339,6378.21543510818,6708.522406569466
case,19,1,rotmg+1+uniform,ok,direct,arithmetic,policy,20,2,34.508272850819466,32.829056531536295,40.24403768559096
case,20,1,ssqd+4096+uniform,ok,unsupported,arithmetic,policy,20,2,1973.8002849062432,1883.8632585634007,2043.5582511384753
case,21,1,dot4+4096+uniform,ok,composed,arithmetic,policy,20,2,7552.6925325503735,7537.7914500941615,7611.2524910626
case,22,1,axpy4+4096+uniform,ok,composed,reset-and-arithmetic,policy,20,2,6503.429189331822,6456.280607800755,6544.196488130273
case,23,1,dot-axpy+4096+uniform,ok,composed,reset-and-arithmetic,policy,20,2,5551.440209686268,5518.586180274078,5581.488746967119
case,24,1,gemv+32x21+uniform,ok,direct,reset-and-arithmetic,policy,20,2,385.97634673082064,385.60992786182766,443.98340690787285
case,25,1,gemv+129x31+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,20,2,2358.3842884304613,2355.8136969853917,2471.6241725125974
case,26,1,symv+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,20,2,11830.273987251167,11755.335330396476,11883.2372639829
case,27,1,ger+129x31+uniform,ok,direct,reset-and-arithmetic,policy,20,2,3832.2530104022258,3698.337380120849,3965.3677067855374
case,28,1,syr+129+uniform+uplo=L,ok,direct,reset-and-arithmetic,policy,20,2,10619.169930514652,10577.315046773427,10654.992440374786
case,29,1,syr2+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,20,2,16290.891940001879,16244.433893352812,16700.449849799734
case,30,1,trsv+129+triangular+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,policy,20,2,6454.072142697876,6394.021884984026,6551.410992536336
case,31,1,trmv+129+triangular+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,policy,20,2,10510.031809136333,10464.170762313082,10570.40437331643
case,32,1,gemm+32x21x48+uniform,ok,direct,reset-and-arithmetic,policy,20,2,19777.161243674636,19603.700656283672,20002.613893053473
case,33,1,gemm+129x31x257+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,20,2,379824.48861480074,378516.02268431004,387941.0251937985
case,34,1,gemm+65x127x33+uniform+transB=T,ok,direct,reset-and-arithmetic,policy,20,2,122294.14308091783,121268.65112053302,124305.21614906832
case,35,1,symm+129x31+uniform+side=L+uplo=L,ok,direct,reset-and-arithmetic,policy,20,2,213259.32937651675,212224.2086864407,214543.62486602357
case,36,1,symm+31x129+uniform+side=R+uplo=U,ok,direct,reset-and-arithmetic,policy,20,2,207630.77815432742,203713.3031536114,223841.13631284915
case,37,1,gemmt+129x31+uniform+uplo=L+transA=N+transB=N,ok,direct,reset-and-arithmetic,policy,20,2,279847.05167597765,279400.6541143654,280451.34453781514
case,38,1,syrk+129x31+uniform+uplo=L+transA=N,ok,direct,reset-and-arithmetic,policy,20,2,137956.91396251332,136788.10724043715,139355.31663187194
case,39,1,syr2k+129x31+uniform+uplo=U+transA=T,ok,direct,reset-and-arithmetic,policy,20,2,298427.8784315032,295663.6720827179,302950.15582450834
case,40,1,trsm+64x16+triangular+side=L+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,policy,20,2,32905.18995714116,32782.720556920554,33136.456456953645
case,41,1,trsm+17x64+triangular+side=R+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,policy,20,2,37828.49393610558,37523.110423697035,38067.50114111829
case,42,1,trmm+64x16+triangular+side=L+uplo=U+transA=T+diag=N,ok,direct,reset-and-arithmetic,policy,20,2,39051.86287417388,38787.65503875969,39412.69639692853
case,43,1,trmm+17x64+triangular+side=R+uplo=L+transA=N+diag=U,ok,direct,reset-and-arithmetic,policy,20,2,48084.02232209558,48012.252338690334,48532.058666666664
case,44,1,gemm-tile+4x4x32+uniform+packed=4x4,ok,partial,raw-tile,c-tile,20,2,218.9604781308221,199.2195828211088,245.80674695184854
case,45,1,gemm-tile+3x2x31+uniform+packed=4x4,ok,partial,raw-tile,c-tile,20,2,226.84551174932926,204.19820457701252,254.53355216470092
case,46,1,packed-trsm+4x4+triangular+packed=4x4+uplo=L+diag=N,ok,partial,raw-tile,portable-solve,20,2,87.10636420664197,86.96657430633071,87.43632958310616
case,47,1,packed-trsm+3x2+triangular+packed=4x4+uplo=U+diag=U,ok,partial,raw-tile,portable-solve,20,2,24.2023699963475,23.98759748497631,24.230024852741423
case,48,1,gemm-trsm+4x4x32+triangular+packed=4x4+uplo=L+diag=N,ok,composed,raw-tile,c-tile,20,2,293.0185819776294,259.1587503819601,301.26620611807203
case,49,1,gemm-trsm+3x2x31+triangular+packed=4x4+uplo=U+diag=U,ok,composed,raw-tile,c-tile,20,2,282.035359696402,247.4124086779158,292.67570279068815
case,50,2,gemm-tile+8x4x32+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
case,51,2,gemm-tile+7x2x31+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
case,52,2,packed-trsm+8x4+triangular+packed=8x4+uplo=L+diag=N,unsupported,unsupported,arithmetic,unavailable,0,0,,,
case,53,2,packed-trsm+7x2+triangular+packed=8x4+uplo=U+diag=U,unsupported,unsupported,arithmetic,unavailable,0,0,,,
case,54,2,gemm-trsm+8x4x32+triangular+packed=8x4+uplo=L+diag=N,unsupported,unsupported,arithmetic,unavailable,0,0,,,
