run,id,implementation,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
run,1,jvm-simd/simd(2 lanes)/simd-sparse/packed-4x4,1,ns,b94e4414b480f01ec8efa500408af0c8ca8d832f,false,kotlin-2.4.10/jvm/Ubuntu/25.0.4/JMH 1.37/forks=2,1,5,200000000,jmh-average-time,200000000,2
run,2,jvm-simd/simd(2 lanes)/simd-sparse/packed-4x4,1,ns,b94e4414b480f01ec8efa500408af0c8ca8d832f,false,kotlin-2.4.10/jvm/Ubuntu/25.0.4,1,5,200000000,jmh-average-time,200000000,2
case,1,1,dot+4096+uniform,ok,direct,arithmetic,policy,20,2,7152837.821428571,6974687.931034483,9223972.227272727
case,2,1,axpy+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,2733.6705700388356,2709.8956804333106,2769.861049632048
case,3,1,axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,2724.0257731839474,2615.591277983246,2840.0398773876764
case,4,1,scal+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,2092.693660249939,2081.88497747818,2097.397761686699
case,5,1,nrm2+4096+uniform,ok,direct,arithmetic,policy,20,2,6895996.066666666,6764467.866666666,8907797.173913043
case,6,1,asum+4096+uniform,ok,direct,arithmetic,policy,20,2,912.9448919662434,881.0239487215609,975.7039230885485
case,7,1,sum+4096+uniform,ok,direct,arithmetic,policy,20,2,689.8118109346801,687.7154968298424,691.364430550278
case,8,1,compensated-sum+4096+uniform,ok,unsupported,arithmetic,policy,20,2,6309.99659161057,6304.526743526743,6317.1423072068665
case,9,1,iamax+64+uniform,ok,direct,arithmetic,policy,20,2,35.18322985051643,35.091835848996055,35.29757351343572
case,10,1,iamax+128+uniform,ok,direct,arithmetic,policy,20,2,61.53591526523788,61.40886224340934,62.1385401549602
case,11,1,iamax+256+uniform,ok,direct,arithmetic,policy,20,2,8336.224047253349,8241.936290256157,11370.236112688855
case,12,1,iamax+512+uniform,ok,direct,arithmetic,policy,20,2,21684.274642758923,21410.918600919886,28739.563612866168
case,13,1,iamax+1024+uniform,ok,direct,arithmetic,policy,20,2,32029.06555364917,31599.01988950276,43933.70741878841
case,14,1,iamax+4096+uniform,ok,direct,arithmetic,policy,20,2,94588.49031190926,93849.93295827473,117893.85041224971
case,15,1,iamax+65536+uniform,ok,direct,arithmetic,policy,20,2,1354127.8974696174,1305627.6103896103,1751527.2869565217
case,16,1,swap+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,5139.907561131979,5135.9692623476585,5143.108369953486
case,17,1,rot+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1.4436003035714287E7,1.4071064933333334E7,1.7595966666666668E7
case,18,1,rotm+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1.078855397368421E7,1.038788095E7,1.34183423125E7
case,19,1,rotmg+1+uniform,ok,direct,arithmetic,policy,20,2,34.23565788935801,32.81142262295082,38.45880497254075
case,20,1,ssqd+4096+uniform,ok,unsupported,arithmetic,policy,20,2,6867316.416666666,6765861.266666667,9135335.318181818
case,21,1,dot4+4096+uniform,ok,composed,arithmetic,policy,20,2,2.83700131875E7,2.7504929875E7,3.5904084833333336E7
case,22,1,axpy4+4096+uniform,ok,composed,reset-and-arithmetic,policy,20,2,2.20633316E7,2.16275485E7,2.912320014285714E7
case,23,1,dot-axpy+4096+uniform,ok,composed,reset-and-arithmetic,policy,20,2,96560.95377438291,94941.08013276434,131348.27952755906
case,24,1,gemv+32x21+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1129810.3665492288,1115586.1555555556,1314020.3725490195
case,25,1,gemv+129x31+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,20,2,6616978.338709677,6509412.387096774,8216839.346153846
case,26,1,symv+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,20,2,195236.71155959816,189488.2270577105,262067.03141361257
case,27,1,ger+129x31+uniform,ok,direct,reset-and-arithmetic,policy,20,2,2693.0663970141554,2689.486122679277,2712.006207812627
case,28,1,syr+129+uniform+uplo=L,ok,direct,reset-and-arithmetic,policy,20,2,10572.185436542919,10549.900316288877,10639.595206462242
case,29,1,syr2+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,20,2,13226.187865731017,13155.829213778596,13504.90512180309
case,30,1,trsv+129+triangular+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,policy,20,2,4405.807840551357,4355.5745315254535,4428.41574102757
case,31,1,trmv+129+triangular+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,policy,20,2,1.41160092E7,1.3748706666666666E7,1.8212124727272727E7
case,32,1,gemm+32x21x48+uniform,ok,direct,reset-and-arithmetic,policy,20,2,5.941008025E7,5.727765025E7,6.819187733333333E7
case,33,1,gemm+129x31x257+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,20,2,1.8402212655E9,1.827877868E9,1.854205249E9
case,34,1,gemm+65x127x33+uniform+transB=T,ok,direct,reset-and-arithmetic,policy,20,2,4.858929465E8,4.79703817E8,4.9371303E8
case,35,1,symm+129x31+uniform+side=L+uplo=L,ok,direct,reset-and-arithmetic,policy,20,2,9.333467025E8,9.11547787E8,9.54039019E8
case,36,1,symm+31x129+uniform+side=R+uplo=U,ok,direct,reset-and-arithmetic,policy,20,2,9.30393259E8,9.07118411E8,9.52359868E8
case,37,1,gemmt+129x31+uniform+uplo=L+transA=N+transB=N,ok,direct,reset-and-arithmetic,policy,20,2,246555.78879153638,244905.02078239608,248139.0780669145
case,38,1,syrk+129x31+uniform+uplo=L+transA=N,ok,direct,reset-and-arithmetic,policy,20,2,4.72286343E8,4.63150078E8,4.83427146E8
case,39,1,syr2k+129x31+uniform+uplo=U+transA=T,ok,direct,reset-and-arithmetic,policy,20,2,9.410947815E8,9.29062948E8,9.51392466E8
case,40,1,trsm+64x16+triangular+side=L+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,policy,20,2,19938.42382168689,19769.34488888889,20949.87019784361
case,41,1,trsm+17x64+triangular+side=R+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,policy,20,2,22703.012023593466,22588.55553047404,24998.15276042968
case,42,1,trmm+64x16+triangular+side=L+uplo=U+transA=T+diag=N,ok,direct,reset-and-arithmetic,policy,20,2,5.5682527625E7,5.455751675E7,6.978158533333333E7
case,43,1,trmm+17x64+triangular+side=R+uplo=L+transA=N+diag=U,ok,direct,reset-and-arithmetic,policy,20,2,5.94891065E7,5.86077855E7,7.1812574E7
case,44,1,gemm-tile+4x4x32+uniform+packed=4x4,ok,partial,raw-tile,vector-tile,20,2,877089.2248908296,870229.7565217392,1089630.6956521738
case,45,1,gemm-tile+3x2x31+uniform+packed=4x4,ok,partial,raw-tile,vector-tile,20,2,422092.93618641957,402435.3333333333,531941.5437665782
case,46,1,packed-trsm+4x4+triangular+packed=4x4+uplo=L+diag=N,ok,partial,raw-tile,portable-solve,20,2,91.72211790304496,91.15204185639374,93.64944990620822
case,47,1,packed-trsm+3x2+triangular+packed=4x4+uplo=U+diag=U,ok,partial,raw-tile,portable-solve,20,2,23.839824905755755,23.547304802052356,23.94712273727562
case,48,1,gemm-trsm+4x4x32+triangular+packed=4x4+uplo=L+diag=N,ok,composed,raw-tile,vector-update-portable-solve,20,2,880922.597273746,860523.4420600858,1062697.3227513228
case,49,1,gemm-trsm+3x2x31+triangular+packed=4x4+uplo=U+diag=U,ok,composed,raw-tile,vector-update-portable-solve,20,2,349690.0422839356,335483.1959798995,419935.25157232705
case,50,2,gemm-tile+8x4x32+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
case,51,2,gemm-tile+7x2x31+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
case,52,2,packed-trsm+8x4+triangular+packed=8x4+uplo=L+diag=N,unsupported,unsupported,arithmetic,unavailable,0,0,,,
case,53,2,packed-trsm+7x2+triangular+packed=8x4+uplo=U+diag=U,unsupported,unsupported,arithmetic,unavailable,0,0,,,
case,54,2,gemm-trsm+8x4x32+triangular+packed=8x4+uplo=L+diag=N,unsupported,unsupported,arithmetic,unavailable,0,0,,,
case,55,2,gemm-trsm+7x2x31+triangular+packed=8x4+uplo=U+diag=U,unsupported,unsupported,arithmetic,unavailable,0,0,,,
case,56,1,pack-left+4x32+uniform+packed=4x4,ok,unsupported,packing-only,portable-layout,20,2,311.2613626173511,308.1386739736149,315.33256648714064
case,57,1,pack-left+3x31+uniform+packed=4x4,ok,unsupported,packing-only,portable-layout,20,2,381.98689429395256,379.47196181938153,384.09394055134055
case,58,1,pack-right+32x4+uniform+packed=4x4,ok,unsupported,packing-only,portable-layout,20,2,362.5408712842826,360.4272299623957,365.1353354788802
case,59,1,pack-right+31x2+uniform+packed=4x4,ok,unsupported,packing-only,portable-layout,20,2,345.8501239577698,341.9639875612965,348.506099334254
case,60,1,pack-symmetric-left+4x4+uniform+packed=4x4+uplo=L,ok,unsupported,packing-only,portable-layout,20,2,74.7591584036859,74.3342032208868,75.26006452032608
case,61,1,pack-symmetric-right+4x4+uniform+packed=4x4+uplo=U,ok,unsupported,packing-only,portable-layout,20,2,79.98720719181733,79.54071758331902,80.64163857045169
case,62,1,pack-triangular-left+4x4+triangular+packed=4x4+uplo=L+diag=N,ok,unsupported,packing-only,portable-layout,20,2,71.80752007796457,71.7164395255625,72.81510979165871
case,63,1,pack-triangular-right+4x4+triangular+packed=4x4+uplo=U+diag=U,ok,unsupported,packing-only,portable-layout,20,2,72.9947728813967,72.86071068392405,74.24964841177064
case,64,1,write-left+3x31+uniform+packed=4x4,ok,unsupported,layout-only,portable-layout,20,2,173.63175992468015,165.59392509291405,181.42269500074335
case,65,1,write-left+4x32+uniform+packed=4x4,ok,unsupported,layout-only,portable-layout,20,2,175.6342683173338,170.4207633941382,180.7113240001264
case,66,1,write-right+31x2+uniform+packed=4x4,ok,unsupported,layout-only,portable-layout,20,2,187.77946612432874,170.4910099351993,205.1685254687841
case,67,1,write-right+32x4+uniform+packed=4x4,ok,unsupported,layout-only,portable-layout,20,2,265.60452185898174,255.1402958777528,276.88372205628656
case,68,1,clear-left-padding+3x31+uniform+packed=4x4,ok,unsupported,layout-only,portable-layout,20,2,142.09932914638392,141.10926505633347,142.87477733790735
case,69,1,clear-left-padding+4x32+uniform+packed=4x4,ok,unsupported,layout-only,portable-layout,20,2,18.50623044052874,18.456837224916832,18.5467067648492
case,70,1,clear-right-padding+31x2+uniform+packed=4x4,ok,unsupported,layout-only,portable-layout,20,2,152.08517359562882,151.66453969504985,157.9487209841
