run,id,implementation,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
run,1,native/c/c-sparse/packed-4x4,1,ns,b94e4414b480f01ec8efa500408af0c8ca8d832f,false,kotlin-native-2.4.10,1,5,200000000,native-calibrated,50000000,1
case,1,1,dot+4096+uniform,ok,direct,arithmetic,policy,10,1,1350.5438005208052,1349.796153637498,1351.304555688168
case,2,1,axpy+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,2361.307180851064,2359.947234042553,2363.600744680851
case,3,1,axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,2403.8286856661857,2402.623556998557,2405.936856661857
case,4,1,scal+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,1960.9172171151922,1959.452213881103,1965.862365001274
case,5,1,nrm2+4096+uniform,ok,direct,arithmetic,policy,10,1,1070.302750772719,1069.312087571256,1071.1117902482326
case,6,1,asum+4096+uniform,ok,direct,arithmetic,policy,10,1,706.3350307483032,706.0185375426863,707.3931035948592
case,7,1,sum+4096+uniform,ok,direct,arithmetic,policy,10,1,603.8290734253767,603.3029752887641,604.4610581516126
case,8,1,compensated-sum+4096+uniform,ok,unsupported,arithmetic,policy,10,1,7903.154957126487,7898.789228276762,7911.447544157743
case,9,1,iamax+64+uniform,ok,direct,arithmetic,policy,10,1,97.4767305,97.314456,97.569751
case,10,1,iamax+128+uniform,ok,direct,arithmetic,policy,10,1,164.7258995,164.555605,164.928317
case,11,1,iamax+256+uniform,ok,direct,arithmetic,policy,10,1,203.6388690798649,203.47443717716817,203.9720544831477
case,12,1,iamax+512+uniform,ok,direct,arithmetic,policy,10,1,464.56229346897857,463.66770783054244,465.4972037092043
case,13,1,iamax+1024+uniform,ok,direct,arithmetic,policy,10,1,622.9513517641667,622.3533913336222,624.1150051589293
case,14,1,iamax+4096+uniform,ok,direct,arithmetic,policy,10,1,1683.8316243565007,1682.4629656154423,1685.2260651966938
case,15,1,iamax+65536+uniform,ok,direct,arithmetic,policy,10,1,21506.773763440862,21499.65870967742,21530.38935483871
case,16,1,swap+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,4584.520595175369,4581.474445029896,4589.528601864791
case,17,1,rot+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,4591.853152824904,4585.68189374445,4599.099719900712
