run,id,implementation,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
run,1,openblas,1,ns,b94e4414b480f01ec8efa500408af0c8ca8d832f,false,OpenBLAS 0.3.32 NO_LAPACKE DYNAMIC_ARCH NO_AFFINITY Sandybridge MAX_THREADS=128; compiler=15.2.0,1,5,200000000,vendor-calibrated,50000000,1
case,1,1,dot+4096+uniform,ok,direct,arithmetic,vendor-cblas,10,1,898.24281692504883,897.25870513916016,898.89031982421875
case,2,1,axpy+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,1954.7882537841797,1952.4926605224609,1957.51220703125
case,3,1,axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,1965.2791519165039,1962.9134674072266,1971.1351776123047
case,4,1,scal+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,1872.3233871459961,1871.3476104736328,1873.8603668212891
case,5,1,nrm2+4096+uniform,ok,direct,arithmetic,vendor-cblas,10,1,1382.1601066589355,1381.672981262207,1382.9193496704102
case,6,1,asum+4096+uniform,ok,direct,arithmetic,vendor-cblas,10,1,707.22787666320801,706.97796249389648,707.76818084716797
case,7,1,sum+4096+uniform,ok,direct,arithmetic,vendor-cblas,10,1,1628.5850067138672,1628.1800537109375,1629.4099884033203
case,8,1,compensated-sum+4096+uniform,unsupported,unsupported,arithmetic,unavailable,0,0,,,
case,9,1,iamax+64+uniform,ok,direct,arithmetic,vendor-cblas,10,1,52.897409499999995,52.772074000000003,53.128548000000002
case,10,1,iamax+128+uniform,ok,direct,arithmetic,vendor-cblas,10,1,87.136392999999998,87.057829999999996,87.162379999999999
case,11,1,iamax+256+uniform,ok,direct,arithmetic,vendor-cblas,10,1,109.22674050000001,109.158496,109.274507
case,12,1,iamax+512+uniform,ok,direct,arithmetic,vendor-cblas,10,1,224.71529006958008,224.62797546386719,224.83641242980957
case,13,1,iamax+1024+uniform,ok,direct,arithmetic,vendor-cblas,10,1,311.46494007110596,311.25207138061523,311.54398345947266
case,14,1,iamax+4096+uniform,ok,direct,arithmetic,vendor-cblas,10,1,856.52634429931641,856.14458465576172,857.16603851318359
case,15,1,iamax+65536+uniform,ok,direct,arithmetic,vendor-cblas,10,1,11431.152526855469,11416.141662597656,11450.503967285156
case,16,1,swap+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,3957.8084869384766,3954.1526489257812,3960.0402221679688
case,17,1,rot+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,4105.9649810791016,4104.8952941894531,4109.9358520507812
case,18,1,rotm+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,6993.5278625488281,6979.9224243164062,7019.3731689453125
case,19,1,rotmg+1+uniform,ok,direct,arithmetic,vendor-cblas,10,1,102.3402275,101.27012999999999,102.727496
case,20,1,ssqd+4096+uniform,unsupported,unsupported,arithmetic,unavailable,0,0,,,
case,21,1,dot4+4096+uniform,ok,composed,arithmetic,vendor-cblas,10,1,3516.5265197753906,3514.3397827148438,3521.35693359375
case,22,1,axpy4+4096+uniform,ok,composed,reset-and-arithmetic,vendor-cblas,10,1,5494.8457336425781,5492.6033630371094,5499.1461181640625
case,23,1,dot-axpy+4096+uniform,ok,composed,reset-and-arithmetic,vendor-cblas,10,1,3100.680419921875,3099.0395202636719,3106.4349365234375
case,24,1,gemv+32x21+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,313.35643291473389,313.18047332763672,313.50648880004883
case,25,1,gemv+129x31+uniform+transA=T,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,2351.742317199707,2256.9966888427734,2353.9582977294922
case,26,1,symv+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,3085.0573120117188,3083.7966613769531,3087.0422668457031
case,27,1,ger+129x31+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,2466.5519638061523,2465.82275390625,2467.2637481689453
