schema,case,implementation,workload_version,fixture_version,pass,sample,operations,elapsed_ns,ns_per_op,unit,status,comparison_kind,timing_mode,source_commit,dirty,runtime,threads,warmups,target_ns,logical_id,configuration,physical_work,actual_kernel,harness,warmup_target_ns,fork,forks,elapsed_kind
4,dot+4096+uniform,jvm-c/c/c-sparse/packed-4x4,5,2,1,1,286809,200186547,697.9786094578621,ns,ok,direct,arithmetic,a038f25ac66821574b30392dc1d3b189cc287e2c,true,kotlin-2.4.10/jvm/Eclipse Adoptium/25.0.1/JMH 1.37/forks=1,1,3,200000000,dot-v1+4096+uniform,policy-v1,policy,jvm-c/policy-v1,jmh-average-time-v1,200000000,1,1,score-times-operations
4,dot+4096+uniform,jvm-c/c/c-sparse/packed-4x4,5,2,1,2,263178,200155878,760.534231584707,ns,ok,direct,arithmetic,a038f25ac66821574b30392dc1d3b189cc287e2c,true,kotlin-2.4.10/jvm/Eclipse Adoptium/25.0.1/JMH 1.37/forks=1,1,3,200000000,dot-v1+4096+uniform,policy-v1,policy,jvm-c/policy-v1,jmh-average-time-v1,200000000,1,1,score-times-operations
4,dot+4096+uniform,jvm-c/c/c-sparse/packed-4x4,5,2,1,3,289078,200138743,692.3347435640208,ns,ok,direct,arithmetic,a038f25ac66821574b30392dc1d3b189cc287e2c,true,kotlin-2.4.10/jvm/Eclipse Adoptium/25.0.1/JMH 1.37/forks=1,1,3,200000000,dot-v1+4096+uniform,policy-v1,policy,jvm-c/policy-v1,jmh-average-time-v1,200000000,1,1,score-times-operations
4,dot+4096+uniform,jvm-c/c/c-sparse/packed-4x4,5,2,1,4,312804,200279419,640.271284894055,ns,ok,direct,arithmetic,a038f25ac66821574b30392dc1d3b189cc287e2c,true,kotlin-2.4.10/jvm/Eclipse Adoptium/25.0.1/JMH 1.37/forks=1,1,3,200000000,dot-v1+4096+uniform,policy-v1,policy,jvm-c/policy-v1,jmh-average-time-v1,200000000,1,1,score-times-operations
4,dot+4096+uniform,jvm-c/c/c-sparse/packed-4x4,5,2,1,5,304629,200138480,656.9908971240427,ns,ok,direct,arithmetic,a038f25ac66821574b30392dc1d3b189cc287e2c,true,kotlin-2.4.10/jvm/Eclipse Adoptium/25.0.1/JMH 1.37/forks=1,1,3,200000000,dot-v1+4096+uniform,policy-v1,policy,jvm-c/policy-v1,jmh-average-time-v1,200000000,1,1,score-times-operations
4,axpy+4096+uniform,jvm-c/c/c-sparse/packed-4x4,5,2,1,1,145971,200244944,1371.8131957717628,ns,ok,direct,reset-and-arithmetic,a038f25ac66821574b30392dc1d3b189cc287e2c,true,kotlin-2.4.10/jvm/Eclipse Adoptium/25.0.1/JMH 1.37/forks=1,1,3,200000000,axpy-v1+4096+uniform,policy-v1,policy,jvm-c/policy-v1,jmh-average-time-v1,200000000,1,1,score-times-operations
4,axpy+4096+uniform,jvm-c/c/c-sparse/packed-4x4,5,2,1,2,152064,200144637,1316.1868489583333,ns,ok,direct,reset-and-arithmetic,a038f25ac66821574b30392dc1d3b189cc287e2c,true,kotlin-2.4.10/jvm/Eclipse Adoptium/25.0.1/JMH 1.37/forks=1,1,3,200000000,axpy-v1+4096+uniform,policy-v1,policy,jvm-c/policy-v1,jmh-average-time-v1,200000000,1,1,score-times-operations
4,axpy+4096+uniform,jvm-c/c/c-sparse/packed-4x4,5,2,1,3,145271,200126862,1377.6105485609653,ns,ok,direct,reset-and-arithmetic,a038f25ac66821574b30392dc1d3b189cc287e2c,true,kotlin-2.4.10/jvm/Eclipse Adoptium/25.0.1/JMH 1.37/forks=1,1,3,200000000,axpy-v1+4096+uniform,policy-v1,policy,jvm-c/policy-v1,jmh-average-time-v1,200000000,1,1,score-times-operations
4,axpy+4096+uniform,jvm-c/c/c-sparse/packed-4x4,5,2,1,4,147308,200179236,1358.91625709398,ns,ok,direct,reset-and-arithmetic,a038f25ac66821574b30392dc1d3b189cc287e2c,true,kotlin-2.4.10/jvm/Eclipse Adoptium/25.0.1/JMH 1.37/forks=1,1,3,200000000,axpy-v1+4096+uniform,policy-v1,policy,jvm-c/policy-v1,jmh-average-time-v1,200000000,1,1,score-times-operations
4,axpy+4096+uniform,jvm-c/c/c-sparse/packed-4x4,5,2,1,5,145846,200148570,1372.3281406414985,ns,ok,direct,reset-and-arithmetic,a038f25ac66821574b30392dc1d3b189cc287e2c,true,kotlin-2.4.10/jvm/Eclipse Adoptium/25.0.1/JMH 1.37/forks=1,1,3,200000000,axpy-v1+4096+uniform,policy-v1,policy,jvm-c/policy-v1,jmh-average-time-v1,200000000,1,1,score-times-operations
4,axpy-arithmetic+4096+uniform,jvm-c/c/c-sparse/packed-4x4,5,2,1,1,149781,200194114,1336.5788317610377,ns,ok,direct,reset-and-arithmetic,a038f25ac66821574b30392dc1d3b189cc287e2c,true,kotlin-2.4.10/jvm/Eclipse Adoptium/25.0.1/JMH 1.37/forks=1,1,3,200000000,axpy-arithmetic-v1+4096+uniform,policy-v1,policy,jvm-c/policy-v1,jmh-average-time-v1,200000000,1,1,score-times-operations
4,axpy-arithmetic+4096+uniform,jvm-c/c/c-sparse/packed-4x4,5,2,1,2,150306,200236747,1332.1939709658961,ns,ok,direct,reset-and-arithmetic,a038f25ac66821574b30392dc1d3b189cc287e2c,true,kotlin-2.4.10/jvm/Eclipse Adoptium/25.0.1/JMH 1.37/forks=1,1,3,200000000,axpy-arithmetic-v1+4096+uniform,policy-v1,policy,jvm-c/policy-v1,jmh-average-time-v1,200000000,1,1,score-times-operations
4,axpy-arithmetic+4096+uniform,jvm-c/c/c-sparse/packed-4x4,5,2,1,3,150091,200193931,1333.817024338568,ns,ok,direct,reset-and-arithmetic,a038f25ac66821574b30392dc1d3b189cc287e2c,true,kotlin-2.4.10/jvm/Eclipse Adoptium/25.0.1/JMH 1.37/forks=1,1,3,200000000,axpy-arithmetic-v1+4096+uniform,policy-v1,policy,jvm-c/policy-v1,jmh-average-time-v1,200000000,1,1,score-times-operations
4,axpy-arithmetic+4096+uniform,jvm-c/c/c-sparse/packed-4x4,5,2,1,4,150601,200206900,1329.3862590553847,ns,ok,direct,reset-and-arithmetic,a038f25ac66821574b30392dc1d3b189cc287e2c,true,kotlin-2.4.10/jvm/Eclipse Adoptium/25.0.1/JMH 1.37/forks=1,1,3,200000000,axpy-arithmetic-v1+4096+uniform,policy-v1,policy,jvm-c/policy-v1,jmh-average-time-v1,200000000,1,1,score-times-operations
4,axpy-arithmetic+4096+uniform,jvm-c/c/c-sparse/packed-4x4,5,2,1,5,141027,200300255,1420.2972125904969,ns,ok,direct,reset-and-arithmetic,a038f25ac66821574b30392dc1d3b189cc287e2c,true,kotlin-2.4.10/jvm/Eclipse Adoptium/25.0.1/JMH 1.37/forks=1,1,3,200000000,axpy-arithmetic-v1+4096+uniform,policy-v1,policy,jvm-c/policy-v1,jmh-average-time-v1,200000000,1,1,score-times-operations
4,scal+4096+uniform,jvm-c/c/c-sparse/packed-4x4,5,2,1,1,209819,200173335,954.0286389697787,ns,ok,direct,reset-and-arithmetic,a038f25ac66821574b30392dc1d3b189cc287e2c,true,kotlin-2.4.10/jvm/Eclipse Adoptium/25.0.1/JMH 1.37/forks=1,1,3,200000000,scal-v1+4096+uniform,policy-v1,policy,jvm-c/policy-v1,jmh-average-time-v1,200000000,1,1,score-times-operations
4,scal+4096+uniform,jvm-c/c/c-sparse/packed-4x4,5,2,1,2,210530,200251264,951.1768584049779,ns,ok,direct,reset-and-arithmetic,a038f25ac66821574b30392dc1d3b189cc287e2c,true,kotlin-2.4.10/jvm/Eclipse Adoptium/25.0.1/JMH 1.37/forks=1,1,3,200000000,scal-v1+4096+uniform,policy-v1,policy,jvm-c/policy-v1,jmh-average-time-v1,200000000,1,1,score-times-operations
