schema,case,implementation,workload_version,fixture_version,pass,sample,operations,elapsed_ns,ns_per_op,unit,status,comparison_kind,timing_mode,source_commit,dirty,runtime,threads,warmups,target_ns,logical_id,configuration,physical_work,actual_kernel,harness,warmup_target_ns,fork,forks,elapsed_kind
4,dot+4096+uniform,jvm-simd/simd(4 lanes)/simd-sparse/packed-8x4,5,2,1,1,233097,200205598,858.8939282787852,ns,ok,direct,arithmetic,a038f25ac66821574b30392dc1d3b189cc287e2c,true,kotlin-2.4.10/jvm/Eclipse Adoptium/25.0.1/JMH 1.37/forks=1,1,3,200000000,dot-v1+4096+uniform,policy-v1,policy,jvm-simd/policy-v1,jmh-average-time-v1,200000000,1,1,score-times-operations
4,dot+4096+uniform,jvm-simd/simd(4 lanes)/simd-sparse/packed-8x4,5,2,1,2,242952,200198498,824.0249020382627,ns,ok,direct,arithmetic,a038f25ac66821574b30392dc1d3b189cc287e2c,true,kotlin-2.4.10/jvm/Eclipse Adoptium/25.0.1/JMH 1.37/forks=1,1,3,200000000,dot-v1+4096+uniform,policy-v1,policy,jvm-simd/policy-v1,jmh-average-time-v1,200000000,1,1,score-times-operations
4,dot+4096+uniform,jvm-simd/simd(4 lanes)/simd-sparse/packed-8x4,5,2,1,3,247365,200216035,809.3951650395165,ns,ok,direct,arithmetic,a038f25ac66821574b30392dc1d3b189cc287e2c,true,kotlin-2.4.10/jvm/Eclipse Adoptium/25.0.1/JMH 1.37/forks=1,1,3,200000000,dot-v1+4096+uniform,policy-v1,policy,jvm-simd/policy-v1,jmh-average-time-v1,200000000,1,1,score-times-operations
4,dot+4096+uniform,jvm-simd/simd(4 lanes)/simd-sparse/packed-8x4,5,2,1,4,231328,200138592,865.1723613224513,ns,ok,direct,arithmetic,a038f25ac66821574b30392dc1d3b189cc287e2c,true,kotlin-2.4.10/jvm/Eclipse Adoptium/25.0.1/JMH 1.37/forks=1,1,3,200000000,dot-v1+4096+uniform,policy-v1,policy,jvm-simd/policy-v1,jmh-average-time-v1,200000000,1,1,score-times-operations
4,dot+4096+uniform,jvm-simd/simd(4 lanes)/simd-sparse/packed-8x4,5,2,1,5,238738,200223078,838.672846383902,ns,ok,direct,arithmetic,a038f25ac66821574b30392dc1d3b189cc287e2c,true,kotlin-2.4.10/jvm/Eclipse Adoptium/25.0.1/JMH 1.37/forks=1,1,3,200000000,dot-v1+4096+uniform,policy-v1,policy,jvm-simd/policy-v1,jmh-average-time-v1,200000000,1,1,score-times-operations
4,axpy+4096+uniform,jvm-simd/simd(4 lanes)/simd-sparse/packed-8x4,5,2,1,1,133563,200219381,1499.0632211016525,ns,ok,direct,reset-and-arithmetic,a038f25ac66821574b30392dc1d3b189cc287e2c,true,kotlin-2.4.10/jvm/Eclipse Adoptium/25.0.1/JMH 1.37/forks=1,1,3,200000000,axpy-v1+4096+uniform,policy-v1,policy,jvm-simd/policy-v1,jmh-average-time-v1,200000000,1,1,score-times-operations
4,axpy+4096+uniform,jvm-simd/simd(4 lanes)/simd-sparse/packed-8x4,5,2,1,2,133563,200156935,1498.5956814387218,ns,ok,direct,reset-and-arithmetic,a038f25ac66821574b30392dc1d3b189cc287e2c,true,kotlin-2.4.10/jvm/Eclipse Adoptium/25.0.1/JMH 1.37/forks=1,1,3,200000000,axpy-v1+4096+uniform,policy-v1,policy,jvm-simd/policy-v1,jmh-average-time-v1,200000000,1,1,score-times-operations
4,axpy+4096+uniform,jvm-simd/simd(4 lanes)/simd-sparse/packed-8x4,5,2,1,3,135910,200273009,1473.570811566478,ns,ok,direct,reset-and-arithmetic,a038f25ac66821574b30392dc1d3b189cc287e2c,true,kotlin-2.4.10/jvm/Eclipse Adoptium/25.0.1/JMH 1.37/forks=1,1,3,200000000,axpy-v1+4096+uniform,policy-v1,policy,jvm-simd/policy-v1,jmh-average-time-v1,200000000,1,1,score-times-operations
4,axpy+4096+uniform,jvm-simd/simd(4 lanes)/simd-sparse/packed-8x4,5,2,1,4,136964,200172000,1461.4935311468707,ns,ok,direct,reset-and-arithmetic,a038f25ac66821574b30392dc1d3b189cc287e2c,true,kotlin-2.4.10/jvm/Eclipse Adoptium/25.0.1/JMH 1.37/forks=1,1,3,200000000,axpy-v1+4096+uniform,policy-v1,policy,jvm-simd/policy-v1,jmh-average-time-v1,200000000,1,1,score-times-operations
4,axpy+4096+uniform,jvm-simd/simd(4 lanes)/simd-sparse/packed-8x4,5,2,1,5,130573,200227977,1533.4562045752184,ns,ok,direct,reset-and-arithmetic,a038f25ac66821574b30392dc1d3b189cc287e2c,true,kotlin-2.4.10/jvm/Eclipse Adoptium/25.0.1/JMH 1.37/forks=1,1,3,200000000,axpy-v1+4096+uniform,policy-v1,policy,jvm-simd/policy-v1,jmh-average-time-v1,200000000,1,1,score-times-operations
