schema,case,implementation,workload_version,fixture_version,pass,sample,operations,elapsed_ns,ns_per_op,unit,status,comparison_kind,timing_mode,source_commit,dirty,runtime,threads,warmups,target_ns,logical_id,configuration,physical_work,actual_kernel,harness,warmup_target_ns,fork,forks,elapsed_kind
4,dot+4096+uniform,native/c/c-sparse/packed-4x4,5,2,1,1,434122,199753289,460.1316887879444,ns,ok,direct,arithmetic,a038f25ac66821574b30392dc1d3b189cc287e2c,true,kotlin-native-2.4.10,1,3,200000000,dot-v1+4096+uniform,policy-v1,policy,native/policy-v1,native-calibrated-v1,50000000,1,1,monotonic-batch
4,dot+4096+uniform,native/c/c-sparse/packed-4x4,5,2,1,2,434122,200392678,461.6045213096779,ns,ok,direct,arithmetic,a038f25ac66821574b30392dc1d3b189cc287e2c,true,kotlin-native-2.4.10,1,3,200000000,dot-v1+4096+uniform,policy-v1,policy,native/policy-v1,native-calibrated-v1,50000000,1,1,monotonic-batch
4,dot+4096+uniform,native/c/c-sparse/packed-4x4,5,2,1,3,434122,200703125,462.31963595486985,ns,ok,direct,arithmetic,a038f25ac66821574b30392dc1d3b189cc287e2c,true,kotlin-native-2.4.10,1,3,200000000,dot-v1+4096+uniform,policy-v1,policy,native/policy-v1,native-calibrated-v1,50000000,1,1,monotonic-batch
4,dot+4096+uniform,native/c/c-sparse/packed-4x4,5,2,1,4,434122,200247829,461.27086164718673,ns,ok,direct,arithmetic,a038f25ac66821574b30392dc1d3b189cc287e2c,true,kotlin-native-2.4.10,1,3,200000000,dot-v1+4096+uniform,policy-v1,policy,native/policy-v1,native-calibrated-v1,50000000,1,1,monotonic-batch
4,dot+4096+uniform,native/c/c-sparse/packed-4x4,5,2,1,5,434122,199841196,460.33418255697705,ns,ok,direct,arithmetic,a038f25ac66821574b30392dc1d3b189cc287e2c,true,kotlin-native-2.4.10,1,3,200000000,dot-v1+4096+uniform,policy-v1,policy,native/policy-v1,native-calibrated-v1,50000000,1,1,monotonic-batch
4,axpy+4096+uniform,native/c/c-sparse/packed-4x4,5,2,1,1,163168,211732923,1297.6375453520297,ns,ok,direct,reset-and-arithmetic,a038f25ac66821574b30392dc1d3b189cc287e2c,true,kotlin-native-2.4.10,1,3,200000000,axpy-v1+4096+uniform,policy-v1,policy,native/policy-v1,native-calibrated-v1,50000000,1,1,monotonic-batch
4,axpy+4096+uniform,native/c/c-sparse/packed-4x4,5,2,1,2,163168,205332868,1258.4138311433614,ns,ok,direct,reset-and-arithmetic,a038f25ac66821574b30392dc1d3b189cc287e2c,true,kotlin-native-2.4.10,1,3,200000000,axpy-v1+4096+uniform,policy-v1,policy,native/policy-v1,native-calibrated-v1,50000000,1,1,monotonic-batch
4,axpy+4096+uniform,native/c/c-sparse/packed-4x4,5,2,1,3,163168,209302460,1282.7420817807413,ns,ok,direct,reset-and-arithmetic,a038f25ac66821574b30392dc1d3b189cc287e2c,true,kotlin-native-2.4.10,1,3,200000000,axpy-v1+4096+uniform,policy-v1,policy,native/policy-v1,native-calibrated-v1,50000000,1,1,monotonic-batch
4,axpy+4096+uniform,native/c/c-sparse/packed-4x4,5,2,1,4,163168,209368468,1283.1466218866444,ns,ok,direct,reset-and-arithmetic,a038f25ac66821574b30392dc1d3b189cc287e2c,true,kotlin-native-2.4.10,1,3,200000000,axpy-v1+4096+uniform,policy-v1,policy,native/policy-v1,native-calibrated-v1,50000000,1,1,monotonic-batch
4,axpy+4096+uniform,native/c/c-sparse/packed-4x4,5,2,1,5,163168,219740231,1346.7115549617572,ns,ok,direct,reset-and-arithmetic,a038f25ac66821574b30392dc1d3b189cc287e2c,true,kotlin-native-2.4.10,1,3,200000000,axpy-v1+4096+uniform,policy-v1,policy,native/policy-v1,native-calibrated-v1,50000000,1,1,monotonic-batch
4,axpy-arithmetic+4096+uniform,native/c/c-sparse/packed-4x4,5,2,1,1,156843,198045333,1262.6979399781947,ns,ok,direct,reset-and-arithmetic,a038f25ac66821574b30392dc1d3b189cc287e2c,true,kotlin-native-2.4.10,1,3,200000000,axpy-arithmetic-v1+4096+uniform,policy-v1,policy,native/policy-v1,native-calibrated-v1,50000000,1,1,monotonic-batch
4,axpy-arithmetic+4096+uniform,native/c/c-sparse/packed-4x4,5,2,1,2,156843,198357788,1264.6900913652505,ns,ok,direct,reset-and-arithmetic,a038f25ac66821574b30392dc1d3b189cc287e2c,true,kotlin-native-2.4.10,1,3,200000000,axpy-arithmetic-v1+4096+uniform,policy-v1,policy,native/policy-v1,native-calibrated-v1,50000000,1,1,monotonic-batch
4,axpy-arithmetic+4096+uniform,native/c/c-sparse/packed-4x4,5,2,1,3,156843,198452479,1265.2938224849054,ns,ok,direct,reset-and-arithmetic,a038f25ac66821574b30392dc1d3b189cc287e2c,true,kotlin-native-2.4.10,1,3,200000000,axpy-arithmetic-v1+4096+uniform,policy-v1,policy,native/policy-v1,native-calibrated-v1,50000000,1,1,monotonic-batch
