schema,5
run,id,implementation,workload_version,fixture_version,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,logical_id,configuration,physical_work,actual_kernel
sample,case_id,fork,sample,operations,elapsed_ns,ns_per_op
run,1,jvm-c/c/c-sparse/packed-4x4,5,2,1,ns,50f1356ff734c61f359e46e821b0f580d6549e73,true,kotlin-2.4.10/jvm/Eclipse Adoptium/25.0.1/JMH 1.37/forks=1,1,3,200000000,jmh-average-time-v1,200000000,1
case,1,1,gemm-tile+4x4x32+uniform+packed=4x4-v1,ok,partial,raw-tile,gemm-add-v1+4x4x32+uniform,packed=4x4-v1,tiles=1;leftDoubles=128;rightDoubles=128;outputDoubles=16;resetDoubles=16;scratchDoubles=0;triangleDoubles=0,jvm-c/c-tile-v1/4x4
sample,1,1,1,1677487,200150160,119.31547606628249
sample,1,1,2,1674448,200135382,119.52319928716807
sample,1,1,3,1570637,200173117,127.4470912120369
sample,1,1,4,1860748,200132525,107.5548784682289
sample,1,1,5,1922269,200180296,104.13750416825117
case,2,1,gemm-tile+3x2x31+uniform+packed=4x4-v1,ok,partial,raw-tile,gemm-add-v1+3x2x31+uniform,packed=4x4-v1,tiles=1;leftDoubles=124;rightDoubles=124;outputDoubles=16;resetDoubles=16;scratchDoubles=0;triangleDoubles=0,jvm-c/c-tile-v1/4x4
sample,2,1,1,244829,200177084,817.6199878282393
sample,2,1,2,190634,200197057,1050.1644879717155
sample,2,1,3,445928,201143379,451.0669412999408
sample,2,1,4,1105425,202009067,182.74334939050593
sample,2,1,5,254944,200144065,785.0510896510606
case,3,1,packed-trsm+4x4+triangular+packed=4x4-v1+uplo=L+diag=N,ok,partial,raw-tile,right-solve-v1+4x4+triangular+uplo=L+diag=N,packed=4x4-v1,tiles=1;leftDoubles=0;rightDoubles=0;outputDoubles=16;resetDoubles=16;scratchDoubles=0;triangleDoubles=16,jvm-c/portable-solve-v1/4x4
sample,3,1,1,1024550,200368618,195.56743741154654
sample,3,1,2,1077330,200940939,186.51753780178774
sample,3,1,3,524737,200944567,382.9433925947665
sample,3,1,4,1271983,200952414,157.98356896279273
sample,3,1,5,1025922,201847820,196.74772546061007
case,4,1,packed-trsm+3x2+triangular+packed=4x4-v1+uplo=U+diag=U,ok,partial,raw-tile,right-solve-v1+3x2+triangular+uplo=U+diag=U,packed=4x4-v1,tiles=1;leftDoubles=0;rightDoubles=0;outputDoubles=16;resetDoubles=16;scratchDoubles=0;triangleDoubles=16,jvm-c/portable-solve-v1/4x4
sample,4,1,1,8790660,200970778,22.86185314868281
sample,4,1,2,8875248,200169346,22.55366227512741
sample,4,1,3,6874858,200151900,29.113604964640725
sample,4,1,4,8209085,200260478,24.39498165751725
sample,4,1,5,7514595,203690882,27.106035920764857
case,5,1,gemm-trsm+4x4x32+triangular+packed=4x4-v1+uplo=L+diag=N,ok,composed,raw-tile,update-solve-v1+4x4x32+triangular+uplo=L+diag=N,packed=4x4-v1,tiles=1;leftDoubles=128;rightDoubles=128;outputDoubles=16;resetDoubles=16;scratchDoubles=0;triangleDoubles=16,jvm-c/c-tile-v1/4x4
sample,5,1,1,253096,200159836,790.845513164965
sample,5,1,2,416107,200511207,481.8741501584929
sample,5,1,3,404067,200648398,496.57209819163654
sample,5,1,4,947448,200172949,211.27592121150713
sample,5,1,5,986966,200170282,202.81375650225033
case,6,1,gemm-trsm+3x2x31+triangular+packed=4x4-v1+uplo=U+diag=U,ok,composed,raw-tile,update-solve-v1+3x2x31+triangular+uplo=U+diag=U,packed=4x4-v1,tiles=1;leftDoubles=124;rightDoubles=124;outputDoubles=16;resetDoubles=16;scratchDoubles=0;triangleDoubles=16,jvm-c/c-tile-v1/4x4
sample,6,1,1,232757,200139509,859.8646184647508
sample,6,1,2,1147008,200164158,174.50981858888517
sample,6,1,3,1321173,200128353,151.4777799727969
sample,6,1,4,1051664,200264470,190.42628634240594
sample,6,1,5,374914,200154574,533.8679643864994
run,2,jvm-c/c/c-sparse/packed-4x4,5,2,1,ns,50f1356ff734c61f359e46e821b0f580d6549e73,true,kotlin-2.4.10/jvm/Eclipse Adoptium/25.0.1,1,3,200000000,jmh-average-time-v1,200000000,1
case,7,2,gemm-tile+8x4x32+uniform+packed=8x4-v1,unsupported,unsupported,arithmetic,gemm-add-v1+8x4x32+uniform,packed=8x4-v1,tiles=1;leftDoubles=256;rightDoubles=128;outputDoubles=32;resetDoubles=32;scratchDoubles=0;triangleDoubles=0,unavailable
case,8,2,gemm-tile+7x2x31+uniform+packed=8x4-v1,unsupported,unsupported,arithmetic,gemm-add-v1+7x2x31+uniform,packed=8x4-v1,tiles=1;leftDoubles=248;rightDoubles=124;outputDoubles=32;resetDoubles=32;scratchDoubles=0;triangleDoubles=0,unavailable
case,9,2,packed-trsm+8x4+triangular+packed=8x4-v1+uplo=L+diag=N,unsupported,unsupported,arithmetic,right-solve-v1+8x4+triangular+uplo=L+diag=N,packed=8x4-v1,tiles=1;leftDoubles=0;rightDoubles=0;outputDoubles=32;resetDoubles=32;scratchDoubles=0;triangleDoubles=16,unavailable
case,10,2,packed-trsm+7x2+triangular+packed=8x4-v1+uplo=U+diag=U,unsupported,unsupported,arithmetic,right-solve-v1+7x2+triangular+uplo=U+diag=U,packed=8x4-v1,tiles=1;leftDoubles=0;rightDoubles=0;outputDoubles=32;resetDoubles=32;scratchDoubles=0;triangleDoubles=16,unavailable
case,11,2,gemm-trsm+8x4x32+triangular+packed=8x4-v1+uplo=L+diag=N,unsupported,unsupported,arithmetic,update-solve-v1+8x4x32+triangular+uplo=L+diag=N,packed=8x4-v1,tiles=1;leftDoubles=256;rightDoubles=128;outputDoubles=32;resetDoubles=32;scratchDoubles=0;triangleDoubles=16,unavailable
case,12,2,gemm-trsm+7x2x31+triangular+packed=8x4-v1+uplo=U+diag=U,unsupported,unsupported,arithmetic,update-solve-v1+7x2x31+triangular+uplo=U+diag=U,packed=8x4-v1,tiles=1;leftDoubles=248;rightDoubles=124;outputDoubles=32;resetDoubles=32;scratchDoubles=0;triangleDoubles=16,unavailable
case,13,1,pack-left+4x32+uniform+packed=4x4-v1,ok,unsupported,packing-only,pack-left-v1+4x32+uniform,packed=4x4-v1,panelDoubles=128,jvm-c/portable-layout-v1/4x4
