schema,5
run,id,implementation,workload_version,fixture_version,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,logical_id,configuration,physical_work,actual_kernel
sample,case_id,fork,sample,operations,elapsed_ns,ns_per_op
run,1,jvm-scalar/scalar/scalar/packed-4x4,5,2,1,ns,50f1356ff734c61f359e46e821b0f580d6549e73,true,kotlin-2.4.10/jvm/Eclipse Adoptium/25.0.1/JMH 1.37/forks=1,1,3,200000000,jmh-average-time-v1,200000000,1
case,1,1,gemm-tile+4x4x32+uniform+packed=4x4-v1,ok,partial,raw-tile,gemm-add-v1+4x4x32+uniform,packed=4x4-v1,tiles=1;leftDoubles=128;rightDoubles=128;outputDoubles=16;resetDoubles=16;scratchDoubles=0;triangleDoubles=0,jvm-scalar/portable-tile-v1/4x4
sample,1,1,1,1586188,200324137,126.29280829258575
sample,1,1,2,1435501,200176144,139.44688579109314
sample,1,1,3,1275132,200107729,156.93099145813923
sample,1,1,4,1563850,200092661,127.94875531540748
sample,1,1,5,1557407,200087733,128.47491567714798
case,2,1,gemm-tile+3x2x31+uniform+packed=4x4-v1,ok,partial,raw-tile,gemm-add-v1+3x2x31+uniform,packed=4x4-v1,tiles=1;leftDoubles=124;rightDoubles=124;outputDoubles=16;resetDoubles=16;scratchDoubles=0;triangleDoubles=0,jvm-scalar/portable-tile-v1/4x4
sample,2,1,1,1612879,200243235,124.1526704731105
sample,2,1,2,1585658,200208789,126.26227660693542
sample,2,1,3,1595584,200193764,125.46739250330913
sample,2,1,4,1601587,200208271,125.006178871332
sample,2,1,5,1589218,200253446,126.00753704022985
case,3,1,packed-trsm+4x4+triangular+packed=4x4-v1+uplo=L+diag=N,ok,partial,raw-tile,right-solve-v1+4x4+triangular+uplo=L+diag=N,packed=4x4-v1,tiles=1;leftDoubles=0;rightDoubles=0;outputDoubles=16;resetDoubles=16;scratchDoubles=0;triangleDoubles=16,jvm-scalar/portable-solve-v1/4x4
sample,3,1,1,4556117,200260387,43.95418006166216
sample,3,1,2,4420751,200171851,45.28005558331605
sample,3,1,3,4044738,200166054,49.48801479848633
sample,3,1,4,4121395,200192009,48.573846719375354
sample,3,1,5,4138592,200197445,48.37332237630576
case,4,1,packed-trsm+3x2+triangular+packed=4x4-v1+uplo=U+diag=U,ok,partial,raw-tile,right-solve-v1+3x2+triangular+uplo=U+diag=U,packed=4x4-v1,tiles=1;leftDoubles=0;rightDoubles=0;outputDoubles=16;resetDoubles=16;scratchDoubles=0;triangleDoubles=16,jvm-scalar/portable-solve-v1/4x4
sample,4,1,1,16462136,200287709,12.166568724739001
sample,4,1,2,16548827,200257210,12.100991206204524
sample,4,1,3,16488460,200155114,12.139102984754185
sample,4,1,4,17150374,200214983,11.674088448450162
sample,4,1,5,14620122,200168405,13.691295120519515
case,5,1,gemm-trsm+4x4x32+triangular+packed=4x4-v1+uplo=L+diag=N,ok,composed,raw-tile,update-solve-v1+4x4x32+triangular+uplo=L+diag=N,packed=4x4-v1,tiles=1;leftDoubles=128;rightDoubles=128;outputDoubles=16;resetDoubles=16;scratchDoubles=0;triangleDoubles=16,jvm-scalar/portable-tile-v1/4x4
sample,5,1,1,767005,200119969,260.91090540478876
sample,5,1,2,724572,200125613,276.1983805612141
sample,5,1,3,694674,200123187,288.0821608409124
sample,5,1,4,713175,200096890,280.571935359484
sample,5,1,5,711305,200112250,281.3311448675322
case,6,1,gemm-trsm+3x2x31+triangular+packed=4x4-v1+uplo=U+diag=U,ok,composed,raw-tile,update-solve-v1+3x2x31+triangular+uplo=U+diag=U,packed=4x4-v1,tiles=1;leftDoubles=124;rightDoubles=124;outputDoubles=16;resetDoubles=16;scratchDoubles=0;triangleDoubles=16,jvm-scalar/portable-tile-v1/4x4
sample,6,1,1,1989723,200168864,100.60137215079688
sample,6,1,2,2030398,200153590,98.5785003728333
sample,6,1,3,1999854,200129503,100.0720567601435
sample,6,1,4,2019261,200130736,99.11088066376759
sample,6,1,5,2034877,200197425,98.38305951661943
run,2,jvm-scalar/scalar/scalar/packed-4x4,5,2,1,ns,50f1356ff734c61f359e46e821b0f580d6549e73,true,kotlin-2.4.10/jvm/Eclipse Adoptium/25.0.1,1,3,200000000,jmh-average-time-v1,200000000,1
case,7,2,gemm-tile+8x4x32+uniform+packed=8x4-v1,unsupported,unsupported,arithmetic,gemm-add-v1+8x4x32+uniform,packed=8x4-v1,tiles=1;leftDoubles=256;rightDoubles=128;outputDoubles=32;resetDoubles=32;scratchDoubles=0;triangleDoubles=0,unavailable
case,8,2,gemm-tile+7x2x31+uniform+packed=8x4-v1,unsupported,unsupported,arithmetic,gemm-add-v1+7x2x31+uniform,packed=8x4-v1,tiles=1;leftDoubles=248;rightDoubles=124;outputDoubles=32;resetDoubles=32;scratchDoubles=0;triangleDoubles=0,unavailable
case,9,2,packed-trsm+8x4+triangular+packed=8x4-v1+uplo=L+diag=N,unsupported,unsupported,arithmetic,right-solve-v1+8x4+triangular+uplo=L+diag=N,packed=8x4-v1,tiles=1;leftDoubles=0;rightDoubles=0;outputDoubles=32;resetDoubles=32;scratchDoubles=0;triangleDoubles=16,unavailable
case,10,2,packed-trsm+7x2+triangular+packed=8x4-v1+uplo=U+diag=U,unsupported,unsupported,arithmetic,right-solve-v1+7x2+triangular+uplo=U+diag=U,packed=8x4-v1,tiles=1;leftDoubles=0;rightDoubles=0;outputDoubles=32;resetDoubles=32;scratchDoubles=0;triangleDoubles=16,unavailable
case,11,2,gemm-trsm+8x4x32+triangular+packed=8x4-v1+uplo=L+diag=N,unsupported,unsupported,arithmetic,update-solve-v1+8x4x32+triangular+uplo=L+diag=N,packed=8x4-v1,tiles=1;leftDoubles=256;rightDoubles=128;outputDoubles=32;resetDoubles=32;scratchDoubles=0;triangleDoubles=16,unavailable
case,12,2,gemm-trsm+7x2x31+triangular+packed=8x4-v1+uplo=U+diag=U,unsupported,unsupported,arithmetic,update-solve-v1+7x2x31+triangular+uplo=U+diag=U,packed=8x4-v1,tiles=1;leftDoubles=248;rightDoubles=124;outputDoubles=32;resetDoubles=32;scratchDoubles=0;triangleDoubles=16,unavailable
case,13,1,pack-left+4x32+uniform+packed=4x4-v1,ok,unsupported,packing-only,pack-left-v1+4x32+uniform,packed=4x4-v1,panelDoubles=128,jvm-scalar/portable-layout-v1/4x4
sample,13,1,1,1315666,200268763,152.21854406817536
sample,13,1,2,1337269,200160434,149.67851195234468
sample,13,1,3,1307680,200269087,153.14839027896733
sample,13,1,4,1325597,200159697,150.99588864488982
sample,13,1,5,1227047,200116940,163.08824356361248
case,14,1,pack-left+3x31+uniform+packed=4x4-v1,ok,unsupported,packing-only,pack-left-v1+3x31+uniform,packed=4x4-v1,panelDoubles=124,jvm-scalar/portable-layout-v1/4x4
sample,14,1,1,1255127,200220770,159.5223192553423
sample,14,1,2,1258783,200183042,159.02903200948853
sample,14,1,3,1260388,200175161,158.82026883784994
sample,14,1,4,1235030,200145826,162.05746095236552
sample,14,1,5,1263173,200145881,158.4469276971563
case,15,1,pack-right+32x4+uniform+packed=4x4-v1,ok,unsupported,packing-only,pack-right-v1+32x4+uniform,packed=4x4-v1,panelDoubles=128,jvm-scalar/portable-layout-v1/4x4
sample,15,1,1,1516717,200160191,131.9693726647753
sample,15,1,2,1512428,200157889,132.34209430134857
sample,15,1,3,1502169,200159561,133.24703212488075
sample,15,1,4,1181832,200166293,169.36949837201902
sample,15,1,5,1191599,200166867,167.98173462716903
case,16,1,pack-right+31x2+uniform+packed=4x4-v1,ok,unsupported,packing-only,pack-right-v1+31x2+uniform,packed=4x4-v1,panelDoubles=124,jvm-scalar/portable-layout-v1/4x4
sample,16,1,1,1510471,200290571,132.60140115235578
sample,16,1,2,1522178,200179360,131.50850951728378
sample,16,1,3,1344009,200199968,148.95731204180925
sample,16,1,4,1370385,200229385,146.11177515807603
sample,16,1,5,1434606,200204125,139.55338608649345
case,17,1,pack-symmetric-left+4x4+uniform+packed=4x4-v1+uplo=L,ok,unsupported,packing-only,pack-symmetric-left-v1+4x4+uniform+uplo=L,packed=4x4-v1,panelDoubles=16,jvm-scalar/portable-layout-v1/4x4
sample,17,1,1,6301099,200098090,31.756061918722434
sample,17,1,2,6308761,200101477,31.718031004820123
sample,17,1,3,6370560,200092839,31.408987435955396
sample,17,1,4,6305893,200086435,31.73007137926381
sample,17,1,5,6334097,200084602,31.588496671269795
case,18,1,pack-symmetric-right+4x4+uniform+packed=4x4-v1+uplo=U,ok,unsupported,packing-only,pack-symmetric-right-v1+4x4+uniform+uplo=U,packed=4x4-v1,panelDoubles=16,jvm-scalar/portable-layout-v1/4x4
sample,18,1,1,5663362,200228743,35.35510232261332
sample,18,1,2,5687641,200212456,35.20131738272511
sample,18,1,3,5835941,200116088,34.29028634799427
sample,18,1,4,6326117,200094696,31.629939187024206
sample,18,1,5,6163523,200138312,32.471414806110076
case,19,1,pack-triangular-left+4x4+triangular+packed=4x4-v1+uplo=L+diag=N,ok,unsupported,packing-only,pack-triangular-left-v1+4x4+triangular+uplo=L+diag=N,packed=4x4-v1,panelDoubles=16,jvm-scalar/portable-layout-v1/4x4
sample,19,1,1,4543665,200741219,44.18046202790038
sample,19,1,2,2966880,204043304,68.7736962735264
sample,19,1,3,2179914,200147620,91.81445690059333
sample,19,1,4,4437037,200129808,45.10438114444391
sample,19,1,5,3811399,200127174,52.507536996257805
case,20,1,pack-triangular-right+4x4+triangular+packed=4x4-v1+uplo=U+diag=U,ok,unsupported,packing-only,pack-triangular-right-v1+4x4+triangular+uplo=U+diag=U,packed=4x4-v1,panelDoubles=16,jvm-scalar/portable-layout-v1/4x4
sample,20,1,1,3280604,200201510,61.02580805241961
sample,20,1,2,2045495,200152224,97.85026313924014
sample,20,1,3,3723497,200171511,53.75900960844067
sample,20,1,4,1849019,200162991,108.25361502504842
sample,20,1,5,1921374,200155206,104.17295435454004
case,21,1,write-left+3x31+uniform+packed=4x4-v1,ok,unsupported,layout-only,write-left-v1+3x31+uniform,packed=4x4-v1,panelDoubles=124,jvm-scalar/portable-layout-v1/4x4
sample,21,1,1,1303221,200154450,153.58442658612776
sample,21,1,2,1575733,200123462,127.0034085723914
sample,21,1,3,1226594,200146042,163.17220041839434
sample,21,1,4,898018,204109070,227.2883951101203
sample,21,1,5,878011,200117575,227.9214895940939
case,22,1,write-left+4x32+uniform+packed=4x4-v1,ok,unsupported,layout-only,write-left-v1+4x32+uniform,packed=4x4-v1,panelDoubles=128,jvm-scalar/portable-layout-v1/4x4
sample,22,1,1,1118180,200125505,178.9743198769429
sample,22,1,2,1280134,200164680,156.36228707307203
sample,22,1,3,1379033,200146618,145.13548116687562
sample,22,1,4,679590,200157722,294.5271737371062
sample,22,1,5,679258,200152951,294.66410553869076
case,23,1,write-right+31x2+uniform+packed=4x4-v1,ok,unsupported,layout-only,write-right-v1+31x2+uniform,packed=4x4-v1,panelDoubles=124,jvm-scalar/portable-layout-v1/4x4
sample,23,1,1,728756,200596275,275.25848843783103
sample,23,1,2,878813,200288382,227.90785070316437
sample,23,1,3,973629,200164560,205.58607025879468
sample,23,1,4,1186574,200714790,169.1548862523534
sample,23,1,5,975126,200148231,205.25371182800993
case,24,1,write-right+32x4+uniform+packed=4x4-v1,ok,unsupported,layout-only,write-right-v1+32x4+uniform,packed=4x4-v1,panelDoubles=128,jvm-scalar/portable-layout-v1/4x4
sample,24,1,1,948026,200192353,211.16757662764525
sample,24,1,2,669840,200198029,298.87440134957603
sample,24,1,3,946191,200195261,211.58017884338364
sample,24,1,4,550713,200145306,363.42941967957904
sample,24,1,5,895062,200134938,223.59896632858954
case,25,1,clear-left-padding+3x31+uniform+packed=4x4-v1,ok,unsupported,layout-only,clear-left-padding-v1+3x31+uniform,packed=4x4-v1,panelDoubles=124,jvm-scalar/portable-layout-v1/4x4
sample,25,1,1,941039,200288457,212.8375731505283
sample,25,1,2,1273857,200155185,157.12531704893092
sample,25,1,3,1566694,200147098,127.751237957125
sample,25,1,4,1404400,200130042,142.50216604955853
sample,25,1,5,1483211,200150285,134.94390548613785
case,26,1,clear-left-padding+4x32+uniform+packed=4x4-v1,ok,unsupported,layout-only,clear-left-padding-v1+4x32+uniform,packed=4x4-v1,panelDoubles=128,jvm-scalar/portable-layout-v1/4x4
sample,26,1,1,9299660,200141210,21.52134701698772
sample,26,1,2,15218816,200147329,13.151307499873841
sample,26,1,3,10867722,200123104,18.414448216470756
sample,26,1,4,19982035,200172157,10.017606164737476
sample,26,1,5,27925374,200155880,7.167527281819036
case,27,1,clear-right-padding+31x2+uniform+packed=4x4-v1,ok,unsupported,layout-only,clear-right-padding-v1+31x2+uniform,packed=4x4-v1,panelDoubles=124,jvm-scalar/portable-layout-v1/4x4
sample,27,1,1,2416316,200189535,82.8490706513552
sample,27,1,2,2406470,200248145,83.21240032080183
sample,27,1,3,2413157,200197488,82.96082186115532
sample,27,1,4,2409908,200147441,83.05190115141325
sample,27,1,5,2358955,200152130,84.84779489222983
case,28,1,clear-right-padding+32x4+uniform+packed=4x4-v1,ok,unsupported,layout-only,clear-right-padding-v1+32x4+uniform,packed=4x4-v1,panelDoubles=128,jvm-scalar/portable-layout-v1/4x4
sample,28,1,1,27378098,200172831,7.311422108285243
sample,28,1,2,21902975,200114184,9.136392841611698
sample,28,1,3,24789464,200118179,8.072711011420013
sample,28,1,4,17821034,200116571,11.229234566299576
sample,28,1,5,13063649,200132452,15.319797094977062
case,29,2,pack-left+7x31+uniform+packed=8x4-v1,unsupported,unsupported,arithmetic,pack-left-v1+7x31+uniform,packed=8x4-v1,panelDoubles=248,unavailable
case,30,2,pack-left+8x32+uniform+packed=8x4-v1,unsupported,unsupported,arithmetic,pack-left-v1+8x32+uniform,packed=8x4-v1,panelDoubles=256,unavailable
case,31,2,pack-right+31x2+uniform+packed=8x4-v1,unsupported,unsupported,arithmetic,pack-right-v1+31x2+uniform,packed=8x4-v1,panelDoubles=124,unavailable
case,32,2,pack-right+32x4+uniform+packed=8x4-v1,unsupported,unsupported,arithmetic,pack-right-v1+32x4+uniform,packed=8x4-v1,panelDoubles=128,unavailable
case,33,2,pack-symmetric-left+8x8+uniform+packed=8x4-v1+uplo=L,unsupported,unsupported,arithmetic,pack-symmetric-left-v1+8x8+uniform+uplo=L,packed=8x4-v1,panelDoubles=64,unavailable
case,34,2,pack-symmetric-right+4x4+uniform+packed=8x4-v1+uplo=U,unsupported,unsupported,arithmetic,pack-symmetric-right-v1+4x4+uniform+uplo=U,packed=8x4-v1,panelDoubles=16,unavailable
case,35,2,pack-triangular-left+8x8+triangular+packed=8x4-v1+uplo=L+diag=N,unsupported,unsupported,arithmetic,pack-triangular-left-v1+8x8+triangular+uplo=L+diag=N,packed=8x4-v1,panelDoubles=64,unavailable
case,36,2,pack-triangular-right+4x4+triangular+packed=8x4-v1+uplo=U+diag=U,unsupported,unsupported,arithmetic,pack-triangular-right-v1+4x4+triangular+uplo=U+diag=U,packed=8x4-v1,panelDoubles=16,unavailable
