schema,5
run,id,implementation,workload_version,fixture_version,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,logical_id,configuration,physical_work,actual_kernel
sample,case_id,fork,sample,operations,elapsed_ns,ns_per_op
run,1,onemkl,5,2,1,ns,2eb65b8b891dc2c77f19931a8bf78c4ea78b9ba5,false,Intel(R) oneAPI Math Kernel Library Version 2026.1-Product Build 20260612 for Intel(R) 64 architecture applications; compiler=15.2.0,1,3,200000000,vendor-calibrated-v1,50000000,1
case,1,1,gemm-tile+4x4x32+uniform+physical=4x4+work=gemm-add-v1+leftLayout=depth-rows-v1+rightLayout=depth-columns-v1+leftGroup=4+rightGroup=4+leftStride=4+rightStride=4+padding=zero+alignment=8+block=4x4x32+panel=32+diagonal=0+rhs=0+batch=1+variant=current-tile-v1+timing=raw-tile,ok,partial,vendor-arithmetic,gemm-add-v1+4x4x32+uniform,vendor-column-major-v1,calls=1;leftDoubles=128;rightDoubles=128;outputDoubles=16;resetDoubles=16;triangleDoubles=0,vendor-cblas-v1
sample,1,1,1,262144,115227654,439.55861663818359
sample,1,1,2,262144,159843984,609.75640869140625
sample,1,1,3,262144,143102159,545.89141464233398
sample,1,1,4,262144,123476180,471.02424621582031
sample,1,1,5,262144,111816428,426.54582214355469
case,2,1,gemm-tile+3x2x31+uniform+physical=4x4+work=gemm-add-v1+leftLayout=depth-rows-v1+rightLayout=depth-columns-v1+leftGroup=4+rightGroup=4+leftStride=4+rightStride=4+padding=zero+alignment=8+block=3x2x31+panel=31+diagonal=0+rhs=0+batch=1+variant=current-tile-v1+timing=raw-tile,ok,partial,vendor-arithmetic,gemm-add-v1+3x2x31+uniform,vendor-column-major-v1,calls=1;leftDoubles=93;rightDoubles=62;outputDoubles=6;resetDoubles=6;triangleDoubles=0,vendor-cblas-v1
sample,2,1,1,262144,131230595,500.6049919128418
sample,2,1,2,262144,152625821,582.2213020324707
sample,2,1,3,262144,140154529,534.64709854125977
sample,2,1,4,262144,121452098,463.30298614501953
sample,2,1,5,262144,122846909,468.6237678527832
case,3,1,packed-trsm+4x4+triangular+physical=4x4+uplo=L+diag=N+work=right-solve-v1+leftLayout=depth-rows-v1+rightLayout=depth-columns-v1+leftGroup=4+rightGroup=4+leftStride=4+rightStride=4+padding=zero+alignment=8+block=4x4x4+panel=4+diagonal=4+rhs=4+batch=1+variant=current-tile-v1+timing=raw-tile,ok,partial,vendor-arithmetic,right-solve-v1+4x4+triangular+uplo=L+diag=N,vendor-column-major-v1,calls=1;leftDoubles=0;rightDoubles=0;outputDoubles=16;resetDoubles=16;triangleDoubles=16,vendor-cblas-v1
sample,3,1,1,262144,108282898,413.06647491455078
sample,3,1,2,262144,102681890,391.70032501220703
sample,3,1,3,262144,107560465,410.31061172485352
sample,3,1,4,262144,124197893,473.77736282348633
sample,3,1,5,262144,155065975,591.52975082397461
case,4,1,packed-trsm+3x2+triangular+physical=4x4+uplo=U+diag=U+work=right-solve-v1+leftLayout=depth-rows-v1+rightLayout=depth-columns-v1+leftGroup=4+rightGroup=4+leftStride=4+rightStride=4+padding=zero+alignment=8+block=3x2x2+panel=2+diagonal=2+rhs=3+batch=1+variant=current-tile-v1+timing=raw-tile,ok,partial,vendor-arithmetic,right-solve-v1+3x2+triangular+uplo=U+diag=U,vendor-column-major-v1,calls=1;leftDoubles=0;rightDoubles=0;outputDoubles=6;resetDoubles=6;triangleDoubles=4,vendor-cblas-v1
sample,4,1,1,262144,119454298,455.68198394775391
sample,4,1,2,262144,123385769,470.67935562133789
sample,4,1,3,262144,128996295,492.08181381225586
sample,4,1,4,262144,184403245,703.44255447387695
sample,4,1,5,262144,299309544,1141.7752990722656
case,5,1,gemm-trsm+4x4x32+triangular+physical=4x4+uplo=L+diag=N+work=update-solve-v1+leftLayout=depth-rows-v1+rightLayout=depth-columns-v1+leftGroup=4+rightGroup=4+leftStride=4+rightStride=4+padding=zero+alignment=8+block=4x4x32+panel=32+diagonal=4+rhs=4+batch=1+variant=current-tile-v1+timing=raw-tile,ok,composed,vendor-arithmetic,update-solve-v1+4x4x32+triangular+uplo=L+diag=N,vendor-column-major-v1,calls=2;leftDoubles=128;rightDoubles=128;outputDoubles=16;resetDoubles=16;triangleDoubles=16,vendor-cblas-v1
sample,5,1,1,65536,174476946,2662.3069152832031
sample,5,1,2,65536,191872283,2927.7386932373047
sample,5,1,3,65536,103716909,1582.5944366455078
sample,5,1,4,65536,120526867,1839.0940399169922
sample,5,1,5,65536,94427096,1440.8431396484375
case,6,1,gemm-trsm+3x2x31+triangular+physical=4x4+uplo=U+diag=U+work=update-solve-v1+leftLayout=depth-rows-v1+rightLayout=depth-columns-v1+leftGroup=4+rightGroup=4+leftStride=4+rightStride=4+padding=zero+alignment=8+block=3x2x31+panel=31+diagonal=2+rhs=3+batch=1+variant=current-tile-v1+timing=raw-tile,ok,composed,vendor-arithmetic,update-solve-v1+3x2x31+triangular+uplo=U+diag=U,vendor-column-major-v1,calls=2;leftDoubles=93;rightDoubles=62;outputDoubles=6;resetDoubles=6;triangleDoubles=4,vendor-cblas-v1
sample,6,1,1,262144,285353035,1088.5354423522949
sample,6,1,2,262144,278337408,1061.77294921875
sample,6,1,3,262144,178442519,680.70418930053711
sample,6,1,4,262144,195594172,746.13255310058594
sample,6,1,5,262144,217888465,831.17853164672852
case,7,1,gemm-tile+8x4x32+uniform+physical=8x4+work=gemm-add-v1+leftLayout=depth-rows-v1+rightLayout=depth-columns-v1+leftGroup=8+rightGroup=4+leftStride=8+rightStride=4+padding=zero+alignment=8+block=8x4x32+panel=32+diagonal=0+rhs=0+batch=1+variant=current-tile-v1+timing=raw-tile,ok,partial,vendor-arithmetic,gemm-add-v1+8x4x32+uniform,vendor-column-major-v1,calls=1;leftDoubles=256;rightDoubles=128;outputDoubles=32;resetDoubles=32;triangleDoubles=0,vendor-cblas-v1
