schema,5
run,id,implementation,workload_version,fixture_version,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,logical_id,configuration,physical_work,actual_kernel
sample,case_id,fork,sample,operations,elapsed_ns,ns_per_op
run,1,openblas,5,2,1,ns,50f1356ff734c61f359e46e821b0f580d6549e73,true,OpenBLAS 0.3.32 NO_LAPACKE DYNAMIC_ARCH NO_AFFINITY Haswell MAX_THREADS=128; compiler=15.2.0,1,3,200000000,vendor-calibrated-v1,50000000,1
case,1,1,gemm-tile+4x4x32+uniform+packed=4x4-v1,ok,partial,vendor-arithmetic,gemm-add-v1+4x4x32+uniform,vendor-column-major-v1,calls=1;leftDoubles=128;rightDoubles=128;outputDoubles=16;resetDoubles=16;triangleDoubles=0,vendor-cblas-v1
sample,1,1,1,131072,97378838,742.94157409667969
sample,1,1,2,131072,80634992,615.1961669921875
sample,1,1,3,131072,74830359,570.91033172607422
sample,1,1,4,131072,71346991,544.33434295654297
sample,1,1,5,131072,69153825,527.60181427001953
case,2,1,gemm-tile+3x2x31+uniform+packed=4x4-v1,ok,partial,vendor-arithmetic,gemm-add-v1+3x2x31+uniform,vendor-column-major-v1,calls=1;leftDoubles=93;rightDoubles=62;outputDoubles=6;resetDoubles=6;triangleDoubles=0,vendor-cblas-v1
sample,2,1,1,262144,110145503,420.17174911499023
sample,2,1,2,262144,116071593,442.77798843383789
sample,2,1,3,262144,107644751,410.63213729858398
sample,2,1,4,262144,103772554,395.86087799072266
sample,2,1,5,262144,103007360,392.94189453125
case,3,1,packed-trsm+4x4+triangular+packed=4x4-v1+uplo=L+diag=N,ok,partial,vendor-arithmetic,right-solve-v1+4x4+triangular+uplo=L+diag=N,vendor-column-major-v1,calls=1;leftDoubles=0;rightDoubles=0;outputDoubles=16;resetDoubles=16;triangleDoubles=16,vendor-cblas-v1
sample,3,1,1,524288,160418345,305.97371101379395
sample,3,1,2,524288,167397723,319.28581809997559
sample,3,1,3,524288,191622942,365.49175643920898
sample,3,1,4,524288,173237925,330.42511940002441
sample,3,1,5,524288,170319742,324.85912704467773
case,4,1,packed-trsm+3x2+triangular+packed=4x4-v1+uplo=U+diag=U,ok,partial,vendor-arithmetic,right-solve-v1+3x2+triangular+uplo=U+diag=U,vendor-column-major-v1,calls=1;leftDoubles=0;rightDoubles=0;outputDoubles=6;resetDoubles=6;triangleDoubles=4,vendor-cblas-v1
sample,4,1,1,262144,99737225,380.46731948852539
sample,4,1,2,262144,200075066,763.22580718994141
sample,4,1,3,262144,159765422,609.45671844482422
sample,4,1,4,262144,120904815,461.21526718139648
sample,4,1,5,262144,108617701,414.34364700317383
case,5,1,gemm-trsm+4x4x32+triangular+packed=4x4-v1+uplo=L+diag=N,ok,composed,vendor-arithmetic,update-solve-v1+4x4x32+triangular+uplo=L+diag=N,vendor-column-major-v1,calls=2;leftDoubles=128;rightDoubles=128;outputDoubles=16;resetDoubles=16;triangleDoubles=16,vendor-cblas-v1
sample,5,1,1,262144,115979791,442.42779159545898
sample,5,1,2,262144,119893784,457.35848999023438
sample,5,1,3,262144,166788964,636.24940490722656
sample,5,1,4,262144,291891996,1113.4795989990234
sample,5,1,5,262144,342150814,1305.201774597168
case,6,1,gemm-trsm+3x2x31+triangular+packed=4x4-v1+uplo=U+diag=U,ok,composed,vendor-arithmetic,update-solve-v1+3x2x31+triangular+uplo=U+diag=U,vendor-column-major-v1,calls=2;leftDoubles=93;rightDoubles=62;outputDoubles=6;resetDoubles=6;triangleDoubles=4,vendor-cblas-v1
sample,6,1,1,131072,73613799,561.62871551513672
sample,6,1,2,131072,64279625,490.41461944580078
sample,6,1,3,131072,58367681,445.31006622314453
sample,6,1,4,131072,55377735,422.49858856201172
sample,6,1,5,131072,51817061,395.33280181884766
case,7,1,gemm-tile+8x4x32+uniform+packed=8x4-v1,ok,partial,vendor-arithmetic,gemm-add-v1+8x4x32+uniform,vendor-column-major-v1,calls=1;leftDoubles=256;rightDoubles=128;outputDoubles=32;resetDoubles=32;triangleDoubles=0,vendor-cblas-v1
sample,7,1,1,262144,106773848,407.30990600585938
sample,7,1,2,262144,125504843,478.76298141479492
sample,7,1,3,262144,120266071,458.77865219116211
sample,7,1,4,262144,105527511,402.55550765991211
sample,7,1,5,262144,103635727,395.33892440795898
case,8,1,gemm-tile+7x2x31+uniform+packed=8x4-v1,ok,partial,vendor-arithmetic,gemm-add-v1+7x2x31+uniform,vendor-column-major-v1,calls=1;leftDoubles=217;rightDoubles=62;outputDoubles=14;resetDoubles=14;triangleDoubles=0,vendor-cblas-v1
sample,8,1,1,262144,102312694,390.29195404052734
sample,8,1,2,262144,103316795,394.12229537963867
sample,8,1,3,262144,103554361,395.02853775024414
sample,8,1,4,262144,104650631,399.21047592163086
sample,8,1,5,262144,104578031,398.93352890014648
