run,id,implementation,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel
sample,case_id,fork,sample,operations,elapsed_ns,ns_per_op
run,1,jvm-c/c/c-sparse/packed-4x4,1,ns,7a38ed4bdde4f7b167b5dbe3924fffe6ca7555fa,true,kotlin-2.4.10/jvm/Eclipse Adoptium/25.0.1/JMH 1.37/forks=2,1,5,200000000,jmh-average-time,200000000,2
case,1,1,gemm-tile+4x4x32+uniform+packed=4x4,ok,partial,raw-tile,c-tile
sample,1,1,1,2256247,200185268,88.72489049292919
sample,1,1,2,2244144,200145047,89.1854742832902
sample,1,1,3,2274253,200112384,87.99037925859612
sample,1,1,4,2201413,200133750,90.91149638891021
sample,1,1,5,2173823,200265601,92.12599231860183
sample,1,1,6,2054593,200203367,97.44186172151856
sample,1,1,7,2068821,200207783,96.77385477042237
sample,1,1,8,2052576,200205129,97.53847311865675
sample,1,1,9,2077317,200270162,96.4080888954358
sample,1,1,10,2064726,200214500,96.96904092843312
sample,1,2,11,2241754,200195633,89.30312291179139
sample,1,2,12,2210407,200098575,90.52567015938693
sample,1,2,13,2247292,200181820,89.07690678380914
sample,1,2,14,2219770,200114837,90.15115845335328
sample,1,2,15,2021167,200099208,99.00181825648252
sample,1,2,16,2002469,200159481,99.95634439284703
sample,1,2,17,2064780,200236461,96.97714090605295
sample,1,2,18,2080114,200206949,96.24806573101282
sample,1,2,19,2082369,200249186,96.16412172866576
sample,1,2,20,2073716,200269427,96.57514674140529
case,2,1,gemm-tile+3x2x31+uniform+packed=4x4,ok,partial,raw-tile,c-tile
sample,2,1,1,2262977,200226560,88.47927309910794
sample,2,1,2,2292739,200196296,87.31752545754227
sample,2,1,3,2204617,200150788,90.78710179591285
sample,2,1,4,2182617,200176185,91.7138393955513
sample,2,1,5,2124661,200106824,94.18294212582619
sample,2,1,6,2061847,200194951,97.09495951930478
sample,2,1,7,2090508,200223248,95.77731728364589
sample,2,1,8,2115664,200191801,94.62362690862065
sample,2,1,9,2091985,200249358,95.72217678425037
sample,2,1,10,2037302,200102891,98.2195526240096
sample,2,2,11,2235894,200118453,89.50265665545862
sample,2,2,12,2264038,200112527,88.38744181855606
sample,2,2,13,2255461,200159699,88.74447352448125
sample,2,2,14,2223519,200102699,89.9936987271078
sample,2,2,15,2124357,200132088,94.20831244465973
sample,2,2,16,2005737,200103587,99.7656158309888
sample,2,2,17,2042489,200200988,98.01814746615527
sample,2,2,18,2048200,200207556,97.74804999511767
sample,2,2,19,1973158,200213349,101.4684830104837
sample,2,2,20,2045147,200112368,97.84742514841231
case,3,1,packed-trsm+4x4+triangular+packed=4x4+uplo=L+diag=N,ok,partial,raw-tile,portable-solve
sample,3,1,1,4610743,200194615,43.41916584810735
sample,3,1,2,4593970,200235693,43.586634871363984
sample,3,1,3,4595319,200244854,43.5758331467304
sample,3,1,4,4535158,200178013,44.13914862503137
sample,3,1,5,4511315,200130301,44.3618548028679
sample,3,1,6,4513199,200175109,44.353264502628846
sample,3,1,7,4494708,200247909,44.55192840113307
sample,3,1,8,4502207,200124726,44.450360900776
sample,3,1,9,4519673,200212191,44.29793726227539
sample,3,1,10,4699128,200208220,42.60539827814863
sample,3,2,11,4605278,200284872,43.490289185582284
sample,3,2,12,4590957,200260339,43.620608731469275
sample,3,2,13,4563895,200151675,43.85545131954175
sample,3,2,14,4557310,200263229,43.94329747153474
sample,3,2,15,4611301,200187984,43.41247383330648
sample,3,2,16,4250452,200192960,47.09921674212531
sample,3,2,17,4473688,200219681,44.754949607572094
sample,3,2,18,4704374,200214564,42.559236149166715
sample,3,2,19,4558072,200205506,43.92328730217513
sample,3,2,20,4484162,200199540,44.64592046406887
case,4,1,packed-trsm+3x2+triangular+packed=4x4+uplo=U+diag=U,ok,partial,raw-tile,portable-solve
sample,4,1,1,16961663,200146188,11.799915373863989
sample,4,1,2,17126603,200184777,11.688527900132911
sample,4,1,3,17120325,200191814,11.6932250994067
