schema,6
run,id,implementation,workload_version,fixture_version,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel
sample,case_id,fork,sample,operations,elapsed_ns,ns_per_op
run,1,jvm-scalar/scalar/scalar/packed-4x4,5,2,1,ns,7a38ed4bdde4f7b167b5dbe3924fffe6ca7555fa,true,kotlin-2.4.10/jvm/Eclipse Adoptium/25.0.1/JMH 1.37/forks=2,1,5,200000000,jmh-average-time,200000000,2
case,1,1,gemm-tile+4x4x32+uniform+packed=4x4,ok,partial,raw-tile,portable-tile
sample,1,1,1,557765,203204963,364.3200326302296
sample,1,1,2,573599,202967104,353.84842721134453
sample,1,1,3,559285,201090897,359.54995574706993
sample,1,1,4,621244,201316994,324.05462909903355
sample,1,1,5,593333,201382442,339.40880079146115
sample,1,1,6,604721,203739914,336.9155594067347
sample,1,1,7,568536,200310183,352.3262959601503
sample,1,1,8,579815,200222531,345.32140596569593
sample,1,1,9,459972,200725018,436.38529736592665
sample,1,1,10,520508,206621040,396.9603541155948
sample,1,2,11,514162,200123163,389.22200201492916
sample,1,2,12,450843,201547719,447.04635316507074
sample,1,2,13,431595,210893477,488.6374425097603
sample,1,2,14,416747,201182683,482.74536589345576
sample,1,2,15,430747,203245178,471.84351370990396
sample,1,2,16,494676,244523820,494.3110642117265
sample,1,2,17,360699,203746521,564.8657772824432
sample,1,2,18,379150,279214655,736.4226691283134
sample,1,2,19,382111,202728650,530.549107458304
sample,1,2,20,526640,200116379,379.98704807838374
case,2,1,gemm-tile+3x2x31+uniform+packed=4x4,ok,partial,raw-tile,portable-tile
sample,2,1,1,565297,204280172,361.36786857174195
sample,2,1,2,392287,209111883,533.0584062178966
sample,2,1,3,493878,203044520,411.1228279048672
sample,2,1,4,555212,200789792,361.6452670331333
sample,2,1,5,559981,202591800,361.78334622067536
sample,2,1,6,600954,200156160,333.06402819516967
sample,2,1,7,595363,202630262,340.3474216570395
sample,2,1,8,600135,201688998,336.07271363943113
sample,2,1,9,616741,203650135,330.20365923458957
sample,2,1,10,578737,200135315,345.8139275698633
sample,2,2,11,560812,200572871,357.6472525552235
sample,2,2,12,532481,200880192,377.25325786272185
sample,2,2,13,524796,203747653,388.24162722276844
sample,2,2,14,530333,200140564,377.38659295197544
sample,2,2,15,503969,203950552,404.68868521674943
sample,2,2,16,594301,202036804,339.9570318744205
sample,2,2,17,528324,200141334,378.82309719036044
sample,2,2,18,551168,203356589,368.9557249332327
sample,2,2,19,439781,201448161,458.0647208496956
sample,2,2,20,490543,201499753,410.7687868341817
case,3,1,packed-trsm+4x4+triangular+packed=4x4+uplo=L+diag=N,ok,partial,raw-tile,portable-solve
sample,3,1,1,1259212,200349804,159.10728614403294
sample,3,1,2,1183944,200529781,169.37438003824505
sample,3,1,3,1497690,200942534,134.16830852846718
sample,3,1,4,1070151,203000772,189.69357782219518
sample,3,1,5,936955,215546723,230.05024040642294
sample,3,1,6,1083667,201238421,185.70134644683284
sample,3,1,7,1125338,240431064,213.65231068354575
sample,3,1,8,977713,203406289,208.04294204945623
sample,3,1,9,1093141,201473243,184.3067298729075
sample,3,1,10,1022462,200527699,196.1223977027997
sample,3,2,11,1307394,214962849,164.4208624179092
sample,3,2,12,1392658,200158999,143.7244456284314
