schema,5
run,id,implementation,workload_version,fixture_version,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,logical_id,configuration,physical_work,actual_kernel
sample,case_id,fork,sample,operations,elapsed_ns,ns_per_op
run,1,jvm-simd/simd(4 lanes)/simd-sparse/packed-8x4,5,2,1,ns,7a38ed4bdde4f7b167b5dbe3924fffe6ca7555fa,true,kotlin-2.4.10/jvm/Eclipse Adoptium/25.0.1,1,5,200000000,jmh-average-time-v1,200000000,2
case,1,1,gemm-tile+4x4x32+uniform+packed=4x4,unsupported,unsupported,arithmetic,gemm-add-v1+4x4x32+uniform,packed=4x4,tiles=1;leftDoubles=128;rightDoubles=128;outputDoubles=16;resetDoubles=16;scratchDoubles=0;triangleDoubles=0,unavailable
case,2,1,gemm-tile+3x2x31+uniform+packed=4x4,unsupported,unsupported,arithmetic,gemm-add-v1+3x2x31+uniform,packed=4x4,tiles=1;leftDoubles=124;rightDoubles=124;outputDoubles=16;resetDoubles=16;scratchDoubles=0;triangleDoubles=0,unavailable
case,3,1,packed-trsm+4x4+triangular+packed=4x4+uplo=L+diag=N,unsupported,unsupported,arithmetic,right-solve-v1+4x4+triangular+uplo=L+diag=N,packed=4x4,tiles=1;leftDoubles=0;rightDoubles=0;outputDoubles=16;resetDoubles=16;scratchDoubles=0;triangleDoubles=16,unavailable
case,4,1,packed-trsm+3x2+triangular+packed=4x4+uplo=U+diag=U,unsupported,unsupported,arithmetic,right-solve-v1+3x2+triangular+uplo=U+diag=U,packed=4x4,tiles=1;leftDoubles=0;rightDoubles=0;outputDoubles=16;resetDoubles=16;scratchDoubles=0;triangleDoubles=16,unavailable
case,5,1,gemm-trsm+4x4x32+triangular+packed=4x4+uplo=L+diag=N,unsupported,unsupported,arithmetic,update-solve-v1+4x4x32+triangular+uplo=L+diag=N,packed=4x4,tiles=1;leftDoubles=128;rightDoubles=128;outputDoubles=16;resetDoubles=16;scratchDoubles=0;triangleDoubles=16,unavailable
case,6,1,gemm-trsm+3x2x31+triangular+packed=4x4+uplo=U+diag=U,unsupported,unsupported,arithmetic,update-solve-v1+3x2x31+triangular+uplo=U+diag=U,packed=4x4,tiles=1;leftDoubles=124;rightDoubles=124;outputDoubles=16;resetDoubles=16;scratchDoubles=0;triangleDoubles=16,unavailable
run,2,jvm-simd/simd(4 lanes)/simd-sparse/packed-8x4,5,2,1,ns,7a38ed4bdde4f7b167b5dbe3924fffe6ca7555fa,true,kotlin-2.4.10/jvm/Eclipse Adoptium/25.0.1/JMH 1.37/forks=2,1,5,200000000,jmh-average-time-v1,200000000,2
case,7,2,gemm-tile+8x4x32+uniform+packed=8x4,ok,partial,raw-tile,gemm-add-v1+8x4x32+uniform,packed=8x4,tiles=1;leftDoubles=256;rightDoubles=128;outputDoubles=32;resetDoubles=32;scratchDoubles=0;triangleDoubles=0,jvm-simd/vector-tile-v1/8x4
sample,7,1,1,4151121,200223827,48.23367639729124
