schema,6
run,id,implementation,workload_version,fixture_version,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel
sample,case_id,fork,sample,operations,elapsed_ns,ns_per_op
run,1,native/c/c-sparse/packed-4x4,5,2,1,ns,7a38ed4bdde4f7b167b5dbe3924fffe6ca7555fa,true,kotlin-native-2.4.10,1,5,200000000,native-calibrated,50000000,1
case,1,1,gemm-tile+4x4x32+uniform+packed=4x4,ok,partial,raw-tile,c-tile
sample,1,1,1,1000000,122464423,122.464423
sample,1,1,2,1000000,150696100,150.6961
sample,1,1,3,1000000,137631588,137.631588
sample,1,1,4,1000000,157902531,157.902531
sample,1,1,5,1000000,179609394,179.609394
sample,1,1,6,1000000,148036886,148.036886
sample,1,1,7,1000000,168758795,168.758795
sample,1,1,8,1000000,111741247,111.741247
sample,1,1,9,1000000,113331975,113.331975
sample,1,1,10,1000000,108734500,108.7345
case,2,1,gemm-tile+3x2x31+uniform+packed=4x4,ok,partial,raw-tile,c-tile
sample,2,1,1,1000000,138895737,138.895737
sample,2,1,2,1000000,109439643,109.439643
sample,2,1,3,1000000,119863807,119.863807
sample,2,1,4,1000000,128602875,128.602875
sample,2,1,5,1000000,152903511,152.903511
sample,2,1,6,1000000,152514883,152.514883
sample,2,1,7,1000000,121840262,121.840262
sample,2,1,8,1000000,139669219,139.669219
sample,2,1,9,1000000,119206432,119.206432
sample,2,1,10,1000000,113575170,113.57517
case,3,1,packed-trsm+4x4+triangular+packed=4x4+uplo=L+diag=N,ok,partial,raw-tile,c-tile
sample,3,1,1,1000000,121448702,121.448702
sample,3,1,2,1000000,120252698,120.252698
sample,3,1,3,1000000,84031769,84.031769
sample,3,1,4,1000000,82000433,82.000433
sample,3,1,5,1000000,83953184,83.953184
sample,3,1,6,1000000,96561909,96.561909
sample,3,1,7,1000000,99348302,99.348302
sample,3,1,8,1000000,84141554,84.141554
sample,3,1,9,1000000,90096834,90.096834
sample,3,1,10,1000000,190083063,190.083063
case,4,1,packed-trsm+3x2+triangular+packed=4x4+uplo=U+diag=U,ok,partial,raw-tile,c-tile
sample,4,1,1,1000000,126076556,126.076556
sample,4,1,2,1000000,103785064,103.785064
sample,4,1,3,1000000,79734814,79.734814
sample,4,1,4,1000000,118846810,118.84681
sample,4,1,5,1000000,107782816,107.782816
sample,4,1,6,1000000,177215130,177.21513
sample,4,1,7,1000000,184373489,184.373489
sample,4,1,8,1000000,106411043,106.411043
sample,4,1,9,1000000,156447311,156.447311
sample,4,1,10,1000000,124293274,124.293274
case,5,1,gemm-trsm+4x4x32+triangular+packed=4x4+uplo=L+diag=N,ok,composed,raw-tile,c-tile
sample,5,1,1,662609,199939081,301.7451936209741
sample,5,1,2,662609,201485214,304.0785953707239
sample,5,1,3,662609,200753755,302.97468793813545
sample,5,1,4,662609,199096821,300.474066908237
sample,5,1,5,662609,274937543,414.9317968817206
sample,5,1,6,662609,186982396,282.1911504371356
sample,5,1,7,662609,189975001,286.7075469847225
sample,5,1,8,662609,204551212,308.70575558134584
sample,5,1,9,662609,209957833,316.8653504555477
sample,5,1,10,662609,195907190,295.66032154709643
case,6,1,gemm-trsm+3x2x31+triangular+packed=4x4+uplo=U+diag=U,ok,composed,raw-tile,c-tile
sample,6,1,1,606513,199947622,329.6674959976126
sample,6,1,2,606513,159633619,263.1990064516342
sample,6,1,3,606513,164667755,271.49913522051463
sample,6,1,4,606513,168358949,277.58506248011173
sample,6,1,5,606513,144344712,237.99112632375562
sample,6,1,6,606513,185482643,305.8180830419134
sample,6,1,7,606513,160482967,264.5993853388138
sample,6,1,8,606513,166040858,273.7630652599367
sample,6,1,9,606513,166735417,274.9082327996267
sample,6,1,10,606513,169051641,278.7271517675631
case,7,1,gemm-tile+8x4x32+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable
case,8,1,gemm-tile+7x2x31+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable
case,9,1,packed-trsm+8x4+triangular+packed=8x4+uplo=L+diag=N,unsupported,unsupported,arithmetic,unavailable
case,10,1,packed-trsm+7x2+triangular+packed=8x4+uplo=U+diag=U,unsupported,unsupported,arithmetic,unavailable
case,11,1,gemm-trsm+8x4x32+triangular+packed=8x4+uplo=L+diag=N,unsupported,unsupported,arithmetic,unavailable
case,12,1,gemm-trsm+7x2x31+triangular+packed=8x4+uplo=U+diag=U,unsupported,unsupported,arithmetic,unavailable
case,13,1,pack-left+4x32+uniform+packed=4x4,ok,unsupported,packing-only,portable-layout
sample,13,1,1,126737,203949503,1609.2341068511957
sample,13,1,2,126737,153935405,1214.6050877013026
sample,13,1,3,126737,204227815,1611.4300875040437
sample,13,1,4,126737,150262610,1185.6254290380868
sample,13,1,5,126737,158578868,1251.2436620718495
sample,13,1,6,126737,169340916,1336.1600479733622
sample,13,1,7,126737,81559498,643.5334432722883
sample,13,1,8,126737,100404087,792.223951963515
sample,13,1,9,126737,87272348,688.6098613664518
sample,13,1,10,126737,81407118,642.3311108831675
case,14,1,pack-left+3x31+uniform+packed=4x4,ok,unsupported,packing-only,portable-layout
sample,14,1,1,335530,233663503,696.4012249277263
sample,14,1,2,335530,383679966,1143.5042052871577
sample,14,1,3,335530,327562653,976.2544422257324
sample,14,1,4,335530,470974649,1403.673737072691
sample,14,1,5,335530,454421921,1354.3406580633625
sample,14,1,6,335530,541319244,1613.3259142252555
sample,14,1,7,335530,373349504,1112.7157154352815
sample,14,1,8,335530,373104440,1111.9853366315979
sample,14,1,9,335530,365227665,1088.5097159717461
