schema,6
run,id,implementation,workload_version,fixture_version,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel
sample,case_id,fork,sample,operations,elapsed_ns,ns_per_op
run,1,onemkl,5,2,1,ns,107ea102c7d2f4adeb9383f78d03d97e462f70b8,true,Intel(R) oneAPI Math Kernel Library Version 2026.1-Product Build 20260612 for Intel(R) 64 architecture applications; compiler=15.2.0,1,5,200000000,vendor-calibrated,50000000,1
case,1,1,gemm-tile+4x4x32+uniform+packed=4x4,ok,partial,vendor-arithmetic,vendor-cblas
sample,1,1,1,524288,128745789,245.5631046295166
sample,1,1,2,524288,128073865,244.2815113067627
sample,1,1,3,524288,116094662,221.4329948425293
sample,1,1,4,524288,114353361,218.11172676086426
sample,1,1,5,524288,113053104,215.63168334960938
sample,1,1,6,524288,121738069,232.19693946838379
sample,1,1,7,524288,117710760,224.51545715332031
sample,1,1,8,524288,117566202,224.2397346496582
sample,1,1,9,524288,117946836,224.96573638916016
sample,1,1,10,524288,117748501,224.58744239807129
case,2,1,gemm-tile+3x2x31+uniform+packed=4x4,ok,partial,vendor-arithmetic,vendor-cblas
sample,2,1,1,524288,145420794,277.3681526184082
sample,2,1,2,524288,123323951,235.22176933288574
sample,2,1,3,524288,116519786,222.24385452270508
sample,2,1,4,524288,114444030,218.28466415405273
sample,2,1,5,524288,115172687,219.67446708679199
sample,2,1,6,524288,114691817,218.75728034973145
sample,2,1,7,524288,116073885,221.39336585998535
sample,2,1,8,524288,114802861,218.96907997131348
sample,2,1,9,524288,114187892,217.79611968994141
sample,2,1,10,524288,114522086,218.43354415893555
case,3,1,packed-trsm+4x4+triangular+packed=4x4+uplo=L+diag=N,ok,partial,vendor-arithmetic,vendor-cblas
sample,3,1,1,524288,165613038,315.88180160522461
sample,3,1,2,524288,159696655,304.59719657897949
sample,3,1,3,524288,160694214,306.4998893737793
sample,3,1,4,524288,162627291,310.18694114685059
sample,3,1,5,524288,163679045,312.19300270080566
sample,3,1,6,524288,160328769,305.80285835266113
sample,3,1,7,524288,162580227,310.0971736907959
sample,3,1,8,524288,163104060,311.09630584716797
sample,3,1,9,524288,166236112,317.07022094726562
sample,3,1,10,524288,163240584,311.35670471191406
case,4,1,packed-trsm+3x2+triangular+packed=4x4+uplo=U+diag=U,ok,partial,vendor-arithmetic,vendor-cblas
sample,4,1,1,524288,143949693,274.5622501373291
sample,4,1,2,524288,144204163,275.0476131439209
sample,4,1,3,524288,146647108,279.70716094970703
sample,4,1,4,524288,180476728,344.23204040527344
sample,4,1,5,524288,186448955,355.62315940856934
sample,4,1,6,524288,157443470,300.29958724975586
sample,4,1,7,524288,143960540,274.58293914794922
sample,4,1,8,524288,142491572,271.78110504150391
sample,4,1,9,524288,144361036,275.34682464599609
sample,4,1,10,524288,145202447,276.95168876647949
case,5,1,gemm-trsm+4x4x32+triangular+packed=4x4+uplo=L+diag=N,ok,composed,vendor-arithmetic,vendor-cblas
sample,5,1,1,262144,120952129,461.39575576782227
sample,5,1,2,262144,120584996,459.99525451660156
sample,5,1,3,262144,120852609,461.01611709594727
sample,5,1,4,262144,119702667,456.62943649291992
sample,5,1,5,262144,122514725,467.35658645629883
sample,5,1,6,262144,121937226,465.15360260009766
sample,5,1,7,262144,119743838,456.78649139404297
sample,5,1,8,262144,120344537,459.07797622680664
sample,5,1,9,262144,130121025,496.37231826782227
sample,5,1,10,262144,152820672,582.964599609375
case,6,1,gemm-trsm+3x2x31+triangular+packed=4x4+uplo=U+diag=U,ok,composed,vendor-arithmetic,vendor-cblas
sample,6,1,1,262144,121823079,464.71816635131836
sample,6,1,2,262144,120572700,459.94834899902344
sample,6,1,3,262144,117103807,446.71557235717773
sample,6,1,4,262144,116975414,446.22579193115234
sample,6,1,5,262144,124929062,476.56655120849609
sample,6,1,6,262144,120134100,458.27522277832031
sample,6,1,7,262144,117161703,446.93642807006836
sample,6,1,8,262144,117221501,447.1645393371582
sample,6,1,9,262144,116249183,443.45544052124023
sample,6,1,10,262144,125499618,478.74304962158203
case,7,1,gemm-tile+8x4x32+uniform+packed=8x4,ok,partial,vendor-arithmetic,vendor-cblas
sample,7,1,1,524288,162587993,310.11198616027832
sample,7,1,2,524288,168736836,321.83997344970703
sample,7,1,3,524288,140963627,268.86678123474121
sample,7,1,4,524288,127600481,243.37860298156738
sample,7,1,5,524288,127088991,242.40301322937012
sample,7,1,6,524288,127040188,242.30992889404297
sample,7,1,7,524288,127222458,242.6575813293457
sample,7,1,8,524288,127100138,242.42427444458008
sample,7,1,9,524288,126209752,240.72599792480469
sample,7,1,10,524288,123781627,236.09471702575684
case,8,1,gemm-tile+7x2x31+uniform+packed=8x4,ok,partial,vendor-arithmetic,vendor-cblas
sample,8,1,1,524288,193425255,368.92939567565918
sample,8,1,2,524288,166826763,318.19679832458496
sample,8,1,3,524288,147991876,282.27210235595703
sample,8,1,4,524288,148480171,283.20345115661621
sample,8,1,5,524288,140249431,267.50456047058105
sample,8,1,6,524288,150308948,286.69156646728516
sample,8,1,7,524288,143331680,273.38348388671875
sample,8,1,8,524288,138261007,263.71194267272949
sample,8,1,9,524288,161427958,307.89939498901367
sample,8,1,10,524288,141125956,269.17639923095703
case,9,1,packed-trsm+8x4+triangular+packed=8x4+uplo=L+diag=N,ok,partial,vendor-arithmetic,vendor-cblas
sample,9,1,1,524288,155235487,296.08819389343262
sample,9,1,2,524288,155393026,296.38867568969727
sample,9,1,3,524288,156341317,298.19739723205566
sample,9,1,4,524288,168625167,321.62698173522949
sample,9,1,5,524288,158210362,301.7623176574707
sample,9,1,6,524288,157300211,300.02634239196777
