run,id,implementation,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel
sample,case_id,fork,sample,operations,elapsed_ns,ns_per_op
run,1,openblas,1,ns,107ea102c7d2f4adeb9383f78d03d97e462f70b8,true,OpenBLAS 0.3.32 NO_LAPACKE DYNAMIC_ARCH NO_AFFINITY Haswell MAX_THREADS=128; compiler=15.2.0,1,5,200000000,vendor-calibrated,50000000,1
case,1,1,gemm-tile+4x4x32+uniform+packed=4x4,ok,partial,vendor-arithmetic,vendor-cblas
sample,1,1,1,524288,109914004,209.64432525634766
sample,1,1,2,524288,109851562,209.52522659301758
sample,1,1,3,524288,125456844,239.28993988037109
sample,1,1,4,524288,160669953,306.45361518859863
sample,1,1,5,524288,153076925,291.9710636138916
sample,1,1,6,524288,148798474,283.81056594848633
sample,1,1,7,524288,139767420,266.58519744873047
sample,1,1,8,524288,141840288,270.53887939453125
sample,1,1,9,524288,144517900,275.64601898193359
sample,1,1,10,524288,144368039,275.36018180847168
case,2,1,gemm-tile+3x2x31+uniform+packed=4x4,ok,partial,vendor-arithmetic,vendor-cblas
sample,2,1,1,1000000,187255131,187.25513100000001
sample,2,1,2,1000000,187046049,187.04604900000001
sample,2,1,3,1000000,187254878,187.25487799999999
sample,2,1,4,1000000,188903730,188.90373
sample,2,1,5,1000000,183003486,183.00348600000001
sample,2,1,6,1000000,185022764,185.022764
sample,2,1,7,1000000,184872798,184.87279799999999
sample,2,1,8,1000000,188210779,188.210779
sample,2,1,9,1000000,189443155,189.44315499999999
sample,2,1,10,1000000,194970574,194.970574
case,3,1,packed-trsm+4x4+triangular+packed=4x4+uplo=L+diag=N,ok,partial,vendor-arithmetic,vendor-cblas
sample,3,1,1,524288,133917911,255.42814445495605
sample,3,1,2,524288,133702417,255.01712226867676
sample,3,1,3,524288,111260824,212.21318054199219
sample,3,1,4,524288,103044613,196.54200172424316
sample,3,1,5,524288,103650267,197.69719505310059
sample,3,1,6,524288,105454517,201.13852882385254
sample,3,1,7,524288,102094803,194.73038291931152
sample,3,1,8,524288,107706325,205.43351173400879
sample,3,1,9,524288,102859081,196.1881275177002
sample,3,1,10,524288,102623679,195.73913383483887
case,4,1,packed-trsm+3x2+triangular+packed=4x4+uplo=U+diag=U,ok,partial,vendor-arithmetic,vendor-cblas
sample,4,1,1,1000000,179301346,179.301346
sample,4,1,2,1000000,180194525,180.194525
sample,4,1,3,1000000,180315434,180.31543400000001
sample,4,1,4,1000000,186183046,186.18304599999999
sample,4,1,5,1000000,184309450,184.30945
sample,4,1,6,1000000,179726975,179.72697500000001
sample,4,1,7,1000000,181146798,181.14679799999999
sample,4,1,8,1000000,180518051,180.51805100000001
sample,4,1,9,1000000,181379786,181.379786
sample,4,1,10,1000000,185936668,185.936668
case,5,1,gemm-trsm+4x4x32+triangular+packed=4x4+uplo=L+diag=N,ok,composed,vendor-arithmetic,vendor-cblas
sample,5,1,1,524288,222403734,424.20145797729492
sample,5,1,2,524288,215857232,411.71499633789062
sample,5,1,3,524288,220341995,420.26900291442871
sample,5,1,4,524288,187602851,357.82404136657715
sample,5,1,5,524288,170995901,326.1487979888916
sample,5,1,6,524288,165506319,315.67825126647949
sample,5,1,7,524288,169237235,322.79440879821777
sample,5,1,8,524288,165001639,314.71565055847168
sample,5,1,9,524288,168026495,320.48510551452637
sample,5,1,10,524288,167011647,318.54943656921387
case,6,1,gemm-trsm+3x2x31+triangular+packed=4x4+uplo=U+diag=U,ok,composed,vendor-arithmetic,vendor-cblas
sample,6,1,1,524288,151019578,288.0469856262207
sample,6,1,2,524288,152339870,290.56524276733398
sample,6,1,3,524288,153533858,292.84259414672852
sample,6,1,4,524288,154259082,294.22584915161133
sample,6,1,5,524288,153684541,293.1299991607666
sample,6,1,6,524288,160867676,306.83074188232422
sample,6,1,7,524288,159393948,304.01982879638672
sample,6,1,8,524288,152815949,291.47329139709473
sample,6,1,9,524288,152060049,290.03152656555176
sample,6,1,10,524288,151723837,289.3902530670166
case,7,1,gemm-tile+8x4x32+uniform+packed=8x4,ok,partial,vendor-arithmetic,vendor-cblas
sample,7,1,1,524288,128731950,245.53670883178711
sample,7,1,2,524288,131684056,251.16740417480469
sample,7,1,3,524288,126006557,240.33843421936035
sample,7,1,4,524288,129255595,246.53548240661621
sample,7,1,5,524288,156449566,298.40386581420898
sample,7,1,6,524288,185610033,354.02304267883301
sample,7,1,7,524288,171073140,326.29611968994141
sample,7,1,8,524288,164643951,314.03341484069824
sample,7,1,9,524288,165941230,316.50777816772461
sample,7,1,10,524288,156195671,297.91959953308105
case,8,1,gemm-tile+7x2x31+uniform+packed=8x4,ok,partial,vendor-arithmetic,vendor-cblas
sample,8,1,1,524288,124712380,237.86998748779297
sample,8,1,2,524288,124570256,237.59890747070312
sample,8,1,3,524288,125174732,238.75185394287109
sample,8,1,4,524288,125940505,240.21245002746582
sample,8,1,5,524288,132031975,251.83100700378418
sample,8,1,6,524288,125671322,239.69902420043945
sample,8,1,7,524288,126571253,241.41550636291504
sample,8,1,8,524288,124235641,236.96068000793457
sample,8,1,9,524288,124294930,237.07376480102539
sample,8,1,10,524288,125258477,238.91158485412598
case,9,1,packed-trsm+8x4+triangular+packed=8x4+uplo=L+diag=N,ok,partial,vendor-arithmetic,vendor-cblas
sample,9,1,1,524288,119580085,228.08091163635254
sample,9,1,2,524288,117958574,224.98812484741211
sample,9,1,3,524288,129095447,246.23002433776855
sample,9,1,4,524288,121921354,232.54652786254883
sample,9,1,5,524288,115372812,220.05617523193359
sample,9,1,6,524288,121903981,232.51339149475098
sample,9,1,7,524288,116912259,222.9924373626709
sample,9,1,8,524288,113291155,216.08572959899902
sample,9,1,9,524288,114534586,218.4573860168457
sample,9,1,10,524288,113578680,216.63414001464844
case,10,1,packed-trsm+7x2+triangular+packed=8x4+uplo=U+diag=U,ok,partial,vendor-arithmetic,vendor-cblas
sample,10,1,1,524288,111797427,213.23666954040527
sample,10,1,2,524288,134176226,255.92084121704102
sample,10,1,3,524288,137556478,262.36816024780273
sample,10,1,4,524288,135353786,258.1668586730957
sample,10,1,5,524288,131539342,250.89138412475586
sample,10,1,6,524288,130973769,249.8126392364502
sample,10,1,7,524288,127210226,242.63425064086914
sample,10,1,8,524288,107801365,205.61478614807129
sample,10,1,9,524288,99531917,189.84206581115723
sample,10,1,10,524288,97356030,185.69189071655273
case,11,1,gemm-trsm+8x4x32+triangular+packed=8x4+uplo=L+diag=N,ok,composed,vendor-arithmetic,vendor-cblas
sample,11,1,1,524288,212822135,405.9260082244873
sample,11,1,2,524288,224803989,428.77958106994629
sample,11,1,3,524288,198509273,378.62639045715332
sample,11,1,4,524288,195773726,373.40874862670898
sample,11,1,5,524288,211507476,403.41849517822266
sample,11,1,6,524288,220323008,420.2327880859375
sample,11,1,7,524288,199013347,379.58783531188965
