case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
iamax+64+uniform,ok,direct,arithmetic,scalar/iamax,10,2,22.283305866706087,22.005472732861595,22.471106409845717
iamax+128+uniform,ok,direct,arithmetic,scalar/iamax,10,2,42.40818203737828,41.52655065434219,42.58064566188613
iamax+256+uniform,ok,direct,arithmetic,scalar/iamax,10,2,76.03674295747365,74.10330669683479,77.68561351091796
iamax+512+uniform,ok,direct,arithmetic,scalar/iamax,10,2,146.2699650990932,144.41959082991636,148.53729987644746
iamax+1024+uniform,ok,direct,arithmetic,scalar/iamax,10,2,318.2129793792276,312.68286597645016,320.75881666591874
iamax+4096+uniform,ok,direct,arithmetic,scalar/iamax,10,2,1150.5377036538666,1120.2288291213652,1158.7002286475065
iamax+8+uniform,ok,direct,arithmetic,scalar/iamax,10,2,5.025405719156196,4.997841896576884,5.0830642109190824
iamax+16+uniform,ok,direct,arithmetic,scalar/iamax,10,2,8.72363984818189,8.351177212353106,9.244915189756767
iamax+32+uniform,ok,direct,arithmetic,scalar/iamax,10,2,13.515045949589592,13.192889960121033,13.558946902326978
iamax+96+uniform,ok,direct,arithmetic,scalar/iamax,10,2,31.31886435204868,30.76313113755909,31.370922111191454
iamax+192+uniform,ok,direct,arithmetic,scalar/iamax,10,2,58.78082288357213,57.23994073469313,59.1767568058146
iamax+384+uniform,ok,direct,arithmetic,scalar/iamax,10,2,111.40598600521403,109.55482007665904,111.83403137850885
iamax+768+uniform,ok,direct,arithmetic,scalar/iamax,10,2,255.925148141769,251.81579979977965,261.22379160908696
iamax+16384+uniform,ok,direct,arithmetic,scalar/iamax,10,2,4519.515907692424,4366.375512429132,4543.344212437585
iamax+262144+uniform,ok,direct,arithmetic,scalar/iamax,10,2,72484.15242577842,70428.03904326416,72985.85271600437
