case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
iamax+64+uniform,ok,direct,arithmetic,simd(4 lanes)/iamax,10,2,22.092631520743435,21.765355654047625,22.686285977714675
iamax+128+uniform,ok,direct,arithmetic,simd(4 lanes)/iamax,10,2,48.18731320298026,46.89548443693821,48.418663740022694
iamax+256+uniform,ok,direct,arithmetic,simd(4 lanes)/iamax,10,2,66.95035385922202,66.397264225929,71.53193493349532
iamax+512+uniform,ok,direct,arithmetic,simd(4 lanes)/iamax,10,2,129.16040054863862,126.25837588874367,146.69389902774023
iamax+1024+uniform,ok,direct,arithmetic,simd(4 lanes)/iamax,10,2,200.53750421717717,194.29932363531222,201.14927904236882
iamax+4096+uniform,ok,direct,arithmetic,simd(4 lanes)/iamax,10,2,626.0788234991641,608.7581268573721,635.7113486189302
iamax+8+uniform,ok,direct,arithmetic,simd(4 lanes)/iamax,10,2,11.629252688130546,11.332820297053724,12.052634359907925
iamax+16+uniform,ok,direct,arithmetic,simd(4 lanes)/iamax,10,2,16.256651628190596,15.71964211649734,16.506743152000336
iamax+32+uniform,ok,direct,arithmetic,simd(4 lanes)/iamax,10,2,18.393186077661824,17.985934128920306,18.802880690949465
iamax+96+uniform,ok,direct,arithmetic,simd(4 lanes)/iamax,10,2,27.73786103467981,27.14043786537783,28.599567919231408
iamax+192+uniform,ok,direct,arithmetic,simd(4 lanes)/iamax,10,2,57.88367520598349,56.18755415175124,58.27372001791656
iamax+384+uniform,ok,direct,arithmetic,simd(4 lanes)/iamax,10,2,93.9561869715873,90.2871259264738,97.02169780647624
iamax+768+uniform,ok,direct,arithmetic,simd(4 lanes)/iamax,10,2,159.91416659999106,158.9706735831945,165.3050305816081
iamax+16384+uniform,ok,direct,arithmetic,simd(4 lanes)/iamax,10,2,2374.931684547805,2301.1384263568566,2379.0309120296643
iamax+262144+uniform,ok,direct,arithmetic,simd(4 lanes)/iamax,10,2,54454.23805245895,52896.874207188164,55546.567147613765
