case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
dot+4096+uniform,ok,direct,arithmetic,scalar/dot,10,2,1680.4883638412084,1663.1323512305366,1706.8912787723784
dot+1+uniform,ok,direct,arithmetic,scalar/dot,10,2,3.191859963254883,3.1350550640672195,3.2419324242530747
dot+7+uniform,ok,direct,arithmetic,scalar/dot,10,2,5.629037485019052,5.508913103374457,5.654141506077454
dot+8+uniform,ok,direct,arithmetic,scalar/dot,10,2,5.726770931810918,5.577055940018329,5.7913494127545295
dot+9+uniform,ok,direct,arithmetic,scalar/dot,10,2,6.301469234181969,5.912144027373878,6.769465357960792
dot+32+uniform,ok,direct,arithmetic,scalar/dot,10,2,11.089313194402417,11.003172923390606,11.827100601728285
dot+47+uniform,ok,direct,arithmetic,scalar/dot,10,2,14.238178426829533,13.923829063542172,14.394798681052725
dot+48+uniform,ok,direct,arithmetic,scalar/dot,10,2,14.289849479123385,13.708307275077038,14.660182501195713
dot+49+uniform,ok,direct,arithmetic,scalar/dot,10,2,14.808066560743455,14.24075249327455,17.593722370088493
dot+127+uniform,ok,direct,arithmetic,scalar/dot,10,2,38.702153417756755,38.34551647065492,39.215945399728064
dot+128+uniform,ok,direct,arithmetic,scalar/dot,10,2,38.894634252997065,37.19061034451303,39.20689935435326
dot+129+uniform,ok,direct,arithmetic,scalar/dot,10,2,39.18405521698081,37.8647638460298,39.770007449632516
dot+1024+uniform,ok,direct,arithmetic,scalar/dot,10,2,394.1663569890395,389.46549657534246,397.23164167971066
dot+65536+uniform,ok,direct,arithmetic,scalar/dot,10,2,27278.99695520706,27123.847581628506,27508.795107874124
dot+262144+uniform,ok,direct,arithmetic,scalar/dot,10,2,110197.50636468435,109471.76914660832,111187.40277777778
dot+192+uniform,ok,direct,arithmetic,scalar/dot,10,2,58.18249482738414,57.69672916712905,60.150088973799456
dot+256+uniform,ok,direct,arithmetic,scalar/dot,10,2,82.58273359293396,80.80117444077852,84.03752467623852
dot+384+uniform,ok,direct,arithmetic,scalar/dot,10,2,134.77627428810325,132.57010168858542,135.32381834656425
dot+512+uniform,ok,direct,arithmetic,scalar/dot,10,2,187.4346649994269,184.1160455395122,189.04416700190188
dot+768+uniform,ok,direct,arithmetic,scalar/dot,10,2,291.12532598954476,288.4192016893269,296.5177750824518
dot+16384+uniform,ok,direct,arithmetic,scalar/dot,10,2,6740.521380343728,6631.727757712317,6821.407905946498
asum+4096+uniform,ok,direct,arithmetic,scalar/asum,10,2,1685.1580428152495,1673.3149975353613,1695.4679944787406
asum+1+uniform,ok,direct,arithmetic,scalar/asum,10,2,2.0024884569675407,1.967793946515792,2.036400714819983
asum+7+uniform,ok,direct,arithmetic,scalar/asum,10,2,3.886825693006083,3.71368624461372,4.031992964822725
asum+8+uniform,ok,direct,arithmetic,scalar/asum,10,2,4.107919157435774,3.981234971997991,4.224114592381653
asum+9+uniform,ok,direct,arithmetic,scalar/asum,10,2,4.145611910983327,3.9885081609608615,4.189577496861658
asum+32+uniform,ok,direct,arithmetic,scalar/asum,10,2,9.538058510606442,9.18856365499102,9.608944684446044
asum+127+uniform,ok,direct,arithmetic,scalar/asum,10,2,34.749273570643766,33.568892907130724,35.12277642618208
asum+128+uniform,ok,direct,arithmetic,scalar/asum,10,2,35.95718835440072,34.8085772941744,36.13007989790973
asum+129+uniform,ok,direct,arithmetic,scalar/asum,10,2,36.574234506443176,35.146155619825294,36.69097988400173
asum+1024+uniform,ok,direct,arithmetic,scalar/asum,10,2,396.42921764396715,391.9652490744187,400.787935452871
asum+65536+uniform,ok,direct,arithmetic,scalar/asum,10,2,27131.718740201235,26622.005319856366,28282.18985732448
asum+262144+uniform,ok,direct,arithmetic,scalar/asum,10,2,109913.57263969991,109587.05856595511,111006.04490022174
asum+192+uniform,ok,direct,arithmetic,scalar/asum,10,2,55.489734567003374,54.34540316256922,56.97265519250734
asum+256+uniform,ok,direct,arithmetic,scalar/asum,10,2,79.81900995049108,78.89211962358969,80.73278271349959
asum+384+uniform,ok,direct,arithmetic,scalar/asum,10,2,134.10663996076732,131.85836631654396,135.6593116220551
asum+512+uniform,ok,direct,arithmetic,scalar/asum,10,2,186.39454310737398,183.94379967444064,188.1752509574834
asum+768+uniform,ok,direct,arithmetic,scalar/asum,10,2,292.65663484204083,288.6468259171262,293.74498153156657
asum+16384+uniform,ok,direct,arithmetic,scalar/asum,10,2,6782.8973370515205,6672.740116007734,6811.9653963933315
sum+4096+uniform,ok,direct,arithmetic,scalar/sum,10,2,1628.0852229838758,1617.8354051063347,1670.696577915032
sum+1+uniform,ok,direct,arithmetic,scalar/sum,10,2,1.911455295164404,1.8657869306139614,1.9300345036471425
sum+7+uniform,ok,direct,arithmetic,scalar/sum,10,2,3.032551862929515,2.94750573876422,3.0738953582074524
sum+8+uniform,ok,direct,arithmetic,scalar/sum,10,2,3.237159505875553,3.162274440197891,3.3705677616550918
sum+9+uniform,ok,direct,arithmetic,scalar/sum,10,2,3.063745077104654,2.995776337169783,3.0989126018981104
sum+32+uniform,ok,direct,arithmetic,scalar/sum,10,2,6.969986646135267,6.841288129494596,8.179170515855073
sum+127+uniform,ok,direct,arithmetic,scalar/sum,10,2,28.229693759388596,28.106034479610784,28.340713343576283
sum+128+uniform,ok,direct,arithmetic,scalar/sum,10,2,28.625588756815155,28.357699713544157,28.752767215472417
sum+129+uniform,ok,direct,arithmetic,scalar/sum,10,2,28.779233546709683,28.30385580810024,28.93492911774102
sum+1024+uniform,ok,direct,arithmetic,scalar/sum,10,2,383.6246003361148,382.2400077887418,410.45841120346233
sum+65536+uniform,ok,direct,arithmetic,scalar/sum,10,2,26451.024066721184,26370.070346462915,26719.835446416655
sum+262144+uniform,ok,direct,arithmetic,scalar/sum,10,2,106533.40818550187,106171.36797454931,107592.15752688173
sum+192+uniform,ok,direct,arithmetic,scalar/sum,10,2,49.283657502492524,48.83354665128209,49.941428723234154
sum+256+uniform,ok,direct,arithmetic,scalar/sum,10,2,73.03962554079723,71.96453713319839,73.62066701680672
sum+384+uniform,ok,direct,arithmetic,scalar/sum,10,2,124.41698764437913,124.09984896732337,126.10971166477131
sum+512+uniform,ok,direct,arithmetic,scalar/sum,10,2,176.71508415662782,176.14060052311234,182.84833731884785
sum+768+uniform,ok,direct,arithmetic,scalar/sum,10,2,279.23705133649906,278.00911654004807,283.02288155836004
sum+16384+uniform,ok,direct,arithmetic,scalar/sum,10,2,6603.639119790547,6577.3785310734465,6691.050891095731
nrm2+4096+uniform,ok,direct,arithmetic,scalar/nrm2,10,2,1633.5364175574205,1624.5563853015901,1687.8308200645668
nrm2+8+uniform,ok,direct,arithmetic,scalar/nrm2,10,2,4.8147163615108415,4.727236313731157,4.91837644982852
nrm2+16+uniform,ok,direct,arithmetic,scalar/nrm2,10,2,6.281732510491889,6.090252898671879,6.307034740828861
nrm2+32+uniform,ok,direct,arithmetic,scalar/nrm2,10,2,10.137157469232827,9.899449832277641,10.230211769770294
nrm2+64+uniform,ok,direct,arithmetic,scalar/nrm2,10,2,17.30419792794529,16.787985760792317,17.380289200172907
nrm2+96+uniform,ok,direct,arithmetic,scalar/nrm2,10,2,25.851848397655562,25.764189790564796,25.90954531069907
nrm2+128+uniform,ok,direct,arithmetic,scalar/nrm2,10,2,36.7461734643058,36.54230166441369,37.02012626766971
nrm2+192+uniform,ok,direct,arithmetic,scalar/nrm2,10,2,56.124293927322725,55.237057864218244,56.33011491587777
nrm2+256+uniform,ok,direct,arithmetic,scalar/nrm2,10,2,79.8198533816593,78.57198015596676,80.50783821613012
nrm2+384+uniform,ok,direct,arithmetic,scalar/nrm2,10,2,131.62855860835816,131.12877528786947,133.3776377133375
nrm2+512+uniform,ok,direct,arithmetic,scalar/nrm2,10,2,183.07123798964778,181.37359403408215,210.35988454532364
nrm2+768+uniform,ok,direct,arithmetic,scalar/nrm2,10,2,287.0149138557541,286.549707032928,288.79276880041203
nrm2+1024+uniform,ok,direct,arithmetic,scalar/nrm2,10,2,389.67667199709945,385.47260186928844,392.16538739787904
nrm2+16384+uniform,ok,direct,arithmetic,scalar/nrm2,10,2,6581.9494059046465,6566.103329506314,6669.307500083297
nrm2+65536+uniform,ok,direct,arithmetic,scalar/nrm2,10,2,26500.777978437305,26413.045652460747,27918.89153771086
nrm2+262144+uniform,ok,direct,arithmetic,scalar/nrm2,10,2,106136.56335093436,105842.31025369979,107634.55806451612
iamax+64+uniform,ok,direct,arithmetic,scalar/iamax,10,2,23.03111402841465,22.58701512663834,23.277142614054004
iamax+128+uniform,ok,direct,arithmetic,scalar/iamax,10,2,43.52715371877271,42.16022758650176,44.263512708566836
iamax+256+uniform,ok,direct,arithmetic,scalar/iamax,10,2,77.57358762258241,75.57789501846975,78.40538675954093
iamax+512+uniform,ok,direct,arithmetic,scalar/iamax,10,2,149.00447225862857,145.22672736296173,150.10179027519456
iamax+1024+uniform,ok,direct,arithmetic,scalar/iamax,10,2,324.5753817072932,315.5127354349152,330.581144028937
iamax+4096+uniform,ok,direct,arithmetic,scalar/iamax,10,2,1165.7131728286017,1145.4514585336813,1188.2778803512167
iamax+8+uniform,ok,direct,arithmetic,scalar/iamax,10,2,5.078854978248387,4.973850560339279,5.910304885944812
iamax+16+uniform,ok,direct,arithmetic,scalar/iamax,10,2,8.993487478306088,8.662190009987961,9.202031317205147
iamax+32+uniform,ok,direct,arithmetic,scalar/iamax,10,2,13.605007753180978,13.229757399856302,13.685448322140314
iamax+96+uniform,ok,direct,arithmetic,scalar/iamax,10,2,31.578437440921114,30.7746518715235,31.73244225783905
iamax+192+uniform,ok,direct,arithmetic,scalar/iamax,10,2,59.071312205014415,57.643479438164704,59.397052388500406
