case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
dot+4096+uniform,ok,direct,arithmetic,simd(4 lanes)/dot,10,2,563.1620755605027,547.9019083938119,567.4012618385981
dot+1+uniform,ok,direct,arithmetic,scalar/dot,10,2,3.3135867045845537,3.2764865673042745,3.3893442720137132
dot+7+uniform,ok,direct,arithmetic,simd(4 lanes)/dot,10,2,8.324313357921197,8.077691017664378,8.359401596724148
dot+8+uniform,ok,direct,arithmetic,simd(4 lanes)/dot,10,2,4.80107931459467,4.727335009168533,4.865832359478026
dot+9+uniform,ok,direct,arithmetic,simd(4 lanes)/dot,10,2,7.328933910461782,7.051971914964825,7.348949282948054
dot+32+uniform,ok,direct,arithmetic,simd(4 lanes)/dot,10,2,6.883454836665904,6.613483942832803,6.903315398482529
dot+47+uniform,ok,direct,arithmetic,simd(4 lanes)/dot,10,2,10.80366147487656,10.680732217206149,10.82995617709825
dot+48+uniform,ok,direct,arithmetic,simd(4 lanes)/dot,10,2,8.564514056353623,8.232252558548295,8.675938657616094
dot+49+uniform,ok,direct,arithmetic,simd(4 lanes)/dot,10,2,10.200349931060707,9.677137798319189,10.732264259078855
dot+127+uniform,ok,direct,arithmetic,simd(4 lanes)/dot,10,2,16.734680279891577,16.40091036999546,17.538012584837915
dot+128+uniform,ok,direct,arithmetic,simd(4 lanes)/dot,10,2,16.067130162786846,15.528572228672777,16.249137336766363
dot+129+uniform,ok,direct,arithmetic,simd(4 lanes)/dot,10,2,16.893914068124964,16.570455757360875,17.22735941561658
dot+1024+uniform,ok,direct,arithmetic,simd(4 lanes)/dot,10,2,81.6974548362343,67.417218325707,96.16033415339176
dot+65536+uniform,ok,direct,arithmetic,simd(4 lanes)/dot,10,2,9791.800491103964,9634.223382749326,9836.01025515211
dot+262144+uniform,ok,direct,arithmetic,simd(4 lanes)/dot,10,2,59945.50256848794,56831.69501133787,63489.37634749524
dot+192+uniform,ok,direct,arithmetic,simd(4 lanes)/dot,10,2,20.513714421268844,19.945854966276265,22.41197580407312
dot+256+uniform,ok,direct,arithmetic,simd(4 lanes)/dot,10,2,25.450596732227588,24.769786611864443,25.62217527160173
dot+384+uniform,ok,direct,arithmetic,simd(4 lanes)/dot,10,2,35.469399104732204,34.43629581787607,40.35050370759273
dot+512+uniform,ok,direct,arithmetic,simd(4 lanes)/dot,10,2,40.37141355058078,36.51123695014866,44.63607116319063
dot+768+uniform,ok,direct,arithmetic,simd(4 lanes)/dot,10,2,58.46862544428836,51.01554520607292,74.34338434829229
dot+16384+uniform,ok,direct,arithmetic,simd(4 lanes)/dot,10,2,2221.7418578119714,2149.8732961685946,2237.619052942229
asum+4096+uniform,ok,direct,arithmetic,simd(4 lanes)/asum,10,2,253.43263518797107,250.33360647034942,326.9127902227015
asum+1+uniform,ok,direct,arithmetic,scalar/asum,10,2,2.171849340301031,2.1240849516368505,2.18411983485621
asum+7+uniform,ok,direct,arithmetic,simd(4 lanes)/asum,10,2,5.554641532499856,5.373957172152514,5.559673918484677
asum+8+uniform,ok,direct,arithmetic,simd(4 lanes)/asum,10,2,3.5807254880479737,3.5039230229941323,3.6121619288763167
asum+9+uniform,ok,direct,arithmetic,simd(4 lanes)/asum,10,2,4.892828319368878,4.694523012838158,5.267521829603142
asum+32+uniform,ok,direct,arithmetic,simd(4 lanes)/asum,10,2,5.174343544839184,5.075881228891312,5.256218091221926
asum+127+uniform,ok,direct,arithmetic,simd(4 lanes)/asum,10,2,14.040014292598991,13.653351200527121,14.236524386834471
asum+128+uniform,ok,direct,arithmetic,simd(4 lanes)/asum,10,2,13.587405071387458,13.223017682259448,13.673687890878297
asum+129+uniform,ok,direct,arithmetic,simd(4 lanes)/asum,10,2,14.200849951100416,13.886374236730974,14.36820320840571
asum+1024+uniform,ok,direct,arithmetic,simd(4 lanes)/asum,10,2,67.9892704925194,65.7905616269449,88.69679002937488
asum+65536+uniform,ok,direct,arithmetic,simd(4 lanes)/asum,10,2,5688.600044981722,5544.058419434365,5735.9037656903765
asum+262144+uniform,ok,direct,arithmetic,simd(4 lanes)/asum,10,2,27824.03424080564,27257.820781696853,30577.06080048885
asum+192+uniform,ok,direct,arithmetic,simd(4 lanes)/asum,10,2,16.987954437288685,15.944031032506965,23.017309448395338
asum+256+uniform,ok,direct,arithmetic,simd(4 lanes)/asum,10,2,17.75304276150814,16.616668824250322,18.774430789095646
asum+384+uniform,ok,direct,arithmetic,simd(4 lanes)/asum,10,2,30.166326845609277,29.892930770616445,36.67988433077879
asum+512+uniform,ok,direct,arithmetic,simd(4 lanes)/asum,10,2,33.25133566765821,32.990014085973876,42.62334730306426
asum+768+uniform,ok,direct,arithmetic,simd(4 lanes)/asum,10,2,48.83162192066666,45.30966821238715,68.61724004373592
asum+16384+uniform,ok,direct,arithmetic,simd(4 lanes)/asum,10,2,1433.036525679705,1404.736926694038,1444.745367896599
sum+4096+uniform,ok,direct,arithmetic,simd(4 lanes)/sum,10,2,156.74403174513964,156.20552881895318,197.45101635516323
sum+1+uniform,ok,direct,arithmetic,scalar/sum,10,2,2.063360503573251,2.0381559194427887,2.0844901831446347
sum+7+uniform,ok,direct,arithmetic,simd(4 lanes)/sum,10,2,5.09745543697459,4.976891146564297,5.156054877879907
sum+8+uniform,ok,direct,arithmetic,simd(4 lanes)/sum,10,2,3.3997694726690777,3.3205484299205734,3.472850730151771
sum+9+uniform,ok,direct,arithmetic,simd(4 lanes)/sum,10,2,4.670008010093428,4.535729153212924,4.714558702618884
sum+32+uniform,ok,direct,arithmetic,simd(4 lanes)/sum,10,2,4.172076444990417,4.149503982364554,4.685468267477979
sum+127+uniform,ok,direct,arithmetic,simd(4 lanes)/sum,10,2,11.255228965077427,10.993137485210713,11.297854623932269
sum+128+uniform,ok,direct,arithmetic,simd(4 lanes)/sum,10,2,9.225481337482057,8.895439977881535,9.62877608417971
sum+129+uniform,ok,direct,arithmetic,simd(4 lanes)/sum,10,2,10.745959637264704,10.040560440350289,11.378791830356025
