case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
dot+4096+uniform,ok,direct,arithmetic,scalar/dot,5,1,2149.144651448129,2143.603801405616,2158.9998277958953
dot+1+uniform,ok,direct,arithmetic,scalar/dot,5,1,12.766318,12.554523,12.948754
dot+7+uniform,ok,direct,arithmetic,scalar/dot,5,1,14.426727,14.352837,14.484177
dot+8+uniform,ok,direct,arithmetic,scalar/dot,5,1,14.700786,14.430552,14.818173
dot+9+uniform,ok,direct,arithmetic,scalar/dot,5,1,15.323142,15.079987,15.595764
dot+32+uniform,ok,direct,arithmetic,scalar/dot,5,1,29.029807,26.353299,29.58964
dot+47+uniform,ok,direct,arithmetic,scalar/dot,5,1,35.314894,33.346409,36.162523
dot+48+uniform,ok,direct,arithmetic,scalar/dot,5,1,35.753974,35.572101,35.96871
dot+49+uniform,ok,direct,arithmetic,scalar/dot,5,1,37.526379,35.918515,38.253159
dot+127+uniform,ok,direct,arithmetic,scalar/dot,5,1,89.297607,88.871021,89.95918
dot+128+uniform,ok,direct,arithmetic,scalar/dot,5,1,90.415219,90.210297,90.607978
dot+129+uniform,ok,direct,arithmetic,scalar/dot,5,1,91.348398,91.113021,91.743914
dot+1024+uniform,ok,direct,arithmetic,scalar/dot,5,1,534.4363622047672,528.4936154499866,537.0339197037287
dot+65536+uniform,ok,direct,arithmetic,scalar/dot,5,1,33280.91061638146,33005.210001661406,33677.22794484134
dot+262144+uniform,ok,direct,arithmetic,scalar/dot,5,1,132569.12450331126,132358.1238410596,133149.76953642385
dot+192+uniform,ok,direct,arithmetic,scalar/dot,5,1,121.901964,119.203011,123.295282
dot+256+uniform,ok,direct,arithmetic,scalar/dot,5,1,151.295667,151.039352,153.22801
dot+384+uniform,ok,direct,arithmetic,scalar/dot,5,1,216.81509110748942,213.4252533587404,220.64755152339683
dot+512+uniform,ok,direct,arithmetic,scalar/dot,5,1,278.3488623568266,276.9324139355184,283.060435244265
dot+768+uniform,ok,direct,arithmetic,scalar/dot,5,1,414.7810996130585,404.4412921896339,420.573913149509
dot+16384+uniform,ok,direct,arithmetic,scalar/dot,5,1,8342.733046377178,8313.385702831582,8392.807570578554
dot+16+uniform,ok,direct,arithmetic,scalar/dot,5,1,18.749538,17.25456,20.600075
dot+24+uniform,ok,direct,arithmetic,scalar/dot,5,1,22.783216,22.537751,23.438544
dot+40+uniform,ok,direct,arithmetic,scalar/dot,5,1,35.074876,32.388957,42.344164
dot+64+uniform,ok,direct,arithmetic,scalar/dot,5,1,54.9793,47.426497,59.113966
dot+96+uniform,ok,direct,arithmetic,scalar/dot,5,1,76.451621,69.094148,79.996883
asum+4096+uniform,ok,direct,arithmetic,scalar/asum,5,1,2239.7925918637325,2209.238599713558,2247.6130954333257
asum+1+uniform,ok,direct,arithmetic,scalar/asum,5,1,16.071369,15.561267,16.701149
asum+7+uniform,ok,direct,arithmetic,scalar/asum,5,1,18.024554,17.553293,18.872522
asum+8+uniform,ok,direct,arithmetic,scalar/asum,5,1,17.950152,16.017974,18.637606
asum+9+uniform,ok,direct,arithmetic,scalar/asum,5,1,18.494146,17.162193,21.491086
asum+32+uniform,ok,direct,arithmetic,scalar/asum,5,1,28.953137,28.038657,32.164796
asum+127+uniform,ok,direct,arithmetic,scalar/asum,5,1,83.971317,82.408421,106.94614
asum+128+uniform,ok,direct,arithmetic,scalar/asum,5,1,81.991706,76.921753,84.125469
asum+129+uniform,ok,direct,arithmetic,scalar/asum,5,1,79.879935,78.092799,82.02328
asum+1024+uniform,ok,direct,arithmetic,scalar/asum,5,1,565.1232526369752,559.2664411789134,579.6835400622621
asum+65536+uniform,ok,direct,arithmetic,scalar/asum,5,1,34207.700212615164,34096.336286321755,35441.04394046775
asum+262144+uniform,ok,direct,arithmetic,scalar/asum,5,1,133581.33977348433,132539.54696868753,134637.6189207195
asum+192+uniform,ok,direct,arithmetic,scalar/asum,5,1,118.304599,112.214344,120.711114
asum+256+uniform,ok,direct,arithmetic,scalar/asum,5,1,156.473099,151.766736,157.201816
asum+384+uniform,ok,direct,arithmetic,scalar/asum,5,1,219.9570588442216,212.21017118260863,221.18611138648427
asum+512+uniform,ok,direct,arithmetic,scalar/asum,5,1,286.8873252607805,281.7572254826671,287.261921089993
asum+768+uniform,ok,direct,arithmetic,scalar/asum,5,1,440.7192570421126,422.9487899972828,444.87387914928036
asum+16384+uniform,ok,direct,arithmetic,scalar/asum,5,1,8932.22826871055,8626.95162308386,9031.22565374211
asum+16+uniform,ok,direct,arithmetic,scalar/asum,5,1,18.904922,17.875632,19.249621
asum+24+uniform,ok,direct,arithmetic,scalar/asum,5,1,23.374921,23.313471,25.025276
asum+40+uniform,ok,direct,arithmetic,scalar/asum,5,1,31.185997,29.953176,32.326363
asum+48+uniform,ok,direct,arithmetic,scalar/asum,5,1,38.234131,35.631788,39.605222
asum+64+uniform,ok,direct,arithmetic,scalar/asum,5,1,46.533407,43.79356,50.137194
asum+96+uniform,ok,direct,arithmetic,scalar/asum,5,1,64.521351,64.039648,64.825226
sum+4096+uniform,ok,direct,arithmetic,scalar/sum,5,1,3281.5727310632383,3162.9005281445448,3490.0758443363447
sum+1+uniform,ok,direct,arithmetic,scalar/sum,5,1,28.867765,19.355569,33.128674
