case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
dot+4096+uniform,ok,direct,arithmetic,oneMKL/cblas_ddot,10,2,2868.3095238462465,2811.258907896768,3019.5984825630508
dot+1+uniform,ok,direct,arithmetic,oneMKL/cblas_ddot,10,2,81.0077849863591,79.358338287435,85.61069301934758
dot+7+uniform,ok,direct,arithmetic,oneMKL/cblas_ddot,10,2,92.09431480197307,89.92674489027549,97.52749315508959
dot+8+uniform,ok,direct,arithmetic,oneMKL/cblas_ddot,10,2,94.73238548053804,90.53656080393007,102.21595729199377
dot+9+uniform,ok,direct,arithmetic,oneMKL/cblas_ddot,10,2,98.45028743984801,90.70341378944765,102.42223901722636
dot+32+uniform,ok,direct,arithmetic,oneMKL/cblas_ddot,10,2,107.30076544448745,99.55309705902249,112.32711499568705
dot+47+uniform,ok,direct,arithmetic,oneMKL/cblas_ddot,10,2,109.26054057797215,106.07948551119324,113.52848626786664
dot+48+uniform,ok,direct,arithmetic,oneMKL/cblas_ddot,10,2,98.63348528737339,93.47771006456627,103.24384446259447
dot+49+uniform,ok,direct,arithmetic,oneMKL/cblas_ddot,10,2,101.49668851105731,97.73942114530648,105.70100809954567
dot+127+uniform,ok,direct,arithmetic,oneMKL/cblas_ddot,10,2,127.51855402763142,122.60797577469931,137.68123930118506
dot+128+uniform,ok,direct,arithmetic,oneMKL/cblas_ddot,10,2,124.47943920667223,120.40369805066327,128.10418987710335
dot+129+uniform,ok,direct,arithmetic,oneMKL/cblas_ddot,10,2,123.69710006649089,119.37267407655989,133.98646080394374
dot+1024+uniform,ok,direct,arithmetic,oneMKL/cblas_ddot,10,2,446.8668209745822,429.3067768474512,550.149686309226
dot+65536+uniform,ok,direct,arithmetic,oneMKL/cblas_ddot,10,2,62976.53843072742,61051.59835315645,66757.65688562854
dot+262144+uniform,ok,direct,arithmetic,oneMKL/cblas_ddot,10,2,336793.38525071746,303038.8547655068,379158.26325757575
dot+192+uniform,ok,direct,arithmetic,oneMKL/cblas_ddot,10,2,198.8766397180255,195.15576539049582,208.3867070398689
dot+256+uniform,ok,direct,arithmetic,oneMKL/cblas_ddot,10,2,204.09977470978322,184.08518738244047,227.87439378857258
dot+384+uniform,ok,direct,arithmetic,oneMKL/cblas_ddot,10,2,242.21368003105445,234.42857795419647,274.27154225843174
dot+512+uniform,ok,direct,arithmetic,oneMKL/cblas_ddot,10,2,279.04778029434806,270.73762790842414,323.74127771082874
dot+768+uniform,ok,direct,arithmetic,oneMKL/cblas_ddot,10,2,342.34759753633756,319.6534374765494,397.3571799939674
dot+16384+uniform,ok,direct,arithmetic,oneMKL/cblas_ddot,10,2,11042.852967470695,10569.433795978679,11370.719357037373
dot+16+uniform,ok,direct,arithmetic,oneMKL/cblas_ddot,10,2,90.56333578285954,86.76802558813287,93.41522899840447
dot+24+uniform,ok,direct,arithmetic,oneMKL/cblas_ddot,10,2,88.87726494308316,85.15394396895434,90.74558185170038
dot+40+uniform,ok,direct,arithmetic,oneMKL/cblas_ddot,10,2,93.12088465482864,89.45500160108043,95.4812480631612
dot+64+uniform,ok,direct,arithmetic,oneMKL/cblas_ddot,10,2,100.36767566174703,97.23559391617616,102.79227466225129
dot+96+uniform,ok,direct,arithmetic,oneMKL/cblas_ddot,10,2,103.89953615000556,99.73409088984413,109.39573210685691
asum+4096+uniform,ok,direct,arithmetic,oneMKL/cblas_dasum,10,2,1223.938046887932,1058.7055270534722,1477.931886990297
asum+1+uniform,ok,direct,arithmetic,oneMKL/cblas_dasum,10,2,54.702895320604625,52.53953822208709,60.41939899619346
asum+7+uniform,ok,direct,arithmetic,oneMKL/cblas_dasum,10,2,60.60177220539558,57.78594957257457,63.28145463859336
asum+8+uniform,ok,direct,arithmetic,oneMKL/cblas_dasum,10,2,57.75487558641794,53.68387077455648,78.92600121831734
asum+9+uniform,ok,direct,arithmetic,oneMKL/cblas_dasum,10,2,62.205827979577926,60.218642726065646,77.44294969849902
asum+32+uniform,ok,direct,arithmetic,oneMKL/cblas_dasum,10,2,63.55117421272108,59.440846962727846,77.05691017389178
asum+127+uniform,ok,direct,arithmetic,oneMKL/cblas_dasum,10,2,80.60154147232589,76.3611108154586,90.3425799651608
asum+128+uniform,ok,direct,arithmetic,oneMKL/cblas_dasum,10,2,75.92654296078751,71.42260737152843,82.86360813345424
asum+129+uniform,ok,direct,arithmetic,oneMKL/cblas_dasum,10,2,74.42175452017531,72.16772950490393,78.33198887811551
asum+1024+uniform,ok,direct,arithmetic,oneMKL/cblas_dasum,10,2,228.66664879586614,220.4298767792977,282.2069704027883
asum+65536+uniform,ok,direct,arithmetic,oneMKL/cblas_dasum,10,2,26349.777988299178,22912.224994277865,27703.773180182674
asum+262144+uniform,ok,direct,arithmetic,oneMKL/cblas_dasum,10,2,171171.3699930455,167787.435875943,174961.84104803493
asum+192+uniform,ok,direct,arithmetic,oneMKL/cblas_dasum,10,2,110.16766139488507,100.46250740365214,119.50842823594881
asum+256+uniform,ok,direct,arithmetic,oneMKL/cblas_dasum,10,2,116.49933597575543,109.24856378393459,123.93904387404403
