case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
dot+4096+uniform,ok,direct,arithmetic,oneMKL/cblas_ddot,5,1,688.2011429263762,682.9734495106552,690.0954828157182
dot+1+uniform,ok,direct,arithmetic,oneMKL/cblas_ddot,5,1,44.993806,41.046797,47.844625
dot+7+uniform,ok,direct,arithmetic,oneMKL/cblas_ddot,5,1,48.850655,41.659169,49.465496
dot+8+uniform,ok,direct,arithmetic,oneMKL/cblas_ddot,5,1,45.104385,43.843402,47.76673
dot+9+uniform,ok,direct,arithmetic,oneMKL/cblas_ddot,5,1,45.411943,42.744524,47.154454
dot+32+uniform,ok,direct,arithmetic,oneMKL/cblas_ddot,5,1,44.916052,42.674342,48.933915
dot+47+uniform,ok,direct,arithmetic,oneMKL/cblas_ddot,5,1,44.893489,44.487319,48.511723
dot+48+uniform,ok,direct,arithmetic,oneMKL/cblas_ddot,5,1,47.846512,43.593898,52.759095
dot+49+uniform,ok,direct,arithmetic,oneMKL/cblas_ddot,5,1,47.128407,43.914724,47.37064
dot+127+uniform,ok,direct,arithmetic,oneMKL/cblas_ddot,5,1,50.061741,48.054456,53.019706
dot+128+uniform,ok,direct,arithmetic,oneMKL/cblas_ddot,5,1,50.912573,47.762635,56.3756
dot+129+uniform,ok,direct,arithmetic,oneMKL/cblas_ddot,5,1,56.3722,53.457045,62.304039
dot+1024+uniform,ok,direct,arithmetic,oneMKL/cblas_ddot,5,1,125.298531,116.657454,136.839126
dot+65536+uniform,ok,direct,arithmetic,oneMKL/cblas_ddot,5,1,9322.221538869962,9063.906243086589,9541.436529357108
dot+262144+uniform,ok,direct,arithmetic,oneMKL/cblas_ddot,5,1,72437.06556195965,68320.26188760807,75447.26332853026
dot+192+uniform,ok,direct,arithmetic,oneMKL/cblas_ddot,5,1,62.064595,56.749106,62.596405
dot+256+uniform,ok,direct,arithmetic,oneMKL/cblas_ddot,5,1,61.874858,59.278799,68.344679
dot+384+uniform,ok,direct,arithmetic,oneMKL/cblas_ddot,5,1,69.813394,66.491994,71.494719
dot+512+uniform,ok,direct,arithmetic,oneMKL/cblas_ddot,5,1,79.501683,76.725713,88.000253
dot+768+uniform,ok,direct,arithmetic,oneMKL/cblas_ddot,5,1,101.680689,98.491809,111.928356
dot+16384+uniform,ok,direct,arithmetic,oneMKL/cblas_ddot,5,1,2198.7130311234423,2193.2299577114986,2242.249345535095
dot+16+uniform,ok,direct,arithmetic,oneMKL/cblas_ddot,5,1,45.367107,44.96901,46.027397
dot+24+uniform,ok,direct,arithmetic,oneMKL/cblas_ddot,5,1,45.637513,43.999592,47.224705
dot+40+uniform,ok,direct,arithmetic,oneMKL/cblas_ddot,5,1,45.155693,43.910505,46.798994
dot+64+uniform,ok,direct,arithmetic,oneMKL/cblas_ddot,5,1,47.007827,46.49665,47.858512
dot+96+uniform,ok,direct,arithmetic,oneMKL/cblas_ddot,5,1,47.769712,47.388336,51.048345
asum+4096+uniform,ok,direct,arithmetic,oneMKL/cblas_dasum,5,1,269.49278982935783,251.60718610176815,322.3256074304934
asum+1+uniform,ok,direct,arithmetic,oneMKL/cblas_dasum,5,1,34.908646,34.243598,35.507516
asum+7+uniform,ok,direct,arithmetic,oneMKL/cblas_dasum,5,1,37.287892,36.912448,38.334516
asum+8+uniform,ok,direct,arithmetic,oneMKL/cblas_dasum,5,1,36.358414,35.310788,36.387634
asum+9+uniform,ok,direct,arithmetic,oneMKL/cblas_dasum,5,1,36.249424,34.827726,40.17368
asum+32+uniform,ok,direct,arithmetic,oneMKL/cblas_dasum,5,1,36.335487,34.796152,37.798955
asum+127+uniform,ok,direct,arithmetic,oneMKL/cblas_dasum,5,1,39.564079,37.28807,40.833012
asum+128+uniform,ok,direct,arithmetic,oneMKL/cblas_dasum,5,1,44.692238,42.544444,47.937674
asum+129+uniform,ok,direct,arithmetic,oneMKL/cblas_dasum,5,1,42.814996,41.564938,44.85376
asum+1024+uniform,ok,direct,arithmetic,oneMKL/cblas_dasum,5,1,88.931895,85.863688,106.996493
asum+65536+uniform,ok,direct,arithmetic,oneMKL/cblas_dasum,5,1,3828.7773535924257,3806.175250057265,3852.178170573414
asum+262144+uniform,ok,direct,arithmetic,oneMKL/cblas_dasum,5,1,37137.02672955975,33849.745981830885,41495.63661774983
asum+192+uniform,ok,direct,arithmetic,oneMKL/cblas_dasum,5,1,53.988062,45.677137,54.293951
asum+256+uniform,ok,direct,arithmetic,oneMKL/cblas_dasum,5,1,47.752754,47.240641,51.131451
asum+384+uniform,ok,direct,arithmetic,oneMKL/cblas_dasum,5,1,67.868899,66.783991,68.292224
asum+512+uniform,ok,direct,arithmetic,oneMKL/cblas_dasum,5,1,61.962507,59.834087,65.349435
asum+768+uniform,ok,direct,arithmetic,oneMKL/cblas_dasum,5,1,77.774903,74.968251,85.672253
asum+16384+uniform,ok,direct,arithmetic,oneMKL/cblas_dasum,5,1,1726.966722418171,1709.2169282365483,1739.1525655802345
asum+16+uniform,ok,direct,arithmetic,oneMKL/cblas_dasum,5,1,34.795716,32.417231,36.356247
asum+24+uniform,ok,direct,arithmetic,oneMKL/cblas_dasum,5,1,35.090665,33.636504,37.06229
asum+40+uniform,ok,direct,arithmetic,oneMKL/cblas_dasum,5,1,35.541954,34.674085,42.256
asum+48+uniform,ok,direct,arithmetic,oneMKL/cblas_dasum,5,1,36.104274,33.672676,37.774805
asum+64+uniform,ok,direct,arithmetic,oneMKL/cblas_dasum,5,1,36.973229,36.620439,38.402009
asum+96+uniform,ok,direct,arithmetic,oneMKL/cblas_dasum,5,1,38.525369,35.431006,44.708505
sum+4096+uniform,unsupported,unsupported,arithmetic,sum has no vendor entry point in the bound CBLAS surface,0,0,,,
sum+1+uniform,unsupported,unsupported,arithmetic,sum has no vendor entry point in the bound CBLAS surface,0,0,,,
sum+7+uniform,unsupported,unsupported,arithmetic,sum has no vendor entry point in the bound CBLAS surface,0,0,,,
sum+8+uniform,unsupported,unsupported,arithmetic,sum has no vendor entry point in the bound CBLAS surface,0,0,,,
sum+9+uniform,unsupported,unsupported,arithmetic,sum has no vendor entry point in the bound CBLAS surface,0,0,,,
sum+32+uniform,unsupported,unsupported,arithmetic,sum has no vendor entry point in the bound CBLAS surface,0,0,,,
sum+127+uniform,unsupported,unsupported,arithmetic,sum has no vendor entry point in the bound CBLAS surface,0,0,,,
sum+128+uniform,unsupported,unsupported,arithmetic,sum has no vendor entry point in the bound CBLAS surface,0,0,,,
sum+129+uniform,unsupported,unsupported,arithmetic,sum has no vendor entry point in the bound CBLAS surface,0,0,,,
sum+1024+uniform,unsupported,unsupported,arithmetic,sum has no vendor entry point in the bound CBLAS surface,0,0,,,
sum+65536+uniform,unsupported,unsupported,arithmetic,sum has no vendor entry point in the bound CBLAS surface,0,0,,,
sum+262144+uniform,unsupported,unsupported,arithmetic,sum has no vendor entry point in the bound CBLAS surface,0,0,,,
sum+192+uniform,unsupported,unsupported,arithmetic,sum has no vendor entry point in the bound CBLAS surface,0,0,,,
sum+256+uniform,unsupported,unsupported,arithmetic,sum has no vendor entry point in the bound CBLAS surface,0,0,,,
sum+384+uniform,unsupported,unsupported,arithmetic,sum has no vendor entry point in the bound CBLAS surface,0,0,,,
sum+512+uniform,unsupported,unsupported,arithmetic,sum has no vendor entry point in the bound CBLAS surface,0,0,,,
sum+768+uniform,unsupported,unsupported,arithmetic,sum has no vendor entry point in the bound CBLAS surface,0,0,,,
sum+16384+uniform,unsupported,unsupported,arithmetic,sum has no vendor entry point in the bound CBLAS surface,0,0,,,
sum+16+uniform,unsupported,unsupported,arithmetic,sum has no vendor entry point in the bound CBLAS surface,0,0,,,
sum+24+uniform,unsupported,unsupported,arithmetic,sum has no vendor entry point in the bound CBLAS surface,0,0,,,
sum+40+uniform,unsupported,unsupported,arithmetic,sum has no vendor entry point in the bound CBLAS surface,0,0,,,
sum+48+uniform,unsupported,unsupported,arithmetic,sum has no vendor entry point in the bound CBLAS surface,0,0,,,
sum+64+uniform,unsupported,unsupported,arithmetic,sum has no vendor entry point in the bound CBLAS surface,0,0,,,
sum+96+uniform,unsupported,unsupported,arithmetic,sum has no vendor entry point in the bound CBLAS surface,0,0,,,
nrm2+4096+uniform,ok,direct,arithmetic,oneMKL/cblas_dnrm2,5,1,1038.278170331269,1034.9024689305456,1041.844631946465
nrm2+8+uniform,ok,direct,arithmetic,oneMKL/cblas_dnrm2,5,1,37.782843,37.208661,39.333013
nrm2+16+uniform,ok,direct,arithmetic,oneMKL/cblas_dnrm2,5,1,39.221833,37.2632,42.369518
nrm2+32+uniform,ok,direct,arithmetic,oneMKL/cblas_dnrm2,5,1,44.03085,43.175009,45.241146
nrm2+64+uniform,ok,direct,arithmetic,oneMKL/cblas_dnrm2,5,1,55.419812,53.858323,58.455165
nrm2+96+uniform,ok,direct,arithmetic,oneMKL/cblas_dnrm2,5,1,61.880313,60.41397,64.343582
nrm2+128+uniform,ok,direct,arithmetic,oneMKL/cblas_dnrm2,5,1,73.617982,67.333824,74.031655
nrm2+192+uniform,ok,direct,arithmetic,oneMKL/cblas_dnrm2,5,1,85.945405,83.629058,86.629088
nrm2+256+uniform,ok,direct,arithmetic,oneMKL/cblas_dnrm2,5,1,100.136333,98.99687,104.02797
nrm2+384+uniform,ok,direct,arithmetic,oneMKL/cblas_dnrm2,5,1,130.851969,127.504301,134.054647
nrm2+512+uniform,ok,direct,arithmetic,oneMKL/cblas_dnrm2,5,1,159.804798,155.156955,163.977886
nrm2+768+uniform,ok,direct,arithmetic,oneMKL/cblas_dnrm2,5,1,226.6020643015746,224.03936187350803,227.52764287267323
nrm2+1024+uniform,ok,direct,arithmetic,oneMKL/cblas_dnrm2,5,1,287.0828963153385,283.27077510321726,287.47281919451586
nrm2+16384+uniform,ok,direct,arithmetic,oneMKL/cblas_dnrm2,5,1,4038.991063431317,4027.3185204787883,4049.9248025405095
nrm2+65536+uniform,ok,direct,arithmetic,oneMKL/cblas_dnrm2,5,1,15889.634793630674,15796.27251841876,15930.797354036284
nrm2+262144+uniform,ok,direct,arithmetic,oneMKL/cblas_dnrm2,5,1,62901.98419721871,62284.154867256635,63448.772756005055
iamax+64+uniform,ok,direct,arithmetic,oneMKL/cblas_idamax,5,1,102.213789,99.966651,103.466461
iamax+128+uniform,ok,direct,arithmetic,oneMKL/cblas_idamax,5,1,63.803072,63.032036,67.297765
iamax+256+uniform,ok,direct,arithmetic,oneMKL/cblas_idamax,5,1,72.528129,69.956731,75.825535
iamax+512+uniform,ok,direct,arithmetic,oneMKL/cblas_idamax,5,1,120.936189,116.550402,122.788636
iamax+1024+uniform,ok,direct,arithmetic,oneMKL/cblas_idamax,5,1,133.052237,128.198902,142.175181
