schema,case,implementation,workload_version,fixture_version,pass,sample,operations,elapsed_ns,ns_per_op,unit,status,comparison_kind,timing_mode,source_commit,dirty,runtime,threads,warmups,target_ns,logical_id,configuration,physical_work,actual_kernel,harness,warmup_target_ns,fork,forks,elapsed_kind
4,dot+4096+uniform,onemkl,5,2,1,1,512,667632,1303.96875,ns,ok,direct,arithmetic,a038f25ac66821574b30392dc1d3b189cc287e2c,true,Intel(R) oneAPI Math Kernel Library Version 2026.1-Product Build 20260612 for Intel(R) 64 architecture applications; compiler=15.2.0,1,0,1000000,dot-v1+4096+uniform,policy-v1,policy,vendor-cblas-v1,vendor-calibrated-v1,1000000,1,1,monotonic-batch
4,gemv+32x21+uniform,onemkl,5,2,1,1,1,2271,2271,ns,ok,direct,reset-and-arithmetic,a038f25ac66821574b30392dc1d3b189cc287e2c,true,Intel(R) oneAPI Math Kernel Library Version 2026.1-Product Build 20260612 for Intel(R) 64 architecture applications; compiler=15.2.0,1,0,1000000,gemv-v1+32x21+uniform,policy-v1,policy,vendor-cblas-v1,vendor-calibrated-v1,1000000,1,1,monotonic-batch
4,gemm+32x21x48+uniform,onemkl,5,2,1,1,128,577501,4511.7265625,ns,ok,direct,reset-and-arithmetic,a038f25ac66821574b30392dc1d3b189cc287e2c,true,Intel(R) oneAPI Math Kernel Library Version 2026.1-Product Build 20260612 for Intel(R) 64 architecture applications; compiler=15.2.0,1,0,1000000,gemm-v1+32x21x48+uniform,policy-v1,policy,vendor-cblas-v1,vendor-calibrated-v1,1000000,1,1,monotonic-batch
4,trsm+64x16+triangular+side=L+uplo=L+transA=N+diag=N,onemkl,5,2,1,1,1,9312,9312,ns,ok,direct,reset-and-arithmetic,a038f25ac66821574b30392dc1d3b189cc287e2c,true,Intel(R) oneAPI Math Kernel Library Version 2026.1-Product Build 20260612 for Intel(R) 64 architecture applications; compiler=15.2.0,1,0,1000000,trsm-v1+64x16+triangular+side=L+uplo=L+transA=N+diag=N,policy-v1,policy,vendor-cblas-v1,vendor-calibrated-v1,1000000,1,1,monotonic-batch
4,gemm-tile+4x4x32+uniform+physical=4x4+work=gemm-add-v1+leftLayout=depth-rows-v1+rightLayout=depth-columns-v1+leftGroup=4+rightGroup=4+leftStride=4+rightStride=4+padding=zero+alignment=8+block=4x4x32+panel=32+diagonal=0+rhs=0+batch=1+variant=current-tile-v1+timing=raw-tile,onemkl,5,2,1,1,1024,800252,781.49609375,ns,ok,partial,vendor-arithmetic,a038f25ac66821574b30392dc1d3b189cc287e2c,true,Intel(R) oneAPI Math Kernel Library Version 2026.1-Product Build 20260612 for Intel(R) 64 architecture applications; compiler=15.2.0,1,0,1000000,gemm-add-v1+4x4x32+uniform,vendor-column-major-v1,calls=1;leftDoubles=128;rightDoubles=128;outputDoubles=16;resetDoubles=16;triangleDoubles=0,vendor-cblas-v1,vendor-calibrated-v1,1000000,1,1,monotonic-batch
4,gemm-tile+8x4x32+uniform+physical=8x4+work=gemm-add-v1+leftLayout=depth-rows-v1+rightLayout=depth-columns-v1+leftGroup=8+rightGroup=4+leftStride=8+rightStride=4+padding=zero+alignment=8+block=8x4x32+panel=32+diagonal=0+rhs=0+batch=1+variant=current-tile-v1+timing=raw-tile,onemkl,5,2,1,1,1024,789188,770.69140625,ns,ok,partial,vendor-arithmetic,a038f25ac66821574b30392dc1d3b189cc287e2c,true,Intel(R) oneAPI Math Kernel Library Version 2026.1-Product Build 20260612 for Intel(R) 64 architecture applications; compiler=15.2.0,1,0,1000000,gemm-add-v1+8x4x32+uniform,vendor-column-major-v1,calls=1;leftDoubles=256;rightDoubles=128;outputDoubles=32;resetDoubles=32;triangleDoubles=0,vendor-cblas-v1,vendor-calibrated-v1,1000000,1,1,monotonic-batch
4,spdot+4096+sparse-uniform+density=0.01,onemkl,5,2,1,1,16384,960229,58.60772705078125,ns,ok,direct,arithmetic,a038f25ac66821574b30392dc1d3b189cc287e2c,true,Intel(R) oneAPI Math Kernel Library Version 2026.1-Product Build 20260612 for Intel(R) 64 architecture applications; compiler=15.2.0,1,0,1000000,spdot-v1+4096+sparse-uniform+density=0.01,policy-v1,policy,vendor-cblas-v1,vendor-calibrated-v1,1000000,1,1,monotonic-batch
4,spgemv+257x129+sparse-uniform+density=0.01+mode=prepared,onemkl,5,2,1,1,1024,767621,749.6298828125,ns,ok,direct,prepared,a038f25ac66821574b30392dc1d3b189cc287e2c,true,Intel(R) oneAPI Math Kernel Library Version 2026.1-Product Build 20260612 for Intel(R) 64 architecture applications; compiler=15.2.0,1,0,1000000,spgemv-v1+257x129+sparse-uniform+density=0.01+mode=prepared,policy-v1,policy,vendor-cblas-v1,vendor-calibrated-v1,1000000,1,1,monotonic-batch
4,spgemv+257x129+sparse-uniform+density=0.01+mode=oneshot,onemkl,5,2,1,1,256,539375,2106.93359375,ns,ok,direct,oneshot,a038f25ac66821574b30392dc1d3b189cc287e2c,true,Intel(R) oneAPI Math Kernel Library Version 2026.1-Product Build 20260612 for Intel(R) 64 architecture applications; compiler=15.2.0,1,0,1000000,spgemv-v1+257x129+sparse-uniform+density=0.01+mode=oneshot,policy-v1,policy,vendor-cblas-v1,vendor-calibrated-v1,1000000,1,1,monotonic-batch
4,spmm+257x8x129+sparse-uniform+density=0.01+mode=prepared,onemkl,5,2,1,1,1,7868,7868,ns,ok,direct,prepared,a038f25ac66821574b30392dc1d3b189cc287e2c,true,Intel(R) oneAPI Math Kernel Library Version 2026.1-Product Build 20260612 for Intel(R) 64 architecture applications; compiler=15.2.0,1,0,1000000,spmm-v1+257x8x129+sparse-uniform+density=0.01+mode=prepared,policy-v1,policy,vendor-cblas-v1,vendor-calibrated-v1,1000000,1,1,monotonic-batch
